element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason,problem_class,problem_status,problem_tickets,problem_action,ep_eV,continuum_level,continuum_method,continuum_ref,nlte_delta_dex,nlte_source,ew_inversion,profile_sigma_A,profile_sigma_floor_A,profile_gamma_A,sigma_A,frac_rise_weaker,edge_distance_dex,red_chi2,observed_depth,implied_width_A,gate,in_synth_run,synth_ok,synth_A
Fe,I,4372.9817,kpno_solar_atlas,266.41906162313364,"PROFILE-FIT (voigt); gap 0.128 A; model integrated; chi2_red=0.03223; sigma_fit=0.0037 A (init 0.0251, floor 0.0037); ew_err=118.23 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno · lm0436",,-4.215212365615433,,False,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.588 A from the catalogued position (depth 0.685 vs 0.357 at the line) — the EW is an upper bound on a blend, not this line",,,,,3.0173,1.0,"pre-normalised: solar_kpno ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.0037140687610946,0.0037140687610942,0.3999999999976851,,,,0.0322255840327887,0.51412,0.4868201942055384,FEATURE-VERIFICATION,True,True,7.342
Fe,I,4554.451,kpno_solar_atlas,43.34681595199508,"PROFILE-FIT (gaussian); gap 0.369 A; model integrated; chi2_red=0.1163; sigma_fit=0.0484 A (init 0.0261, floor 0.0039); ew_err=24.83 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno · lm0452",,-5.021478832183426,,False,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.417 A from the catalogued position (depth 0.922 vs 0.367 at the line) — the EW is an upper bound on a blend, not this line",,,,,2.8654,1.0,"pre-normalised: solar_kpno ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.0483873713712257,0.0038681945966146,,,,,0.1163496256440196,0.39164,0.1039771596829662,FEATURE-VERIFICATION,True,True,7.296
Fe,I,4565.6614,kpno_solar_atlas,240.42115406620613,"PROFILE-FIT (voigt); gap 0.052 A; model integrated; chi2_red=0.0044; sigma_fit=0.1621 A (init 0.0262, floor 0.0039); ew_err=54.90 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno · lm0456",,-4.278531022550563,,False,"OVER-PHYSICAL-WIDTH: the fitted voigt profile has Gaussian sigma 0.1621 A, against the 0.0666 A that instrumental + thermal + microturbulent + macroturbulent + rotational broadening together permit at this wavelength (instrumental sigma 0.0039 A; vmac and vsini are counted as Gaussian sigmas, which overstates both, so this is a ceiling and not an expectation). No Doppler mechanism can make a line this wide, so the integrated EW is absorption from something else, not this line's EW.",,,,,3.241,1.0,"pre-normalised: solar_kpno ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.1620556958680056,0.0038777158339066,0.0197402212695394,,,,0.0044001649454049,0.65686,0.3438489095359534,OVER-PHYSICAL-WIDTH,True,True,7.328
Fe,I,4574.2153,kpno_solar_atlas,57.009614597487904,"PROFILE-FIT (voigt); gap 0.892 A; model integrated; chi2_red=0.02336; sigma_fit=0.0039 A (init 0.0262, floor 0.0039); ew_err=13.86 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno · lm0456",,-4.9043684971537855,,False,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.510 A from the catalogued position (depth 0.637 vs 0.449 at the line) — the EW is an upper bound on a blend, not this line",,,,,3.2112,1.0,"pre-normalised: solar_kpno ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.0038849808480823,0.003884980847793,0.0406562044792662,,,,0.0233598508887204,0.4533399999999999,0.1181386094259936,FEATURE-VERIFICATION,True,True,7.545
Fe,I,4611.1837,kpno_solar_atlas,190.66757142865157,"PROFILE-FIT (voigt); gap 0.646 A; model integrated; chi2_red=0.00187; sigma_fit=0.0206 A (init 0.0264, floor 0.0039); ew_err=7.96 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno · lm0460",,-4.383535589049338,,False,REW -4.384 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditioned here. Measured and reported; excluded from the aggregate only.,,,,,2.8512,1.0,"pre-normalised: solar_kpno ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.020640631428216,0.0039163789164352,0.086500439113317,,,,0.0018701850700676,0.78347,0.2286242286739809,REW-SATURATED,True,True,7.091
Fe,I,4726.1367,kpno_solar_atlas,37.90010081055076,"PROFILE-FIT (voigt); gap 0.474 A; model integrated; chi2_red=0.0008259; sigma_fit=0.0040 A (init 0.0271, floor 0.0040); ew_err=13.10 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno · lm0472",,-5.095865913973584,,True,,,,,,2.998,1.0,"pre-normalised: solar_kpno ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.0040140110072107,0.0040140110072107,0.0737854726452045,,,,0.0008258911276197,0.2202899999999999,0.1616267990735224,IN-AGGREGATE,True,True,7.285
Fe,I,4741.0693,kpno_solar_atlas,175.29174773284873,"PROFILE-FIT (voigt); gap 0.055 A; model integrated; chi2_red=0.02937; sigma_fit=0.4000 A (init 0.0272, floor 0.0040); ew_err=145.75 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno · lm0472",,-4.432114832277414,,False,"OVER-PHYSICAL-WIDTH: the fitted voigt profile has Gaussian sigma 0.4000 A, PINNED at the optimiser's upper bound 0.4000 A, against the 0.0691 A that instrumental + thermal + microturbulent + macroturbulent + rotational broadening together permit at this wavelength (instrumental sigma 0.0040 A; vmac and vsini are counted as Gaussian sigmas, which overstates both, so this is a ceiling and not an expectation). No Doppler mechanism can make a line this wide, so the integrated EW is absorption from something else, not this line's EW.",,,,,3.332,1.0,"pre-normalised: solar_kpno ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.3999999969670079,0.0040266935901682,0.3999999999936087,,,,0.0293746555083441,0.1017299999999999,1.6187516216322937,OVER-PHYSICAL-WIDTH,True,True,7.461
Fe,I,4787.8264,kpno_solar_atlas,53.373410681502655,"PROFILE-FIT (voigt); gap 0.086 A; model integrated; chi2_red=0.0001463; sigma_fit=0.0150 A (init 0.0275, floor 0.0041); ew_err=17.61 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno · lm0476",,-4.952813439010544,,True,,,,,,2.998,1.0,"pre-normalised: solar_kpno ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.014984163517522,0.0040664054152759,0.0353781155560043,,,,0.0001463349227047,0.43144,0.1162177166826204,IN-AGGREGATE,True,True,7.549
Fe,I,4807.708,kpno_solar_atlas,74.5377623604325,"PROFILE-FIT (voigt); gap 0.103 A; model integrated; chi2_red=0.006646; sigma_fit=0.0041 A (init 0.0276, floor 0.0041); ew_err=15.50 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno · lm0480",,-4.809561731571831,,False,REW -4.810 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditioned here. Measured and reported; excluded from the aggregate only.,,,,,3.3683,1.0,"pre-normalised: solar_kpno ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.0040832931254557,0.0040832912919034,0.0484423905809643,,,,0.0066458394933578,0.5176000000000001,0.1352850707732728,REW-SATURATED,True,True,7.557
Fe,I,4860.9775,kpno_solar_atlas,711.9405794157599,"PROFILE-FIT (voigt); gap 0.219 A; model integrated; chi2_red=0.003175; sigma_fit=0.2460 A (init 0.0279, floor 0.0041); ew_err=143.45 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno · lm0484",,-3.834279863163296,,False,"OVER-PHYSICAL-WIDTH: the fitted voigt profile has Gaussian sigma 0.2460 A, against the 0.0709 A that instrumental + thermal + microturbulent + macroturbulent + rotational broadening together permit at this wavelength (instrumental sigma 0.0041 A; vmac and vsini are counted as Gaussian sigmas, which overstates both, so this is a ceiling and not an expectation). No Doppler mechanism can make a line this wide, so the integrated EW is absorption from something else, not this line's EW.",,,,,3.3965,1.0,"pre-normalised: solar_kpno ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.2459853649795684,0.004128534240409,0.3999999999999941,,,,0.0031746040117597,0.8530800000000001,0.784010316174561,OVER-PHYSICAL-WIDTH,True,True,7.837
