element,ion,wavelength_air_A,ew_mA,ew_err_mA,chi2,observed_depth,rew,n_contaminants,worst_contaminant_depth,drop_reason,detail
Cr,I,3788.203,276.05,95.58,0.1485,0.9045,-4.1374,9,0.978,SATURATED_REW,REW -4.137 > -4.9
Fe,I,3788.4296,5.8,13.16,0.1643,0.8795,-5.815,6,0.916,EW_ERR_EXCESS,err/EW 2.27 > 0.5
Co,I,3788.4515,190.11,194.99,0.1623,0.8795,-4.2995,8,0.916,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Y,II,3788.6919,6.33,13.94,0.1699,0.897,-5.7771,7,0.614,EW_ERR_EXCESS,err/EW 2.20 > 0.5
Fe,I,3789.8161,5.42,16.88,0.229,0.8682,-5.8446,5,0.724,EW_ERR_EXCESS,err/EW 3.11 > 0.5
Cr,I,3790.4491,42.31,45.68,0.4288,0.9226,-4.9522,43,0.903,SATURATED_CORE,observed depth 92.3%
V,I,3790.4525,42.8,44.86,0.4288,0.9226,-4.9472,23,0.903,SATURATED_CORE,observed depth 92.3%
Fe,I,3790.4951,35.49,34.81,0.49,0.9226,-5.0286,57,0.826,SATURATED_CORE,observed depth 92.3%
Fe,I,3790.6536,5.19,16.06,0.4847,0.9374,-5.8635,41,0.727,SATURATED_CORE,observed depth 93.7%
Fe,I,3790.754,48.3,37.09,0.3631,0.958,-4.8948,40,0.727,SATURATED_REW,REW -4.895 > -4.9
Fe,I,3790.8934,58.39,40.39,0.3065,0.9301,-4.8124,18,0.727,SATURATED_REW,REW -4.812 > -4.9
Mn,I,3791.0842,11.63,19.49,0.2927,0.9317,-5.5132,22,0.903,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,3791.109,11.93,19.58,0.2877,0.9317,-5.5021,19,0.727,SATURATED_CORE,observed depth 93.2%
Cr,I,3791.2205,12.7,19.3,0.2725,0.8973,-5.475,3,0.855,EW_ERR_EXCESS,err/EW 1.52 > 0.5
V,I,3791.3006,46.24,27.6,0.2635,0.9137,-4.9138,4,0.855,SATURATED_CORE,observed depth 91.4%
Cr,I,3791.3746,47.41,27.05,0.2581,0.9356,-4.9029,2,0.855,SATURATED_CORE,observed depth 93.6%
Zr,I,3791.4,47.4,26.82,0.2575,0.9356,-4.903,5,0.855,SYNTH_ROUTED,Zr: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,3791.4605,47.59,26.58,0.2556,0.9576,-4.9013,2,0.639,SATURATED_CORE,observed depth 95.8%
Ti,I,3791.5498,47.56,26.22,0.2533,0.9576,-4.9016,6,0.855,SATURATED_CORE,observed depth 95.8%
Fe,I,3791.7417,34.87,21.59,0.2435,0.9505,-5.0364,2,0.116,SATURATED_CORE,observed depth 95.1%
Cr,I,3791.8229,34.84,21.34,0.2439,0.9486,-5.0368,5,0.885,SATURATED_CORE,observed depth 94.9%
Cr,I,3792.1344,51.88,23.62,0.1608,0.9561,-4.8639,10,0.885,SATURATED_REW,REW -4.864 > -4.9
Fe,I,3792.1538,53.41,23.95,0.1574,0.9561,-4.8513,12,0.878,SATURATED_REW,REW -4.851 > -4.9
Cr,I,3792.2357,250.49,218.67,0.1487,0.9422,-4.1801,9,0.885,SATURATED_REW,REW -4.180 > -4.9
Zr,II,3792.304,34.43,20.79,0.1486,0.9319,-5.042,12,0.885,SYNTH_ROUTED,Zr: synthesis is the reporting channel (synthesis (problem-children registry))
Ni,I,3792.3309,36.35,21.64,0.1477,0.9319,-5.0184,8,0.885,SATURATED_CORE,observed depth 93.2%
Cr,I,3792.3863,39.67,23.23,0.1476,0.9319,-4.9805,10,0.885,SATURATED_CORE,observed depth 93.2%
Y,II,3792.4349,299.11,232.23,0.1425,0.8992,-4.1031,14,0.885,SATURATED_REW,REW -4.103 > -4.9
Co,I,3792.4398,298.06,232.17,0.1425,0.8855,-4.1046,14,0.885,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Co,I,3792.451,5.13,15.02,0.1486,0.8822,-5.8688,14,0.885,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,3792.8266,44.28,22.43,0.163,0.9402,-4.9328,4,0.724,SATURATED_CORE,observed depth 94.0%
Cr,I,3793.0879,18.1,19.97,0.1685,0.8818,-5.3213,7,0.885,EW_ERR_EXCESS,err/EW 1.10 > 0.5
Mg,I,3793.163,20.86,21.15,0.1743,0.882,-5.2597,9,0.898,SYNTH_ROUTED,Mg: synthesis is the reporting channel (synthesis (problem-children registry))
Mn,I,3800.5459,51.08,43.12,0.1617,0.8833,-4.8716,3,0.437,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Co,I,3800.5705,51.07,43.05,0.1611,0.8833,-4.8717,4,0.437,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Cr,I,3800.6092,50.23,42.74,0.1604,0.8833,-4.8789,4,0.437,SATURATED_REW,REW -4.879 > -4.9
Zr,II,3800.743,299.28,225.55,0.1535,0.8395,-4.1038,5,0.423,SYNTH_ROUTED,Zr: synthesis is the reporting channel (synthesis (problem-children registry))
Ni,I,3800.8478,16.2,25.08,0.1591,0.8613,-5.3704,19,0.437,EW_ERR_EXCESS,err/EW 1.55 > 0.5
Y,II,3800.8641,16.08,24.91,0.159,0.8613,-5.3736,23,0.437,EW_ERR_EXCESS,err/EW 1.55 > 0.5
Ni,I,3800.9274,259.9,222.3,0.1567,0.8543,-4.1651,26,0.437,SATURATED_REW,REW -4.165 > -4.9
Fe,I,3802.2778,42.7,20.48,0.1199,0.9386,-4.9496,1,0.185,SATURATED_CORE,observed depth 93.9%
V,I,3802.8722,10.37,24.84,0.1256,0.8461,-5.5643,4,0.24,EW_ERR_EXCESS,err/EW 2.40 > 0.5
Fe,I,3802.9683,87.56,66.12,0.1222,0.8894,-4.6378,3,0.24,SATURATED_REW,REW -4.638 > -4.9
Mn,I,3803.0629,89.4,64.62,0.1216,0.9006,-4.6288,6,0.807,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,3803.2428,87.48,64.33,0.1233,0.8873,-4.6382,5,0.638,SATURATED_REW,REW -4.638 > -4.9
Fe,I,3803.2719,86.09,64.41,0.1226,0.8873,-4.6452,5,0.638,SATURATED_REW,REW -4.645 > -4.9
Ti,I,3803.4169,17.02,18.28,0.1281,0.8649,-5.3492,8,0.807,EW_ERR_EXCESS,err/EW 1.07 > 0.5
V,I,3803.4774,18.7,18.99,0.1288,0.8682,-5.3083,3,0.807,EW_ERR_EXCESS,err/EW 1.02 > 0.5
V,I,3803.8812,87.25,34.86,0.1199,0.8269,-4.6395,1,0.858,SATURATED_REW,REW -4.639 > -4.9
Mn,I,3803.9839,94.45,38.57,0.126,0.9459,-4.605,43,0.858,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,3804.0089,94.92,38.78,0.1267,0.9459,-4.6029,42,0.138,SATURATED_REW,REW -4.603 > -4.9
V,I,3804.5437,171.86,67.88,0.1325,0.8725,-4.3451,20,0.773,SATURATED_REW,REW -4.345 > -4.9
V,I,3804.5502,172.23,67.36,0.1324,0.8891,-4.3442,20,0.773,SATURATED_REW,REW -4.344 > -4.9
Fe,I,3804.6083,172.25,65.5,0.131,0.903,-4.3442,18,0.773,SATURATED_REW,REW -4.344 > -4.9
Mn,I,3804.6477,171.67,63.93,0.1296,0.903,-4.3456,6,0.773,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Mn,I,3804.7194,171.89,62.15,0.1288,0.9165,-4.3451,6,0.773,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Mn,I,3804.7522,172.9,62.39,0.1295,0.9292,-4.3425,7,0.773,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,3804.7877,173.82,62.39,0.1299,0.9292,-4.3402,19,0.773,SATURATED_REW,REW -4.340 > -4.9
Cr,I,3804.7984,173.68,62.23,0.1294,0.9292,-4.3406,21,0.701,SATURATED_REW,REW -4.341 > -4.9
