wave,ew_ref,ew_synth,abundance,status
4232.72605,54.12,590.6859288550635,,CHI2-GATE: red_chi2 172.595 >= 10.0. The fit converged (A=8.004) but d
5293.95821,41.97,49.64389278259797,,CHI2-GATE: red_chi2 293.475 >= 10.0. The fit converged (A=7.184) but d
5579.94268,67.7,11.476258966868116,8.074,ok
5714.14532,25.39,,,NOT-IN-SYNTH-LINELIST: a +/-0.5 dex abundance swing moves the syntheti
5807.97538,58.5,17.12071055951123,7.626,ok
5880.02674,70.79,20.598545869071756,,CHI2-GATE: red_chi2 162.714 >= 10.0. The fit converged (A=7.345) but d
6004.04473,81.91,11.877609151786741,7.117,ok
6183.55773,26.01,13.76005646257563,,CHI2-GATE: red_chi2 16.576 >= 10.0. The fit converged (A=7.266) but do
6375.78952,21.99,,,NOT-IN-SYNTH-LINELIST: a +/-0.5 dex abundance swing moves the syntheti
6682.23672,16.56,3.812739010607088,,CHI2-GATE: red_chi2 301.587 >= 10.0. The fit converged (A=7.263) but d
6786.4249,49.93,165.06631439143777,,CHI2-GATE: red_chi2 199.588 >= 10.0. The fit converged (A=8.126) but d
6881.44175,59.22,124.7202185029602,,CHI2-GATE: red_chi2 21.614 >= 10.0. The fit converged (A=8.688) but do
