asset,type,star,req_lo_A,req_hi_A,actual_lo_A,actual_hi_A,n_selected_hdr,n_data_lines,truncated,over_100k_cap,hfs,quarantine,n_elements,elements,gf_source,band_optical,band_Y,band_J,band_H,band_K,verdict
vald_55cnc_nir_5k30k_hfsoff_quarantine.txt,raw,55cnc,5000.0,30000.0,5000.2,29994.7,21312.0,21312,False,False,off,True,54.0,"Al,Ba,C,C2,CN,CO,Ca,Cd,Ce,Co,Cr,Cu,Dy,Er,Eu,Fe,Ga,Gd,Ge,H,Hf,K,La,Li,Lu,Mg,MgH,Mn,Mo,Na,Nb,Nd,Ni,O,OH,P,Pb,Pr,Rb,Ru,S,Sc,Se,Si,Sm,Sr,Ti,Tl,V,W,Y,Yb,Zn,Zr",VALD3 (raw),10188,1217,1442,3677,3032,QUARANTINE (excluded by curator — HFS-off / superseded)
vald_55cnc_nir_raw.txt,raw,55cnc,6910.0,17000.0,6911.5,16997.2,5218.0,5218,False,False,unknown,False,25.0,"Al,C,CN,Ca,Co,Cr,Cu,Fe,H,K,Mg,Mn,Mo,Na,Ni,O,Rb,S,Si,Sr,Ti,V,Y,Zn,Zr",VALD3 (raw),2052,419,957,1790,0,ACCEPT
vald_55cnc_raw.txt,raw,55cnc,3780.0,6910.0,3780.0,6909.8,125615.0,125615,False,True,unknown,False,71.0,"Ag,Al,Au,Ba,Bi,C,C2,CH,CN,Ca,Cd,Ce,Co,Cr,Cu,Dy,Er,Eu,Fe,Ga,Gd,Ge,H,Hf,Ho,In,Ir,K,La,Li,Lu,Mg,MgH,Mn,Mo,NH,Na,Nb,Nd,Ni,O,Os,P,Pb,Pd,Pr,Pt,Rb,Re,Rh,Ru,S,Sc,Si,SiH,Sm,Sn,Sr,Ta,Tb,Th,Ti,Tl,Tm,U,V,W,Y,Yb,Zn,Zr",VALD3 (raw),125615,0,0,0,0,ACCEPT
vald_55cnc_uv_019509_hfsoff_quarantine.txt,raw,55cnc,1150.0,3780.0,1150.3,3780.0,77458.0,77458,False,False,off,True,77.0,"Ag,Al,As,Au,B,Ba,Be,Bi,C,CH,CN,CO,Ca,Cd,Ce,Cl,Co,Cr,Cu,Dy,Er,Eu,Fe,Ga,Gd,Ge,H,Hf,Hg,Ho,In,Ir,K,La,Lu,Mg,Mn,Mo,N,NH,Na,Nb,Nd,Ni,O,OH,Os,P,Pb,Pd,Pr,Pt,Re,Rh,Ru,S,Sb,Sc,Se,Si,Sm,Sn,Sr,Ta,Tb,Te,Th,Ti,Tl,Tm,U,V,W,Y,Yb,Zn,Zr",VALD3 (raw),20954,0,0,0,0,QUARANTINE (excluded by curator — HFS-off / superseded)
vald_55cnc_uv_a_raw.txt,raw,55cnc,1150.0,2000.0,1150.3,2000.0,24508.0,24508,False,False,unknown,False,46.0,"Al,As,Au,B,Ba,Bi,C,CO,Ca,Cl,Co,Cr,Cu,Fe,Ga,Ge,H,Hg,In,Lu,Mg,Mn,Mo,N,Ni,O,Os,P,Pb,Pt,Rh,Ru,S,Sb,Sc,Se,Si,Sn,Sr,Te,Ti,V,Y,Yb,Zn,Zr",VALD3 (raw),0,0,0,0,0,ACCEPT
vald_55cnc_uv_b_raw.txt,raw,55cnc,2000.0,3780.0,2000.1,3780.0,90537.0,90537,False,False,unknown,False,72.0,"Ag,Al,As,Au,B,Ba,Be,Bi,C,CH,CN,CO,Ca,Cd,Ce,Co,Cr,Cu,Dy,Er,Eu,Fe,Ga,Gd,Ge,H,Hf,Hg,Ho,In,Ir,K,La,Lu,Mg,Mn,Mo,NH,Na,Nb,Nd,Ni,OH,Os,P,Pb,Pd,Pt,Re,Rh,Ru,S,Sb,Sc,Se,Si,Sm,Sn,Sr,Ta,Tb,Te,Th,Ti,Tl,Tm,V,W,Y,Yb,Zn,Zr",VALD3 (raw),32970,0,0,0,0,ACCEPT
vald_55cnc_uv_raw.txt,raw,55cnc,1150.0,3780.0,1150.3,3780.0,77458.0,77458,False,False,unknown,False,77.0,"Ag,Al,As,Au,B,Ba,Be,Bi,C,CH,CN,CO,Ca,Cd,Ce,Cl,Co,Cr,Cu,Dy,Er,Eu,Fe,Ga,Gd,Ge,H,Hf,Hg,Ho,In,Ir,K,La,Lu,Mg,Mn,Mo,N,NH,Na,Nb,Nd,Ni,O,OH,Os,P,Pb,Pd,Pr,Pt,Re,Rh,Ru,S,Sb,Sc,Se,Si,Sm,Sn,Sr,Ta,Tb,Te,Th,Ti,Tl,Tm,U,V,W,Y,Yb,Zn,Zr",VALD3 (raw),20954,0,0,0,0,ACCEPT
vald_alpha_cen_a_nir_raw.txt,raw,alpha_cen_a,6910.0,17000.0,6911.5,16997.2,3707.0,3707,False,False,unknown,False,24.0,"Al,C,Ca,Co,Cr,Cu,Fe,H,K,Mg,Mn,Mo,Na,Ni,O,P,Rb,S,Si,Sr,Ti,V,Y,Zn",VALD3 (raw),1466,323,657,1261,0,ACCEPT
vald_alpha_cen_a_optical_raw.txt,raw,alpha_cen_a,3780.0,6910.0,3780.3,6907.7,27804.0,27804,False,False,unknown,False,53.0,"Al,Ba,C,CH,CN,Ca,Ce,Co,Cr,Cu,Dy,Er,Eu,Fe,Ga,Gd,Ge,H,Hf,Ho,In,Ir,K,La,Mg,Mn,Mo,Na,Nb,Nd,Ni,Os,Pb,Pd,Pr,Rh,Ru,S,Sc,Si,Sm,Sn,Sr,Tb,Th,Ti,Tm,V,W,Y,Yb,Zn,Zr",VALD3 (raw),27804,0,0,0,0,ACCEPT
vald_alpha_cen_a_uv1_raw.txt,raw,alpha_cen_a,1150.0,2000.0,1150.3,2000.0,28048.0,28048,False,False,unknown,False,48.0,"Al,As,Au,B,Ba,Bi,C,CO,Ca,Ce,Cl,Co,Cr,Cu,Fe,Ga,Ge,H,Hg,In,Ir,Lu,Mg,Mn,Mo,N,Ni,O,Os,P,Pb,Pt,Rh,Ru,S,Sb,Sc,Se,Si,Sn,Sr,Te,Ti,V,Y,Yb,Zn,Zr",VALD3 (raw),0,0,0,0,0,ACCEPT
