diagnostic,species,target_A,band,covered,matched_A,n_components,max_central_depth
S I 1.045 um triplet,S I,10455.45,Y,True,10455.47,1,0.281
S I 1.045 um triplet,S I,10456.76,Y,True,10456.79,1,0.173
S I 1.045 um triplet,S I,10459.41,Y,True,10459.46,1,0.249
P I 1.05 um quartet,P I,10511.59,Y,True,10511.588,1,0.023
P I 1.05 um quartet,P I,10529.52,Y,True,10529.524,1,0.045
P I 1.05 um quartet,P I,10581.58,Y,True,10581.577,1,0.062
P I 1.05 um quartet,P I,10596.9,Y,True,10596.903,1,0.02
K I 1.17 um doublet,K I,11690.22,J,True,11690.219,6,0.292
K I 1.17 um doublet,K I,11769.64,J,True,11769.638,9,0.152
C I near-IR,C I,10691.25,Y,True,10691.25,1,0.325
O I 777 triplet,O I,7771.94,optical,True,7771.944,1,0.166
O I near-IR,O I,11302.38,J,True,11302.378,1,0.019
Mg I 1.57 um (unsaturated subordinate),Mg I,15740.71,H,True,15740.706,1,0.479
Al I 1.67 um (unsaturated subordinate),Al I,16718.96,H,True,16718.911,6,0.471
