instrument_id,instrument_name,facility,telescope,archive_name,archive_url,instrument_class,observing_domain,band_primary,bands_supported,wavelength_min_nm,wavelength_max_nm,wavelength_frame_default,resolving_power_min,resolving_power_max,hemisphere_access,latitude_deg,data_level_available,supported_product_types,pipeline_ingest_status,reduction_requirements,telluric_required,telluric_basis,air_vacuum_conversion_required,iodine_or_calibration_caveat,science_role,key_elements_or_features,target_specific_notes,codex_status,first_verified_use,source_issue_ids,source_documentation,last_verified_date
calspec_solar,CALSPEC solar composite,STScI,HST/reference composite,MAST CALSPEC,https://archive.stsci.edu/hlsps/reference-atlases/cdbs/calspec/,reference_spectrum,UV_IR,FUV,FUV|NUV|VIS|NIR|IR,119.5,2695.7,vacuum,150,300,space,,reference,FITS_reference,reference_only,Cited composite only; never label as direct solar measurement,no,not_applicable,no,Resolution is insufficient for resolved abundance lines,Absolute flux and deep-UV coverage,continuum|absolute_flux,The Sun cannot be observed directly by HST,reference,RYA-459,RYA-162|RYA-459|RYA-513,Colina Bohlin & Castelli 1996; Bohlin et al. 2001; CALSPEC,2026-07-28
iag_fts_solar_atlas,IAG FTS Solar Flux Atlas,IAG Goettingen,IAG Vacuum Vertical FTS,IAG / Reiners et al. 2016 supplementary,https://www.astro.physik.uni-goettingen.de/research/solar-flux-atlas/,solar_atlas,VIS_NIR,VIS,VIS|red_optical|NIR,404.7,1065.0,vacuum_wavenumber,700000,700000,north,51.56,reference,normalized_flux_atlas,reference_only,"Column 0 is VACUUM WAVENUMBER in cm-1, not a wavelength: convert 1e8/wn then vac_to_air. Reading col0 as a wavelength returns 9387-24700 and a confident wrong answer.",no,corrected,no,Disk-integrated flux atlas; no telluric division applied in the distributed file,Second solar arm; independent corroboration of Kitt Peak,Al I 7835/8772|Na I 8194|S I 9212|O I 7772,"Reference atlas, not a stellar holding. Lives on Sirius only.",reference,RYA-551,RYA-551|RYA-581|RYA-708,Reiners et al. 2016 A&A 587 A65,2026-08-09
kpno_solar_atlas,Kitt Peak Solar Flux Atlas,NSO,Kitt Peak FTS,NSO Digital Library,https://nispdata.nso.edu/ftp/pub/atlas/,solar_atlas,UV_VIS_NIR,VIS,NUV|VIS|red_optical|NIR,296.0,1300.0,air,300000,500000,north,31.96,reference,normalized_flux_atlas,reference_only,Use measured disk-integrated flux atlas; preserve original sampling,no,line_selection,no,Blue edge has low continuum/SNR for some diagnostics,Primary resolved solar reference,NH|CN|N I|O I|P I|K I|Sc II,Reference atlas not an instrument holding for stellar systems,reference,RYA-459,RYA-162|RYA-459|RYA-460|RYA-513,Kurucz Furenlid Brault & Testerman 1984 NSO Atlas No. 1,2026-07-28
apogee,APOGEE,SDSS,Apache Point 2.5m,SDSS Science Archive,https://data.sdss.org,survey_spectrograph,NIR,H,H,1510.0,1700.0,vacuum,22500,22500,north,32.78,reduced,apStar|apVisit,audit_only,Survey normalization and line-spread function require product-aware handling,yes,correction_required,no,Resolution is lower than dedicated Codex echelles,H-band survey cross-check,OH|CO|CN,Procyon audit found weak-CO coverage only,experimental,RYA-351,RYA-191|RYA-351|RYA-652,Nidever et al. 2015 AJ 150 173; Holtzman et al. 2015 AJ 150 148,2026-07-28
chiron,CHIRON,SMARTS,CTIO 1.5m,NOIRLab Astro Data Archive,https://astroarchive.noirlab.edu,fiber_echelle,VIS,VIS,VIS|red_optical,410.0,880.0,air,25000,136000,south,-30.17,raw_reduced,extracted_echelle|raw,audit_only,Verify slicer/fiber mode and target identity,no,unspecified,no,Mode-dependent resolution,Supplementary southern optical coverage,Fe|refractories,Alpha Cen B provenance is present but confirmation remains owed,experimental,RYA-384,RYA-119|RYA-191|RYA-384,Tokovinin et al. 2013 PASP 125 1336; SMARTS/NOIRLab,2026-07-28
crires_plus,CRIRES+,ESO,VLT,ESO Science Archive,https://archive.eso.org,cross_dispersed_echelle,NIR_IR,K,Y|J|H|K|L|M,950.0,5300.0,vacuum,50000,100000,south,-24.63,reduced,IDP|cr2res,loader_partial,Per-setting coverage; nm-to-A conversion; topocentric-to-barycentric correction; molecfit conditioning,yes,correction_required,yes,Strong telluric and thermal/blaze structure,K-band CO/OH and isotopic synthesis,CO 2.3um|OH|13CO,Verified Vesta 55 Cnc and Alpha Cen holdings; science path telluric-gated,experimental,RYA-370,RYA-351|RYA-370|RYA-373|RYA-380|RYA-464,ESO CRIRES+ User Manual and cr2res pipeline documentation,2026-07-28
espadons,ESPaDOnS,CFHT,Canada-France-Hawaii Telescope,CADC/PolarBase,https://polarbase.irap.omp.eu,cross_dispersed_echelle,VIS,VIS,NUV|VIS|red_optical,370.0,1050.0,air,65000,65000,north,19.83,reduced,Libre-ESpRIT,candidate,Confirm Stokes product and continuum normalization,no,unspecified,no,Polarimetric products require product-aware ingestion,Wide optical northern coverage,Fe|refractories|activity,Capability registered; holdings not asserted,candidate,,RYA-119|RYA-191|RYA-652,Donati et al. 2006 MNRAS 370 629; PolarBase documentation,2026-07-28
espresso,ESPRESSO,ESO,VLT,ESO Science Archive,https://archive.eso.org,stabilized_echelle,VIS,VIS,VIS|red_optical,378.0,788.0,vacuum,70000,140000,south,-24.63,reduced,S1D_FINAL_A|S2D,loader_partial,Prefer WAVE_AIR where supplied; reject velocity-smeared stack products,no,unspecified,yes,Reject S1D_STACK_A for reflected-solar work,High-stability optical cross-arm reference,O I 777|C I|Fe,Verified reflected-solar and Alpha Cen holdings,active,RYA-370,RYA-191|RYA-370|RYA-372|RYA-464,Pepe et al. 2021 A&A 645 A96; ESO ESPRESSO DRS,2026-07-28
feros,FEROS,ESO,MPG/ESO 2.2m,ESO Science Archive,https://archive.eso.org,cross_dispersed_echelle,VIS,VIS,NUV|VIS|red_optical,350.0,920.0,air,48000,48000,south,-29.26,reduced,ADP,audit_only,Confirm object identity and product frame before use,no,unspecified,no,Lower resolution than HARPS/UVES,Supplementary wide optical coverage,Fe|refractories,Alpha Cen holdings require A/B identity reconciliation,experimental,RYA-384,RYA-119|RYA-191|RYA-384,Kaufer et al. 1999 Messenger 95 8; ESO FEROS documentation,2026-07-28
flames_giraffe,FLAMES/GIRAFFE,ESO,VLT,ESO Science Archive,https://archive.eso.org,multi_object_spectrograph,VIS,VIS,VIS|red_optical,370.0,900.0,air,6000,47000,south,-24.63,reduced,Phase3_products,rejected,No Codex ingestion planned,no,unspecified,no,Resolution and multiplex design add no value over existing single-star UVES data,,,Explicitly rejected for bright single-star abundance work,rejected,,RYA-191|RYA-652,Pasquini et al. 2002 Messenger 110 1; ESO FLAMES documentation,2026-07-28
ghost,GHOST,Gemini,Gemini South,Gemini Observatory Archive,https://archive.gemini.edu,cross_dispersed_echelle,VIS,VIS,NUV|VIS|red_optical,363.0,950.0,vacuum,56000,76000,south,-30.24,reduced,DRAGONS_products|raw,candidate,Confirm mode and DRAGONS product schema,no,unspecified,mode_dependent,New instrument with limited legacy epochs,Southern high-resolution optical gap filler,Fe|C|O|refractories,Archive search for Alpha Cen and 55 Cnc is still owed,candidate,,RYA-191|RYA-652,GHOST Instrument Handbook; Gemini Observatory Archive,2026-07-28
gnirs,GNIRS,Gemini,Gemini North,Gemini Observatory Archive,https://archive.gemini.edu,cross_dispersed_spectrograph,NIR_IR,K,Y|J|H|K|L|M,850.0,5400.0,vacuum,1200,18000,north,19.82,raw_reduced,DRAGONS_products|raw,rejected,Only reconsider for low-resolution bandhead fitting,yes,correction_required,yes,Resolution too low for Codex EW work,Conditional molecular bandhead context,CO_bandhead,Rejected for high-resolution abundance pipeline,rejected,,RYA-189|RYA-191|RYA-652,GNIRS Instrument Handbook; Gemini Observatory Archive,2026-07-28
