# RYA-395 non-Fe EW line-pool curation — Cr
# Single source: measured EW = data/measured/sol_ew_results_v1.csv;
#   atomic data (loggf/EP/nist_grade/loggf_reference) = data/linelists/canonical_gf.csv.
# Cull criteria (FIXED in advance, abundance-BLIND, uniform across elements):
#   WEAK  ew_mA < 5
#   SAT   log(EW/λ) > -4.9  (linear-COG knee) OR ew_mA > 100
#   HIERR ew_err/ew > 0.5
#   BLEND measured blend_flag OR strength-weighted contaminant opacity > 0.5
#         (NOT vald_proximity_flag — that crude flag was the known silent bug)
#   BADGF nist_grade in {D,E,F}
# gf_flag=GF_UNVERIFIED marks ungraded/Kurucz-theoretical gf (low-confidence, NOT culled);
#   a pool dominated by these with a surviving offset is a gf-scale systematic → RYA-161.
# Abundances (A_lte) are reported as VALIDATION only — never used to choose culls.
element,ion,wavelength_air_A,ew_mA,ew_err_mA,err_frac,rew,log_gf,excitation_potential_eV,nist_grade,loggf_reference,gf_tier,blend_ratio,A_lte,cull_reason,kept,gf_flag
Cr,I,4041.79714,186.02,101.62,0.5462853456617568,-4.3370148722108555,-1.819,2.5443,,VALD3,MED,0.0,,"SAT,HIERR",False,
Cr,I,4293.5427,15.74,32.56,2.06861499364676,-5.435811058364405,-1.2,2.914,,SLS,MED,0.0,5.634,HIERR,False,
Cr,I,4394.17595,260.8,154.22,0.5913343558282208,-4.22656985573494,-1.721,3.013,,K10,LOW,0.004270199450154462,9.471,"SAT,HIERR",False,GF_UNVERIFIED
Cr,I,4425.12708,254.09,24.69,0.0971702939903184,-4.240938173968373,-1.837,3.104,,K10,LOW,0.007102925796892749,9.668,SAT,False,GF_UNVERIFIED
Cr,I,4473.82798,171.49,36.46,0.21260714910490408,-4.41644048098417,-1.008,2.708,,K10,LOW,6.054452371476001e-05,7.77,SAT,False,GF_UNVERIFIED
Cr,I,4506.83868,127.53,87.62,0.6870540265035678,-4.54825965331215,-0.05,4.186,,MFW,MED,0.005856403022685612,,"SAT,HIERR",False,
Cr,I,4534.95337,272.43,198.72,0.7294350842418236,-4.221317895453181,-0.383,3.079,,VALD3,MED,3.6120597618117063e-06,,"SAT,HIERR",False,
Cr,I,4575.10706,214.28,28.65,0.13370356542841141,-4.32941962354825,-0.97,3.369,,MFW,MED,4.195470185416323e-05,8.721,SAT,False,
Cr,I,4617.36991,74.04,12.78,0.1726094003241491,-4.794928258370335,-2.67,2.983,,MFW,MED,0.0031342931530068904,8.55,SAT,False,
Cr,I,4700.61134,240.61,115.82,0.4813598769793441,-4.290840670855915,-1.255,2.71,,MFW,MED,1.7458370338026804e-05,8.586,SAT,False,
Cr,I,4745.3065,209.25,25.55,0.12210274790919952,-4.355598802144331,-1.38,2.708,,SLS,MED,0.03685373607099218,8.618,SAT,False,
Cr,I,4759.47537,43.55,12.7,0.29161882893226176,-5.038570924370292,-1.041,4.532,,K10,LOW,0.2135479312948073,,,True,GF_UNVERIFIED
Cr,I,4759.75386,93.2,160.75,1.7247854077253217,-4.7081685823817,-2.198,3.011,,K10,LOW,0.041332425126849544,8.558,"SAT,HIERR",False,GF_UNVERIFIED
Cr,I,4777.58487,40.53,96.74,2.3868739205526768,-5.0714318069503594,-2.088,3.013,,K10,LOW,0.014633927302666824,7.236,HIERR,False,GF_UNVERIFIED
Cr,I,4807.81135,275.43,31.98,0.11610935627927241,-4.241936176271462,-1.933,3.092,,K10,LOW,0.0,9.776,SAT,False,GF_UNVERIFIED
Cr,I,4816.1392,57.68,102.29,1.7734049930651874,-4.92167377905464,-0.26,4.535,,MFW,MED,0.0007076499429921286,,HIERR,False,
Cr,I,4964.92723,233.45,31.36,0.1343328335832084,-4.327719009239087,-2.527,0.941,,VALD3,MED,0.003140902899485616,8.155,SAT,False,
Cr,I,4992.58389,174.37,238.05,1.3652004358547916,-4.456853603469793,-2.003,3.422,,K10,LOW,0.0,9.617,"SAT,HIERR",False,GF_UNVERIFIED
Cr,I,5055.58089,86.74,21.12,0.24348628083928986,-4.765551645739917,-1.409,3.464,,K10,LOW,0.0011505330120277456,7.78,SAT,False,GF_UNVERIFIED
Cr,I,5214.13143,22.9,12.92,0.5641921397379913,-5.357346491673927,-0.74,3.369,,VALD3,MED,0.0005186280066988507,5.784,HIERR,False,
Cr,I,5214.85846,202.38,20.61,0.10183812629706493,-4.411074933869443,-1.034,4.4677,,VALD3,MED,0.02913423081829433,,SAT,False,
Cr,I,5215.2853,202.54,19.84,0.09795595931667819,-4.410767265666926,-0.711,3.449,,K10,LOW,0.0008632574281206216,8.499,SAT,False,GF_UNVERIFIED
Cr,I,5216.14628,201.95,17.6,0.08715028472394158,-4.412105904609348,-1.306,3.323,,K10,LOW,0.00016915370358573862,8.578,SAT,False,GF_UNVERIFIED
Cr,I,5220.8912,38.11,8.36,0.21936499606402518,-5.136705694116394,-0.89,3.385,,SLS,MED,0.0012001505008045219,6.302,,True,
Cr,I,5223.87811,205.4,150.08,0.7306718597857839,-4.405392595626742,-1.143,3.648,,K10,LOW,0.00045421260527893695,8.72,"SAT,HIERR",False,GF_UNVERIFIED
Cr,I,5238.9608,21.47,8.34,0.38844899860270143,-5.387413104458847,-1.27,2.709,,SLS,MED,0.00022268295304709573,5.632,,True,
Cr,I,5241.458,118.09,108.39,0.9178592598865272,-4.647238987525121,-1.92,2.71,,SLS,MED,0.020641840816789027,8.186,"SAT,HIERR",False,
Cr,I,5243.3539,212.75,27.24,0.1280376028202115,-4.391739602638225,-0.58,3.395,,SLS,MED,0.0,7.925,SAT,False,
Cr,I,5255.117,215.23,15.54,0.07220183059982345,-4.387679583924661,-0.1,3.464,,SLS,MED,0.0,7.771,SAT,False,
Cr,I,5293.37601,117.27,63.5,0.5414854609021915,-4.6545458196362794,-1.36,3.375,,MFW,MED,0.006171766735825116,8.28,"SAT,HIERR",False,
Cr,I,5344.7564,122.27,50.37,0.4119571440255173,-4.640608003784296,-0.99,3.449,,SLS,MED,7.384920186645003e-07,7.756,SAT,False,
Cr,I,5367.3411,180.77,24.75,0.1369143110029319,-4.472632837998656,-1.604,3.011,,K10,LOW,0.00014368838961986819,8.827,SAT,False,GF_UNVERIFIED
Cr,I,5420.04727,93.91,7.87,0.08380364178468747,-4.76129123363166,-1.5,3.845,,K10,LOW,0.05334979645665517,8.528,SAT,False,GF_UNVERIFIED
Cr,I,5482.97816,122.29,54.6,0.44647967945048656,-4.651625570992006,-0.772,4.535,,K10,LOW,0.03034349612098872,,SAT,False,GF_UNVERIFIED
Cr,I,5507.44131,206.26,99.34,0.481625133326869,-4.426534864378461,-2.214,3.011,,K10,LOW,1.059054846756048e-06,9.569,SAT,False,GF_UNVERIFIED
Cr,I,5566.54284,192.6,26.09,0.13546209761163033,-4.460929272950272,-2.12,3.4348,,VALD3,MED,0.49625959309641604,9.652,SAT,False,
Cr,I,5609.16006,35.98,5.64,0.15675375208449138,-5.192836673972523,-1.797,3.4493,,VALD3,MED,0.0004392218164044968,,,True,
Cr,I,5641.73476,98.32,7.2,0.07323026851098455,-4.75877079454,-0.957,3.817,,K10,LOW,0.021839772379475327,7.812,SAT,False,GF_UNVERIFIED
Cr,I,5667.81511,76.25,7.23,0.09481967213114754,-4.871175826651796,-1.231,4.186,,K10,LOW,0.0010243191435606609,8.143,SAT,False,GF_UNVERIFIED
Cr,I,5674.17436,54.41,22.87,0.42032714574526747,-5.018223951063694,-2.277,3.556,,K10,LOW,0.0,8.213,,True,GF_UNVERIFIED
Cr,I,5675.07013,105.17,4.4,0.04183702576780451,-4.732079358797827,-3.248,3.556,,K10,LOW,14.07786322948233,10.212,"SAT,BLEND",False,GF_UNVERIFIED
