# RYA-398 graded (independent-gf) non-Fe EW line-pool curation — Ti
# Single source: measured EW = data/measured/sol_ew_results_v1.csv;
#   atomic data (loggf/EP/nist_grade/loggf_reference) = data/linelists/canonical_gf.csv.
# Cull criteria (FIXED in advance, abundance-BLIND, uniform across elements):
#   WEAK  ew_mA < 5
#   SAT   log(EW/λ) > -4.9  (linear-COG knee) OR ew_mA > 100
#   HIERR ew_err/ew > 0.5
#   BLEND measured blend_flag OR strength-weighted contaminant opacity > 0.5
#         (NOT vald_proximity_flag — that crude flag was the known silent bug)
#   BADGF nist_grade in {D,E,F}
#   GRADE gf not in ACCEPTED_GF_TIERS {HIGH,MED} — i.e. Kurucz-theoretical (K03-K10/KP) or unreferenced gf (RYA-398 independent-gf cull)
# gf_flag=GF_UNVERIFIED marks ungraded/Kurucz-theoretical gf (LOW tier).
# Abundances (A_lte) are reported as VALIDATION only — never used to choose culls.
element,ion,wavelength_air_A,ew_mA,ew_err_mA,err_frac,rew,log_gf,excitation_potential_eV,nist_grade,loggf_reference,gf_tier,blend_ratio,A_lte,cull_reason,kept,gf_flag
Ti,I,4449.1425,109.02,24.31,0.22298660796184186,-4.610770138142359,0.47,1.887,,LGWSC,MED,3.0890907567078393e-06,5.833,SAT,False,
Ti,I,4548.7635,71.82,19.59,0.272765246449457,-4.801647956722469,-0.28,0.826,,LGWSC,MED,5.108607703448711e-06,4.804,SAT,False,
Ti,I,4690.7929,264.86,54.32,0.20508948123536963,-4.248229884415953,-2.03,1.067,,LGWSC,MED,0.022563484134746535,8.78,SAT,False,
Ti,I,4742.7892,40.77,11.73,0.28771155261221487,-5.065693110793796,0.21,2.236,,LGWSC,MED,1.4950249136009554e-05,4.981,,True,
Ti,I,4759.2697,44.52,12.62,0.28346810422282115,-5.028985160588691,0.59,2.256,,2013ApJS..,MED,0.0003985750937753604,4.696,,True,
Ti,I,4787.6352,230.88,146.69,0.6353516978516979,-4.31673473762097,-3.28,0.818,,LGWSC,MED,0.004841346443346683,9.669,"SAT,HIERR",False,
Ti,I,4837.39563,119.99,94.28,0.7857321443453622,-4.605466554605525,-1.45,2.292,,K10,LOW,0.04568602359374925,8.166,"SAT,HIERR,GRADE",False,GF_UNVERIFIED
Ti,I,4839.2514,283.45,141.95,0.5007937907920268,-4.232301723045883,-1.38,2.231,,LGWSC,MED,0.0002334977227609876,9.174,"SAT,HIERR",False,
Ti,I,4915.2287,8.81,9.03,1.024971623155505,-5.746567821454434,-0.91,1.887,,2013ApJS..,MED,0.014692635163327056,4.832,HIERR,False,
Ti,I,4943.0668,135.76,20.33,0.14974955804360637,-4.561224650193311,-3.07,0.9,,LGWSC,MED,0.0281155363969871,8.802,SAT,False,
Ti,I,4964.72,167.33,32.45,0.19392816589971912,-4.47232094915155,-0.82,1.969,,1986MNRAS.,MED,0.0,7.41,SAT,False,
Ti,I,4988.60249,148.8,12.49,0.08393817204301075,-4.525375967943299,-0.229,3.199,,K10,LOW,0.3896724484126118,8.062,"SAT,GRADE",False,GF_UNVERIFIED
Ti,I,4997.0967,89.99,10.36,0.11512390265585065,-4.744523501843266,-2.07,0.0,,2013ApJS..,MED,6.212588630297507e-05,6.125,SAT,False,
Ti,I,5009.6447,160.63,32.37,0.20151901886322604,-4.4939802660485855,-2.2,0.021,,VALD3,MED,3.1694063014488327e-05,7.278,SAT,False,
Ti,I,5038.3979,53.45,28.61,0.5352666043030869,-4.974344752734136,0.02,1.43,,LGWSC,MED,1.7933547774317017e-11,4.616,HIERR,False,
Ti,I,5054.07445,112.29,61.77,0.5500935078813786,-4.653300553253973,-0.454,2.677,,K10,LOW,0.00022357562846546695,7.408,"SAT,HIERR,GRADE",False,GF_UNVERIFIED
Ti,I,5132.9286,290.78,66.88,0.2300020634156407,-4.246800690971705,-1.17,2.249,,LGWSC,MED,0.0,8.994,SAT,False,
Ti,I,5246.35315,187.0,43.16,0.23080213903743313,-4.44801591455089,-3.098,0.813,,K10,LOW,0.0,9.169,"SAT,GRADE",False,GF_UNVERIFIED
Ti,I,5250.92031,145.28,12.47,0.08583425110132159,-4.558029596138827,-2.578,0.826,,K10,LOW,0.01436151455086636,8.31,"SAT,GRADE",False,GF_UNVERIFIED
Ti,I,5259.9728,89.95,175.85,1.9549749861033907,-4.7669823306850105,-0.18,2.738,,MFW,MED,0.014291330138404616,6.649,"SAT,HIERR",False,
Ti,I,5300.0105,5.93,14.39,2.4266441821247895,-5.951222036630402,-2.3,1.053,,2013ApJS..,MED,0.1495056697253481,5.192,HIERR,False,
Ti,I,5351.06709,94.6,170.75,1.8049682875264272,-4.752549259654528,-0.067,2.778,,K10,LOW,0.000474480299290413,6.642,"SAT,HIERR,GRADE",False,GF_UNVERIFIED
Ti,I,5376.59913,90.55,14.42,0.15924903368304805,-4.773619202783164,-3.995,0.0,,K10,LOW,0.0,7.998,"SAT,GRADE",False,GF_UNVERIFIED
Ti,I,5394.1582,182.6,41.78,0.22880613362541075,-4.470422906104267,-1.8,2.334,,LGWSC,MED,0.0012889644634297124,9.186,SAT,False,
Ti,I,5409.6078,194.38,15.39,0.07917481222347979,-4.444514201832782,-0.73,1.887,,LGWSC,MED,3.296336956627445e-07,7.817,SAT,False,
Ti,I,5456.8933,171.01,81.8,0.478334600315771,-4.5039239550098085,-1.36,2.578,,LGWSC,MED,0.0,8.885,SAT,False,
Ti,I,5471.192,113.95,81.0,0.7108380868802106,-4.681367626181822,-1.42,1.443,,2013ApJS..,MED,9.132997748848351e-05,7.167,"SAT,HIERR",False,
Ti,I,5474.223,101.41,7.53,0.0742530322453407,-4.732241702301165,-1.23,1.46,,2013ApJS..,MED,0.0,6.882,SAT,False,
Ti,I,5490.1477,33.42,4.65,0.1391382405745063,-5.215577582760138,-0.84,1.46,,VALD3,MED,2.167756711056651e-08,5.06,,True,
Ti,I,5589.99559,106.24,21.75,0.20472515060240964,-4.721123403243622,-0.546,3.424,,K10,LOW,0.004485923251938088,8.002,"SAT,GRADE",False,GF_UNVERIFIED
Ti,I,5618.346,58.13,4.02,0.06915534147600205,-4.985208158307117,-2.54,1.503,,LGWSC,MED,0.022377044662782737,7.309,,True,
