element,Z,canonical_species,solar_3d_nlte,solar_reference,solar_doi,offsolar_3d_nlte,offsolar_reference,offsolar_doi,our_holding,note
Li,3,Li I,FULL_3D_NLTE,"Wang, Nordlander, Asplund, Amarsi, Lind & Zhou 2021, MNRAS 500, 2159",10.1093/mnras/staa3381,GRID_PUBLIC,"Wang, Nordlander, Asplund, Amarsi, Lind & Zhou 2021, MNRAS 500, 2159 -- 3D NLTE Li over the full STAGGER grid",10.5281/zenodo.13829605,grids-overflow/nlte/threed_offsolar/Li_wang2021_breidablik/,Adopted by Asplund+2021 (A(Li)=0.96). The Li grid is the widest-coverage 3D-NLTE product outside Fe. RYA-563 currently reports Li as UPPER_LIMIT on a different basis. FETCHED 2026-08-23 under RYA-820/RYA-1015 to the Sirius overflow area; verified full 3D-NLTE at the primary source before download. Engine-A-3DNLTE wiring + domain check still owed.
C,6,C I,FULL_3D_NLTE,"Amarsi, Nissen & Skuladottir 2019, A&A 630, A104",10.1051/0004-6361/201936265,GRID_VENDORED,"Amarsi, Nissen & Skuladottir 2019, A&A 630, A104 — line-by-line 3D-NLTE / 1D-NLTE grids (CDS J/A+A/630/A104)",10.1051/0004-6361/201936265,data/nlte_grids/amarsi2019_cno/,"3D leg below Teff 6500 K, 1D-NLTE leg above (RYA-359/237). Live in production."
N,7,N I,FULL_3D_NLTE,"Amarsi, Grevesse, Grumer, Asplund, Barklem & Collet 2020, A&A 636, A120",10.1051/0004-6361/202037890,SOLAR_ONLY,"no off-solar full-3D-NLTE N grid found in this survey; our N leg is the 1D-NLTE grid of Amarsi, Lind, Osorio et al. 2020, A&A 642, A62 (GALAH departure coefficients)",10.1051/0004-6361/202038650,data/nlte_grids/N_Amarsi2020_PySME.csv,The CNO subsystem covers C and O only; N I atomic departures are the separate 1D-NLTE registry grid (RYA-526).
O,8,O I,FULL_3D_NLTE,"Amarsi, Barklem, Asplund, Collet & Zatsarinny 2018, A&A 616, A89",10.1051/0004-6361/201832770,GRID_VENDORED,"Amarsi, Nissen & Skuladottir 2019, A&A 630, A104 — line-by-line 3D-NLTE grids built on the Amarsi+2018 O I model atom",10.1051/0004-6361/201936265,data/nlte_grids/amarsi2019_cno/,O I 777 runs 3D-NLTE at solar Teff and 1D-NLTE above 6500 K; [O I] 6300 is forbidden-LTE by construction (RYA-447).
Na,11,Na I,FULL_3D_NLTE,"Asplund, Amarsi & Grevesse 2021, A&A 653, A141 (first full 3D non-LTE Na for the Sun)",10.1051/0004-6361/202140445,GRID_PUBLIC,"Canocchi et al. 2026, A&A 709, A90 -- 3D NLTE Na, nine Na I lines, dwarfs and giants",10.5281/zenodo.19396611,grids-overflow/nlte/threed_offsolar/Na_canocchi2026/,"3D-NLTE effect on solar Na is small (~-0.03 dex) and close to the 1D value. RYA-817 review correction (Ryan, 2026-08-14) flagged this row as stale and cited 'Canocchi et al. 2024'. CITATION CORRECTED at the primary source: Canocchi+2024 (A&A 683, A242) is the SOLAR centre-to-limb-variation paper (Na I D and K I in the Sun, transmission-spectroscopy motivated) and carries no off-solar grid. The off-solar grid is Canocchi+2026, A&A 709, A90. The conclusion stands, the reference does not. NB this grid is the WIDEST of any 3D-NLTE product we have found -- it reaches giants (logg 1.5) and [Fe/H] +0.5, unlike the Fe/Mg turn-off boxes. FETCHED 2026-08-23 under RYA-820/RYA-1015 to the Sirius overflow area; verified full 3D-NLTE at the primary source before download. Engine-A-3DNLTE wiring + domain check still owed."
Mg,12,Mg I,FULL_3D_NLTE,"Asplund, Amarsi & Grevesse 2021, A&A 653, A141 (first full 3D non-LTE Mg for the Sun)",10.1051/0004-6361/202140445,GRID_PUBLIC,"Matsuno, Amarsi, Carlos & Nissen 2024, A&A 688, A72 -- 3D NLTE Mg corrections (Balder/Stagger)",10.1051/0004-6361/202450057,grids-overflow/nlte/threed_offsolar/Mg_matsuno2024/,"Mg I and Mg II averaged in the Asplund+2021 recommendation. RYA-817 review correction (Ryan, 2026-08-14): this row read SOLAR_ONLY because the survey cutoff missed Matsuno+2024. Verified at the primary source: the correction grid is a real CDS catalogue, and its box is the SAME as the Amarsi+2022 Fe MLP (Teff 5000-6500, logg 4.0-4.5, [Fe/H] -3..0) -- so it inherits the same ceiling and, being EW-correction based, the same open question about which LINES it covers. FETCHED 2026-08-23 under RYA-820/RYA-1015 to the Sirius overflow area; verified full 3D-NLTE at the primary source before download. Engine-A-3DNLTE wiring + domain check still owed."
Al,13,Al I,FULL_3D_NLTE,"Nordlander & Lind 2017, A&A 607, A75",10.1051/0004-6361/201730427,GRID_MEAN3D,"Nordlander & Lind 2017, A&A 607, A75 — equivalent-width grids over (Teff, logg, [Fe/H], A(Al)) in LTE and non-LTE for 1D AND temporally/spatially averaged <3D> models; the FULL 3D calculation is solar only",10.1051/0004-6361/201730427,data/nlte_grids/Al_Amarsi2020_PySME.csv,<3D> non-LTE is NOT 3D non-LTE: it removes the inhomogeneity term while keeping the mean stratification. RYA-716/773 measured Al 1D-LTE 6.3238.
Si,14,Si I,FULL_3D_NLTE,"Amarsi & Asplund 2017, MNRAS 464, 264",10.1093/mnras/stw2445,SOLAR_ONLY,"no off-solar full-3D-NLTE Si grid found; the available grid is 1D non-LTE — Amarsi, Lind, Osorio et al. 2020, A&A 642, A62",10.1051/0004-6361/202038650,data/nlte_grids/Si_Amarsi2020_PySME.csv,Solar 3D and NLTE terms are both hundredths of a dex (RYA-399: 3D is NOT the lever).
P,15,P I,3D_LTE_ONLY,"Asplund, Amarsi & Grevesse 2021, A&A 653, A141, Table 1 (3D LTE row)",10.1051/0004-6361/202140445,NONE,no 3D non-LTE P study found in this survey,,none,"No NLTE grid of any dimensionality; blocker is line access (FUV needs HST/STIS), not NLTE."
S,16,S I,MEAN3D_NLTE,"Asplund, Amarsi & Grevesse 2021, A&A 653, A141, Table 1 (3D LTE + 1D/<3D> non-LTE row)",10.1051/0004-6361/202140445,NONE,no full-3D non-LTE S grid found in this survey,,data/nlte_grids/S_Amarsi2025_PySME.csv,RYA-557 wired S at 7.486 from a 1D-NLTE route.
