element	wave_A	wave_nm	loggf	lower_state_eV	lower_state_cm1	lower_j	upper_state_eV	upper_state_cm1	upper_j	upper_g	lande_lower	lande_upper	spectrum_transition_type	turbospectrum_rad	rad	stark	waals	waals_single_gamma_format	turbospectrum_fdamp	spectrum_fudge_factor	theoretical_depth	theoretical_ew	lower_orbital_type	upper_orbital_type	molecule	spectrum_synthe_isotope	ion	spectrum_moog_species	turbospectrum_species	width_species	reference_code	nlte	nlte_level_low	nlte_level_up	nlte_label_low	nlte_label_up	spectrum_support	turbospectrum_support	moog_support	width_support	synthe_support	sme_support
Fe 1	15007.217	1500.7217	-2.006	6.3207	50979.884	4.0	7.1466	57641.216	4.0	9.0	1.240	1.270	GA	1.35E+08	8.130	-4.460	-7.320	-7.320	-7.320	1.000	0.007	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Cr 1	15007.584	1500.7584	-3.776	3.0133	24303.904	3.0	3.8392	30965.236	3.0	7.0	1.550	1.250	GA	1.20E+07	7.080	-6.010	-7.780	-7.780	-7.780	1.000	0.001	0.000	X	X	F	0	1	24.0	24.000000	24.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	15009.416	1500.9416	-0.383	6.2810	50659.681	0.0	7.1068	57320.208	1.0	3.0	0.000	-0.330	GA	5.89E+07	7.770	-4.320	-7.290	-7.290	-7.290	1.000	0.195	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	15009.486	1500.9486	-2.429	6.3360	51103.286	5.0	7.1618	57763.813	4.0	9.0	1.380	1.500	GA	1.82E+08	8.260	-4.380	-7.340	-7.340	-7.340	1.000	0.003	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Ca 1	15009.950	1500.9950	-1.111	5.5854	45049.289	1.0	6.4112	51709.815	1.0	3.0	0.500	0.500	GA	4.47E+07	7.650	-3.540	-7.090	-7.090	-7.090	1.000	0.009	0.000	X	X	F	0	1	20.0	20.000000	20.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Ni 1	15010.169	1501.0169	-2.574	5.4669	44093.522	2.0	6.2927	50754.048	2.0	5.0	1.450	1.190	GA	1.29E+08	8.110	-4.500	-7.500	-7.500	-7.500	1.000	0.002	0.000	X	X	F	0	1	28.0	28.000000	28.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Ni 1	15010.568	1501.0568	-2.001	5.2884	42653.823	2.0	6.1141	49313.542	3.0	7.0	1.200	1.000	GA	2.04E+08	8.310	-4.640	-7.500	-7.500	-7.500	1.000	0.007	0.000	X	X	F	0	1	28.0	28.000000	28.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Fe 1	15011.260	1501.1260	-1.481	5.9303	47831.095	2.0	6.7560	54490.815	3.0	7.0	0.470	0.480	GA	1.35E+08	8.130	-4.660	-7.510	-7.510	-7.510	1.000	0.052	0.000	X	X	F	0	1	26.0	26.000000	26.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Co 1	15012.093	1501.2093	-0.528	6.0849	49078.028	1.5	6.9106	55737.748	1.5	4.0	0.400	0.980	GA	1.55E+08	8.190	-4.230	-7.430	-7.430	-7.430	1.000	0.005	0.000	X	X	F	0	1	27.0	27.000000	27.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Co 1	15012.110	1501.2110	-0.939	6.0849	49078.028	1.5	6.9106	55737.748	1.5	4.0	0.400	0.980	GA	1.55E+08	8.190	-4.230	-7.430	-7.430	-7.430	1.000	0.005	0.000	X	X	F	0	1	27.0	27.000000	27.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Co 1	15012.195	1501.2195	-0.939	6.0849	49078.028	1.5	6.9106	55737.748	1.5	4.0	0.400	0.980	GA	1.55E+08	8.190	-4.230	-7.430	-7.430	-7.430	1.000	0.005	0.000	X	X	F	0	1	27.0	27.000000	27.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Co 1	15012.212	1501.2212	-1.144	6.0849	49078.028	1.5	6.9106	55737.748	1.5	4.0	0.400	0.980	GA	1.55E+08	8.190	-4.230	-7.430	-7.430	-7.430	1.000	0.005	0.000	X	X	F	0	1	27.0	27.000000	27.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Co 1	15012.225	1501.2225	-0.825	6.0849	49078.028	1.5	6.9106	55737.748	1.5	4.0	0.400	0.980	GA	1.55E+08	8.190	-4.230	-7.430	-7.430	-7.430	1.000	0.005	0.000	X	X	F	0	1	27.0	27.000000	27.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
Co 1	15012.293	1501.2293	-0.825	6.0849	49078.028	1.5	6.9106	55737.748	1.5	4.0	0.400	0.980	GA	1.55E+08	8.190	-4.230	-7.430	-7.430	-7.430	1.000	0.005	0.000	X	X	F	0	1	27.0	27.000000	27.00	VALD3	F	0	0	none	none	F	T	F	F	F	F
