element,ion,wavelength_air_A,excitation_potential_eV,log_gf,loggf_source,nist_grade,damping_rad,damping_stark,damping_vdW,central_depth,blend_flag,priority,notes
Fe,I,3780.255,3.9286,-2.876,VALD3,,8.08,-6.1,-7.3,0.256,False,1,
Ti,I,3780.384,1.4298,-1.69,VALD3,,8.54,-5.59,-7.62,0.492,True,3,
Fe,I,3780.4697,4.0758,-4.025,VALD3,,7.22,-4.13,-7.11,0.018,True,1,
Ti,I,3780.4934,2.6619,-1.637,VALD3,,7.83,-4.2,-7.31,0.046,True,3,
Fe,I,3780.7875,3.0469,-3.342,VALD3,,7.67,-4.84,-7.45,0.495,False,1,
Mn,I,3781.1791,4.3446,-1.704,VALD3,,7.95,-6.02,-7.77,0.036,True,3,
Fe,I,3781.1861,2.1979,-1.94,VALD3,,7.54,-6.11,-7.8,0.941,True,1,
V,I,3781.3779,1.9307,-0.57,VALD3,,8.23,-5.08,-7.57,0.257,True,3,
V,I,3781.4118,0.0,-3.489,VALD3,,8.14,-5.98,-7.75,0.055,True,3,
Fe,I,3781.4992,4.1034,-3.363,VALD3,,8.38,-3.91,-7.15,0.069,True,1,
Fe,II,3781.5115,4.4948,-2.971,VALD3,,8.62,-6.51,-7.883,0.088,True,1,
Fe,I,3781.6058,3.3965,-2.731,VALD3,,8.04,-4.37,-7.52,0.593,True,1,
V,I,3781.7322,1.8726,-0.443,VALD3,,8.16,-5.88,-7.69,0.349,False,3,
Fe,I,3781.9029,3.6352,-1.26,VALD3,,8.29,-6.21,-7.73,0.837,True,1,
Fe,I,3781.9394,3.6398,-1.965,VALD3,,8.06,-6.09,-7.56,0.732,True,1,
Ti,I,3781.9939,2.4269,-2.412,VALD3,,7.77,-4.66,-7.32,0.014,True,3,
Ti,I,3782.1053,1.0666,-1.71,VALD3,,7.81,-6.07,-7.71,0.688,True,3,
Fe,I,3782.1127,3.4149,-1.627,VALD3,,7.82,-5.13,-7.7,0.827,True,1,
Cr,I,3782.151,4.2074,-1.998,VALD3,,7.8,-4.61,-7.34,0.012,True,3,
Cr,I,3782.1911,3.3223,-2.853,VALD3,,8.43,-4.52,-7.54,0.015,True,3,
Y,II,3782.2639,3.6221,0.35,VALD3,,8.79,-5.56,-7.62,0.039,True,3,
Ca,I,3782.335,4.441,-1.647,VALD3,,8.04,-2.47,-6.72,0.051,True,2,
Fe,I,3782.4478,2.998,-1.752,VALD3,,8.18,-5.11,-7.259,0.875,True,1,
V,I,3782.5478,1.3763,-1.355,VALD3,,7.76,-6.01,-7.76,0.188,True,3,
Ti,I,3782.5624,2.6766,-1.734,VALD3,,7.84,-4.26,-7.29,0.036,True,3,
Fe,I,3782.6092,3.0713,-1.86,VALD3,,7.54,-6.14,-7.706,0.852,True,1,
Co,I,3782.7207,1.7853,-3.615,VALD3,,8.57,-5.99,-7.73,0.037,True,3,
Ti,I,3782.776,1.8792,-1.881,VALD3,,8.38,-5.32,-7.63,0.164,True,3,
