# linelist_procyon.csv — Procyon (HD 61421) per-system VALD3 linelist (RYA-309)
# Generated: 2026-06-14  by scripts/intake_build_procyon.py
# Stellar params (extraction): Teff=6530 K, logg=3.96, [Fe/H]=-0.04, vmic=1.7 km/s
#   (Heiter+2015 GBS fundamental Teff/logg; HFS-ON re-extraction)
# HFS splitting: ON (VERIFIED by split-group signature — supersedes the RYA-270
#   HFS-unsplit linelist_procyon.csv, quarantined as
#   linelist_procyon_rya270_hfsoff_quarantine.csv)
# Full species retained (Fe I + Fe II for the RYA-309 Fe run; all species kept
#   for the later RYA-308 all-element row).
# Extractions merged (all HFS-ON):
#   uv      : vald_procyon_uv_hfson_raw.txt (RyanSchmitt.019514.gz), 1150-3000 A
#   optical : vald_procyon_optical_hfson_raw.txt (RyanSchmitt.019513.gz), 3000-6910 A
#   nir     : vald_procyon_nir_hfson_raw.txt (RyanSchmitt.019515.gz), 6910-11000 A
# Wavelength convention: 'vacuum' for lambda < 2000 A (VALD delivers vacuum
#   below 2000 A despite the WL_air label), 'air' for lambda >= 2000 A.
#   NO vacuum->air conversion at build — done at the spectrum-matching boundary.
# Seam duplicates dropped at band endpoints: 73
# nist_grade empty pending NIST cross-validation; blend_flag=False everywhere.
element,ion,wavelength_air_A,excitation_potential_eV,log_gf,loggf_source,nist_grade,damping_rad,damping_stark,damping_vdW,central_depth,vald_proximity_flag,blend_flag,priority,notes,extraction_source,wavelength_convention
Fe,II,1150.25786,2.6758,-1.605,VALD3,,8.56,-5.74,-7.77,0.118,0.9958875649702634,False,1,,uv_019514,vacuum
Fe,II,1150.2893,0.0828,-1.463,VALD3,,8.57,-6.54,-7.94,0.918,0.3411850895103692,False,0,,uv_019514,vacuum
Fe,II,1150.46827,0.1211,-0.91,VALD3,,8.37,-6.54,-7.94,0.92,0.7000565413565982,False,0,,uv_019514,vacuum
Fe,II,1150.51922,2.6919,-1.128,VALD3,,8.86,-5.53,-7.644,0.276,1.0,False,1,,uv_019514,vacuum
Fe,II,1150.54523,3.1528,-0.678,VALD3,,8.65,-5.35,-7.636,0.248,1.0,False,1,,uv_019514,vacuum
Fe,II,1150.68512,0.0828,-0.894,VALD3,,8.63,-6.54,-7.94,0.921,1.0,False,0,,uv_019514,vacuum
Fe,II,1150.76941,2.5827,-1.514,VALD3,,8.34,-5.62,-7.61,0.173,1.0,False,1,,uv_019514,vacuum
Mn,II,1150.77431,0.0,-5.171,VALD3,,7.94,-5.79,-7.6,0.065,1.0,False,0,,uv_019514,vacuum
Mn,II,1150.77446,0.0,-5.074,VALD3,,7.94,-5.79,-7.6,0.065,1.0,False,0,,uv_019514,vacuum
Mn,II,1150.77484,0.0,-5.074,VALD3,,7.94,-5.79,-7.6,0.065,1.0,False,0,,uv_019514,vacuum
Mn,II,1150.77499,0.0,-5.083,VALD3,,7.94,-5.79,-7.6,0.065,1.0,False,0,,uv_019514,vacuum
Mn,II,1150.77524,0.0,-4.865,VALD3,,7.94,-5.79,-7.6,0.065,1.0,False,0,,uv_019514,vacuum
Mn,II,1150.77587,0.0,-4.865,VALD3,,7.94,-5.79,-7.6,0.065,1.0,False,0,,uv_019514,vacuum
Mn,II,1150.77612,0.0,-4.807,VALD3,,7.94,-5.79,-7.6,0.065,1.0,False,0,,uv_019514,vacuum
Mn,II,1150.77648,0.0,-4.789,VALD3,,7.94,-5.79,-7.6,0.065,1.0,False,0,,uv_019514,vacuum
Mn,II,1150.77735,0.0,-4.789,VALD3,,7.94,-5.79,-7.6,0.065,1.0,False,0,,uv_019514,vacuum
Mn,II,1150.77771,0.0,-4.538,VALD3,,7.94,-5.79,-7.6,0.065,1.0,False,0,,uv_019514,vacuum
Mn,II,1150.77816,0.0,-4.811,VALD3,,7.94,-5.79,-7.6,0.065,1.0,False,0,,uv_019514,vacuum
Mn,II,1150.77929,0.0,-4.811,VALD3,,7.94,-5.79,-7.6,0.065,1.0,False,0,,uv_019514,vacuum
Mn,II,1150.77975,0.0,-4.301,VALD3,,7.94,-5.79,-7.6,0.065,1.0,False,0,,uv_019514,vacuum
Mn,II,1150.7803,0.0,-4.986,VALD3,,7.94,-5.79,-7.6,0.065,1.0,False,0,,uv_019514,vacuum
Mn,II,1150.78169,0.0,-4.986,VALD3,,7.94,-5.79,-7.6,0.065,1.0,False,0,,uv_019514,vacuum
Mn,II,1150.78224,0.0,-4.093,VALD3,,7.94,-5.79,-7.6,0.065,1.0,False,0,,uv_019514,vacuum
S,I,1150.82227,1.1454,-1.089,VALD3,,7.92,-2.7,-6.84,0.911,1.0,False,0,,uv_019514,vacuum
Fe,II,1150.88834,0.3519,-3.239,VALD3,,8.46,-6.57,-7.716,0.55,1.0,False,1,,uv_019514,vacuum
Fe,II,1151.14588,0.0828,-0.451,VALD3,,8.7,-6.54,-7.941,0.922,0.1269017731918312,False,0,,uv_019514,vacuum
Fe,II,1151.70783,2.6919,-1.963,VALD3,,8.62,-5.54,-7.72,0.053,0.7253748753234941,False,1,,uv_019514,vacuum
Fe,II,1151.74159,2.5827,-1.538,VALD3,,8.23,-5.26,-7.47,0.166,0.2444687734615208,False,1,,uv_019514,vacuum
O,I,1152.151,1.9674,-0.268,VALD3,,0.0,0.0,0.0,0.921,0.0822669282408024,False,0,,uv_019514,vacuum
Fe,II,1152.42307,0.107,-2.037,VALD3,,8.54,-6.54,-7.946,0.907,0.3077125174572207,False,0,,uv_019514,vacuum
S,I,1152.50671,1.1454,-3.179,VALD3,,8.22,-3.07,-6.91,0.323,0.9129217602046916,False,0,,uv_019514,vacuum
S,I,1152.50671,1.1454,-3.711,VALD3,,8.15,-3.13,-6.88,0.121,1.0,False,0,,uv_019514,vacuum
P,II,1152.81802,0.0,-0.512,VALD3,,9.19,-5.99,-7.78,0.886,0.7742709882700558,False,0,,uv_019514,vacuum
Fe,II,1152.87433,0.107,-1.277,VALD3,,8.57,-6.54,-7.94,0.919,0.8491737093636097,False,0,,uv_019514,vacuum
Fe,II,1153.00671,0.9863,-2.442,VALD3,,8.43,-6.48,-7.929,0.588,1.0,False,1,,uv_019514,vacuum
Fe,II,1153.03777,2.7043,-0.816,VALD3,,8.62,-5.54,-7.72,0.415,1.0,False,1,,uv_019514,vacuum
Fe,II,1153.27193,0.107,-0.834,VALD3,,8.63,-6.54,-7.94,0.92,0.1600603158150428,False,0,,uv_019514,vacuum
Fe,II,1153.4234,0.3013,-4.566,VALD3,,8.56,-6.12,-7.7,0.059,0.5538244972994288,False,1,,uv_019514,vacuum
Fe,II,1153.5447,0.3013,-3.562,VALD3,,8.21,-6.0,-7.65,0.401,0.138455040469424,False,1,,uv_019514,vacuum
Fe,II,1153.9449,0.1211,-1.975,VALD3,,8.54,-6.54,-7.946,0.908,0.6646363494490659,False,0,,uv_019514,vacuum
P,II,1153.99511,0.0582,0.067,VALD3,,9.2,-5.99,-7.78,0.911,0.6926811295188597,False,0,,uv_019514,vacuum
S,I,1154.26936,1.1454,-2.661,VALD3,,8.34,-2.81,-7.0,0.599,0.9594026305170532,False,0,,uv_019514,vacuum
Fe,II,1154.34483,2.5827,-1.181,VALD3,,8.33,-5.68,-7.63,0.305,1.0,False,1,,uv_019514,vacuum
Fe,II,1154.35118,3.1528,-1.149,VALD3,,8.72,-5.98,-7.68,0.101,1.0,False,1,,uv_019514,vacuum
Fe,II,1154.39736,0.1211,-1.438,VALD3,,8.57,-6.54,-7.94,0.917,1.0,False,0,,uv_019514,vacuum
Ni,II,1154.41701,1.0407,-1.552,VALD3,,7.31,-6.59,-7.94,0.681,1.0,False,0,,uv_019514,vacuum
Fe,II,1154.60249,0.3865,-2.293,VALD3,,8.46,-6.57,-7.716,0.863,0.3512794826595473,False,0,,uv_019514,vacuum
Fe,II,1154.81705,2.7785,-1.336,VALD3,,8.53,-6.43,-7.77,0.16,0.3164635694888741,False,1,,uv_019514,vacuum
P,II,1155.0137,0.0204,-0.642,VALD3,,9.19,-5.99,-7.78,0.867,0.0650688148370059,False,0,,uv_019514,vacuum
Fe,II,1155.26543,2.7043,-1.203,VALD3,,8.33,-5.83,-7.61,0.237,0.1502372848034137,False,1,,uv_019514,vacuum
Fe,II,1155.4699,0.0477,-4.754,VALD3,,8.62,-6.54,-7.77,0.074,0.7173455280014077,False,1,,uv_019514,vacuum
Fe,II,1155.5199,2.5827,-1.968,VALD3,,8.37,-5.97,-7.46,0.065,0.7689039898730989,False,1,,uv_019514,vacuum
C,I,1155.809,0.0,-2.307,VALD3,,0.0,0.0,0.0,0.92,0.5362402450174514,False,0,,uv_019514,vacuum
Fe,II,1155.92046,3.1528,-0.871,VALD3,,8.84,-5.74,-7.71,0.174,1.0,False,1,,uv_019514,vacuum
C,I,1155.979,0.002,-2.125,VALD3,,0.0,0.0,0.0,0.92,1.0,False,0,,uv_019514,vacuum
S,I,1156.02646,0.0,-0.605,VALD3,,8.53,-5.14,-7.43,0.92,1.0,False,0,,uv_019514,vacuum
C,I,1156.028,0.002,-2.166,VALD3,,0.0,0.0,0.0,0.92,1.0,False,0,,uv_019514,vacuum
Fe,II,1156.16001,0.3519,-4.059,VALD3,,8.12,-5.98,-7.64,0.162,1.0,False,1,,uv_019514,vacuum
C,I,1156.18,0.0,-3.092,VALD3,,0.0,0.0,0.0,0.917,1.0,False,0,,uv_019514,vacuum
C,I,1156.199,0.002,-2.62,VALD3,,0.0,0.0,0.0,0.92,1.0,False,0,,uv_019514,vacuum
S,I,1156.27562,0.0,-1.074,VALD3,,8.5,-5.14,-7.44,0.92,1.0,False,0,,uv_019514,vacuum
C,I,1156.389,0.0054,-2.042,VALD3,,0.0,0.0,0.0,0.92,1.0,False,0,,uv_019514,vacuum
C,I,1156.4,0.002,-3.311,VALD3,,0.0,0.0,0.0,0.914,1.0,False,0,,uv_019514,vacuum
Fe,II,1156.47987,2.6349,-1.546,VALD3,,8.35,-6.53,-7.86,0.143,1.0,False,1,,uv_019514,vacuum
C,I,1156.56,0.0054,-1.569,VALD3,,0.0,0.0,0.0,0.92,0.7183414715202329,False,0,,uv_019514,vacuum
Fe,II,1156.63066,3.1528,-1.467,VALD3,,8.49,-6.53,-7.7,0.055,1.0,False,1,,uv_019514,vacuum
C,I,1156.76,0.0054,-4.71,VALD3,,0.0,0.0,0.0,0.747,0.3796477308118716,False,0,,uv_019514,vacuum
P,II,1156.9702,0.0204,-0.512,VALD3,,9.18,-5.99,-7.78,0.882,0.4052732533808959,False,0,,uv_019514,vacuum
Fe,II,1157.05772,3.1995,-0.882,VALD3,,8.87,-5.74,-7.67,0.151,1.0,False,1,,uv_019514,vacuum
Fe,II,1157.09405,0.3013,-4.157,VALD3,,8.26,-6.06,-7.67,0.142,1.0,False,1,,uv_019514,vacuum
C,I,1157.19,0.0,-3.059,VALD3,,0.0,0.0,0.0,0.917,0.7206988097277536,False,0,,uv_019514,vacuum
C,I,1157.33,0.0054,-2.251,VALD3,,0.0,0.0,0.0,0.92,1.0,False,0,,uv_019514,vacuum
S,I,1157.40284,1.1454,-0.901,VALD3,,8.66,-4.26,-7.15,0.913,1.0,False,0,,uv_019514,vacuum
C,I,1157.41,0.002,-2.345,VALD3,,0.0,0.0,0.0,0.92,1.0,False,0,,uv_019514,vacuum
S,I,1157.58974,1.1454,-2.427,VALD3,,7.57,-4.45,-6.94,0.703,1.0,False,0,,uv_019514,vacuum
S,I,1157.58974,1.1454,-3.68,VALD3,,7.32,-4.69,-6.93,0.129,1.0,False,0,,uv_019514,vacuum
Fe,II,1157.63128,2.7785,-0.742,VALD3,,8.76,-6.54,-7.81,0.408,1.0,False,1,,uv_019514,vacuum
Fe,II,1157.67741,2.7043,-1.294,VALD3,,8.6,-6.15,-7.684,0.205,1.0,False,1,,uv_019514,vacuum
C,I,1157.769,0.002,-1.579,VALD3,,0.0,0.0,0.0,0.92,1.0,False,0,,uv_019514,vacuum
C,I,1157.77,0.0054,-2.822,VALD3,,0.0,0.0,0.0,0.918,1.0,False,0,,uv_019514,vacuum
Fe,II,1157.82188,2.7785,-0.789,VALD3,,8.67,-6.54,-7.77,0.387,1.0,False,1,,uv_019514,vacuum
Fe,II,1157.85562,2.5827,-1.626,VALD3,,8.19,-5.29,-7.44,0.139,1.0,False,1,,uv_019514,vacuum
C,I,1157.91,0.0,-1.673,VALD3,,0.0,0.0,0.0,0.92,1.0,False,0,,uv_019514,vacuum
C,I,1158.019,0.0054,-1.106,VALD3,,0.0,0.0,0.0,0.92,1.0,False,0,,uv_019514,vacuum
C,I,1158.035,0.002,-1.506,VALD3,,0.0,0.0,0.0,0.92,1.0,False,0,,uv_019514,vacuum
Fe,II,1158.1154,1.0405,-1.752,VALD3,,8.63,-6.48,-7.923,0.82,1.0,False,0,,uv_019514,vacuum
C,I,1158.13,0.002,-1.923,VALD3,,0.0,0.0,0.0,0.919,1.0,False,0,,uv_019514,vacuum
C,I,1158.132,0.0054,-1.586,VALD3,,0.0,0.0,0.0,0.92,1.0,False,0,,uv_019514,vacuum
Fe,II,1158.27602,2.5827,-1.697,VALD3,,8.21,-5.18,-7.44,0.122,1.0,False,1,,uv_019514,vacuum
Fe,II,1158.30136,2.5827,-1.768,VALD3,,8.35,-5.04,-7.51,0.106,1.0,False,1,,uv_019514,vacuum
C,I,1158.324,0.0,-2.183,VALD3,,0.0,0.0,0.0,0.92,1.0,False,0,,uv_019514,vacuum
C,I,1158.397,0.0054,-2.084,VALD3,,0.0,0.0,0.0,0.92,1.0,False,0,,uv_019514,vacuum
C,I,1158.492,0.0054,-3.42,VALD3,,0.0,0.0,0.0,0.911,1.0,False,0,,uv_019514,vacuum
Fe,II,1158.50025,2.7043,-1.537,VALD3,,8.54,-6.54,-7.757,0.124,1.0,False,1,,uv_019514,vacuum
C,I,1158.544,0.002,-2.693,VALD3,,0.0,0.0,0.0,0.918,1.0,False,0,,uv_019514,vacuum
C,I,1158.674,0.002,-2.356,VALD3,,0.0,0.0,0.0,0.92,1.0,False,0,,uv_019514,vacuum
C,I,1158.73,0.002,-2.289,VALD3,,0.0,0.0,0.0,0.92,1.0,False,0,,uv_019514,vacuum
Ni,II,1158.83261,1.68,-1.909,VALD3,,7.13,-6.57,-7.94,0.166,1.0,False,0,,uv_019514,vacuum
Fe,II,1158.84083,1.0405,-2.952,VALD3,,8.43,-6.48,-7.929,0.288,1.0,False,1,,uv_019514,vacuum
C,I,1158.907,0.0054,-2.296,VALD3,,0.0,0.0,0.0,0.919,1.0,False,0,,uv_019514,vacuum
C,I,1158.97,0.0054,-1.992,VALD3,,0.0,0.0,0.0,0.919,1.0,False,0,,uv_019514,vacuum
Fe,II,1158.99739,0.3519,-4.138,VALD3,,8.21,-6.0,-7.65,0.133,1.0,False,1,,uv_019514,vacuum
P,II,1159.08647,0.0582,-0.417,VALD3,,9.19,-5.99,-7.78,0.886,1.0,False,0,,uv_019514,vacuum
C,I,1159.09,0.0054,-3.447,VALD3,,0.0,0.0,0.0,0.911,1.0,False,0,,uv_019514,vacuum
Fe,II,1159.25926,0.0828,-4.377,VALD3,,8.62,-6.54,-7.77,0.155,1.0,False,1,,uv_019514,vacuum
Fe,II,1159.33878,0.9863,-1.136,VALD3,,8.53,-6.49,-7.923,0.899,0.4020985026939409,False,0,,uv_019514,vacuum
Fe,II,1159.50385,2.657,-1.741,VALD3,,8.32,-6.53,-7.83,0.091,1.0,False,1,,uv_019514,vacuum
Ni,II,1159.50969,1.1568,-1.87,VALD3,,7.19,-6.59,-7.95,0.448,0.4780650098894408,False,0,,uv_019514,vacuum
N,I,1159.82,0.0,-4.4,VALD3,,0.0,0.0,0.0,0.779,0.1485595321096062,False,0,,uv_019514,vacuum
Fe,II,1159.98755,2.5827,-1.606,VALD3,,8.35,-5.2,-7.51,0.143,0.7217726983027968,False,1,,uv_019514,vacuum
Fe,II,1160.09127,1.0762,-1.842,VALD3,,8.63,-6.48,-7.92,0.787,0.2784714535317852,False,1,,uv_019514,vacuum
Fe,II,1160.18607,0.9863,-3.129,VALD3,,8.65,-6.49,-7.921,0.24,0.6613831713509095,False,1,,uv_019514,vacuum
Cr,II,1160.25858,2.4546,-1.092,VALD3,,8.7,-5.42,-7.58,0.063,0.8318379411458405,False,0,,uv_019514,vacuum
C,I,1160.51,0.002,-3.481,VALD3,,0.0,0.0,0.0,0.91,0.0611656346007338,False,0,,uv_019514,vacuum
