element,ion,wavelength_air_A,excitation_potential_eV,log_gf,loggf_source,nist_grade,damping_rad,damping_stark,damping_vdW,central_depth,vald_proximity_flag,blend_flag,priority,notes
Fe,II,1150.2893,0.0828,-1.463,VALD3,,8.57,-6.54,-7.94,0.909,0.186108,False,1,
Fe,II,1150.46827,0.1211,-0.91,VALD3,,8.37,-6.54,-7.94,0.916,0.312167,False,1,
Fe,II,1150.68512,0.0828,-0.894,VALD3,,8.63,-6.54,-7.94,0.916,0.423853,False,1,
S,I,1150.82227,1.1454,-1.089,VALD3,,7.92,-2.7,-6.84,0.874,0.481022,False,1,
Fe,II,1150.88834,0.3519,-3.239,VALD3,,8.46,-6.57,-7.716,0.269,0.738645,False,1,
Fe,II,1151.14588,0.0828,-0.451,VALD3,,8.7,-6.54,-7.941,0.918,0.069693,False,1,
O,I,1152.151,1.9674,-0.268,VALD3,,0.0,0.0,0.0,0.914,0.226246,False,1,
Cu,I,1152.23011,0.0,-1.155,VALD3,,7.96,-2.68,-6.76,0.262,0.855149,False,2,
Cu,I,1152.23011,0.0,-1.878,VALD3,,7.55,-2.48,-6.76,0.061,1.0,False,2,
Fe,II,1152.42307,0.107,-2.037,VALD3,,8.54,-6.54,-7.946,0.874,0.181016,False,1,
S,I,1152.50671,1.1454,-3.179,VALD3,,8.22,-3.07,-6.91,0.099,0.625615,False,1,
P,II,1152.81802,0.0,-0.512,VALD3,,9.19,-5.99,-7.78,0.067,0.906473,False,1,
Fe,II,1152.87433,0.107,-1.277,VALD3,,8.57,-6.54,-7.94,0.911,0.163162,False,1,
Fe,II,1153.00671,0.9863,-2.442,VALD3,,8.43,-6.48,-7.929,0.252,0.591895,False,1,
Fe,II,1153.03777,2.7043,-0.816,VALD3,,8.62,-5.54,-7.72,0.073,1.0,False,1,
Fe,II,1153.27193,0.107,-0.834,VALD3,,8.63,-6.54,-7.94,0.916,0.058416,False,1,
Fe,II,1153.5447,0.3013,-3.562,VALD3,,8.21,-6.0,-7.65,0.167,0.094712,False,1,
Fe,II,1153.9449,0.1211,-1.975,VALD3,,8.54,-6.54,-7.946,0.878,0.157966,False,1,
P,II,1153.99511,0.0582,0.067,VALD3,,9.2,-5.99,-7.78,0.186,0.712222,False,1,
S,I,1154.26936,1.1454,-2.661,VALD3,,8.34,-2.81,-7.0,0.276,0.62461,False,1,
Fe,II,1154.39736,0.1211,-1.438,VALD3,,8.57,-6.54,-7.94,0.907,0.484361,False,1,
Ni,II,1154.41701,1.0407,-1.552,VALD3,,7.31,-6.59,-7.94,0.313,1.0,False,1,
Fe,II,1154.60249,0.3865,-2.293,VALD3,,8.46,-6.57,-7.716,0.72,0.210298,False,1,
C,I,1155.809,0.0,-2.307,VALD3,,0.0,0.0,0.0,0.913,0.463395,False,1,
C,I,1155.979,0.002,-2.125,VALD3,,0.0,0.0,0.0,0.914,1.0,False,1,
S,I,1156.02646,0.0,-0.605,VALD3,,8.53,-5.14,-7.43,0.916,1.0,False,1,
C,I,1156.028,0.002,-2.166,VALD3,,0.0,0.0,0.0,0.913,1.0,False,1,
Fe,II,1156.16001,0.3519,-4.059,VALD3,,8.12,-5.98,-7.64,0.054,1.0,False,1,
C,I,1156.18,0.0,-3.092,VALD3,,0.0,0.0,0.0,0.889,1.0,False,1,
C,I,1156.199,0.002,-2.62,VALD3,,0.0,0.0,0.0,0.908,1.0,False,1,
S,I,1156.27562,0.0,-1.074,VALD3,,8.5,-5.14,-7.44,0.916,1.0,False,1,
C,I,1156.389,0.0054,-2.042,VALD3,,0.0,0.0,0.0,0.914,1.0,False,1,
C,I,1156.4,0.002,-3.311,VALD3,,0.0,0.0,0.0,0.867,1.0,False,1,
C,I,1156.56,0.0054,-1.569,VALD3,,0.0,0.0,0.0,0.915,0.530934,False,1,
C,I,1156.76,0.0054,-4.71,VALD3,,0.0,0.0,0.0,0.338,0.230638,False,1,
P,II,1156.9702,0.0204,-0.512,VALD3,,9.18,-5.99,-7.78,0.061,0.302672,False,1,
