obs_wl_air(A)	ritz_wl_air(A)	intens	Aki(s^-1)	fik	S(a.u.)	log_gf	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
"7835.309"	"7835.309"	"11"	"3.71e+06"	"5.12e-02"	"5.28e+00"	"-0.689"	B	"32435.453"	"45194.681"	"3s2.3d"	"2D"	"3/2"	"3s2.6f"	"2F*"	"5/2"	4	6		"u36,LS"	"L4737"	
"7836.134"	"7836.134"	"12*"	"2.65e+05"	"2.44e-03"	"3.78e-01"	"-1.834"	C+	"32436.796"	"45194.681"	"3s2.3d"	"2D"	"5/2"	"3s2.6f"	"2F*"	"5/2"	6	6		"u36,LS"	"L4737"	
"7836.134"	"7836.134"	"12*"	"3.97e+06"	"4.87e-02"	"7.54e+00"	"-0.534"	B+	"32436.796"	"45194.681"	"3s2.3d"	"2D"	"5/2"	"3s2.6f"	"2F*"	"7/2"	6	8		"u36,LS"	"L4737"	
"7993.048"	"7993.045"	"5"	""	""	""	""		"32949.807"	"45457.244"	"3s2.4p"	"2P*"	"1/2"	"3s2.8s"	"2S"	"1/2"	2	2		""	"L4737"	
"8003.186"	"8003.175"	"7"	""	""	""	""		"32965.639"	"45457.244"	"3s2.4p"	"2P*"	"3/2"	"3s2.8s"	"2S"	"1/2"	4	2		""	"L4737"	
"8065.968"	"8065.969"	"6"	"4.42e+05"	"8.63e-03"	"4.58e-01"	"-1.763"	C+	"32949.807"	"45344.165"	"3s2.4p"	"2P*"	"1/2"	"3s2.6d"	"2D"	"3/2"	2	4		"u36,LS"	"L4737"	
"8075.353"	"8075.353"	"8"	"5.28e+05"	"7.75e-03"	"8.24e-01"	"-1.509"	C+	"32965.639"	"45345.594"	"3s2.4p"	"2P*"	"3/2"	"3s2.6d"	"2D"	"5/2"	4	6		"u36,LS"	"L4737"	
"8076.289"	"8076.285"	"2"	"8.81e+04"	"8.62e-04"	"9.17e-02"	"-2.462"	C	"32965.639"	"45344.165"	"3s2.4p"	"2P*"	"3/2"	"3s2.6d"	"2D"	"3/2"	4	4		"u36,LS"	"L4737"	
"8772.866"	"8772.871"	"13"	"6.47e+06"	"1.12e-01"	"1.29e+01"	"-0.349"	B+	"32435.453"	"43831.101"	"3s2.3d"	"2D"	"3/2"	"3s2.5f"	"2F*"	"5/2"	4	6		"u36,LS"	"L4737"	
"8773.896"	"8773.902"	"14*"	"6.95e+06"	"1.07e-01"	"1.85e+01"	"-0.192"	B+	"32436.796"	"43831.105"	"3s2.3d"	"2D"	"5/2"	"3s2.5f"	"2F*"	"7/2"	6	8		"u36,LS"	"L4737"	
"8773.896"	"8773.905"	"14*"	"4.62e+05"	"5.33e-03"	"9.24e-01"	"-1.495"	C+	"32436.796"	"43831.101"	"3s2.3d"	"2D"	"5/2"	"3s2.5f"	"2F*"	"5/2"	6	6		"u36,LS"	"L4737"	
