# NIST Atomic Spectra Database — high-accuracy reference lines
# Source: NIST ASD v5.11 (physics.nist.gov/asd)
# These are the highest-accuracy wavelength/log gf values available
# Use for: cross-validation of VALD3 extract, Type B uncertainty anchor
# Retrieved: 2026-05-29
#
# RYA-592 re-verification (2026-07-26, NIST ASD v5.12, Mg I rows 5528/5711 ONLY):
#   the log_gf values RE-DERIVE EXACTLY from the live source, but two columns were
#   wrong and are corrected here — the accuracy CODE (both rows carried A; ASD
#   reports B+ and B) and aki_s-1 (both rows disagreed with their own log_gf).
#   ASD codes: A <=3%, B+ <=7%, B <=10% — so neither line is A-grade, and the file
#   is no longer "A and A+ grade" only. Both still clear PIPELINE['min_nist_grade']
#   ('B'), so no line is dropped; only the provenance label changes.
#   Query (reproducible): physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=Mg+I
#     &low_w=5520&upp_w=5720&unit=0&format=3&show_obs_wl=1&A_out=1&f_out=on&en_unit=1
#   ASD returns, verbatim:
#     5528.4047  gA 6.95e+07  fik 1.06e-01  Acc B+  Ei 4.3458029  g_i 3  g_k 5
#     5711.0880  gA 3.86e+06  fik 6.30e-03  Acc B   Ei 4.3458029  g_i 3  g_k 1
#   log gf = log10(g_i * fik) -> -0.4976 and -1.7235; aki = gA / g_k.
#   The OTHER rows in this file are NOT re-verified against v5.12 (out of RYA-592
#   scope) — the drift found here means they should not be assumed current.
element,ion,wavelength_air_A,excitation_potential_eV,log_gf,nist_grade,aki_s-1,notes
Fe,I,5250.209,0.121,-4.938,A,6.17e+02,Blackwell+1995; canonical solar benchmark
Fe,I,5506.779,0.990,-2.797,A,3.61e+04,
Fe,I,5956.694,0.859,-4.605,A,1.92e+03,
Fe,I,6574.228,0.990,-5.023,A,5.92e+02,
Fe,I,6648.079,1.011,-5.918,A,5.91e+01,
Mg,I,4571.096,0.000,-5.623,A,2.54e+02,Ground state intercombination line
Mg,I,5167.322,2.709,-1.031,A,1.14e+07,Mg b triplet b1
Mg,I,5172.684,2.712,-0.450,A,3.37e+07,Mg b triplet b2
Mg,I,5183.604,2.717,0.180,A,7.10e+07,Mg b triplet b3; strongest
Mg,I,5528.405,4.346,-0.498,B+,1.39e+07,RYA-592 re-verified vs ASD v5.12; grade was A (source says B+); aki was 1.79e+07 (inconsistent with log_gf)
Mg,I,5711.088,4.346,-1.724,B,3.86e+06,RYA-592 re-verified vs ASD v5.12; grade was A (source says B); aki was 2.17e+06 (inconsistent with log_gf)
Ca,I,5857.451,2.933,0.240,A,1.49e+07,
Ca,I,6102.723,1.879,-0.793,A,4.98e+06,
Ca,I,6122.217,1.886,-0.316,A,1.23e+07,
Ca,I,6162.173,1.899,-0.090,A,1.98e+07,
Ca,I,6439.075,2.526,0.390,A,3.71e+07,Strongest Ca I line in range
O,I,7771.944,9.146,0.369,A+,3.69e+07,IR triplet; outside HARPS; NLTE critical
O,I,7774.166,9.146,0.223,A+,3.59e+07,IR triplet; outside HARPS
O,I,7775.388,9.146,0.002,A+,3.48e+07,IR triplet; outside HARPS
Na,I,5682.633,2.102,-0.700,A,7.58e+06,
Na,I,5688.205,2.104,-0.452,A,1.12e+07,
Na,I,6154.226,2.102,-1.547,A,1.39e+06,Weaker doublet member; preferred
Na,I,6160.747,2.104,-1.246,A,2.07e+06,
# ── Tier 1 science-critical lines (RYA-64 / RYA-91) ──────────────────────────
# Source: NIST ASD v5.11; Fuhr & Wiese 2006 (Fe); Storey & Zeippen 2000 ([O I])
Fe,I,5576.089,3.430,-1.000,A,1.20e+05,Tier 1 anchor; Fuhr & Wiese 2006
Fe,I,6065.482,2.608,-1.530,A,5.09e+04,Tier 1 anchor; Fuhr & Wiese 2006
Fe,I,6136.615,2.453,-1.400,A,2.30e+04,Tier 1 anchor; Fuhr & Wiese 2006
Fe,II,6149.258,3.889,-2.724,B,2.40e+04,Tier 1; ionization equilibrium anchor
Fe,II,6247.557,3.892,-2.329,B,7.41e+04,Tier 1; ionization equilibrium anchor
O,I,6300.304,0.000,-9.717,A,5.63e-03,Tier 1; forbidden [O I]; primary oxygen indicator; Storey & Zeippen 2000; blend with Ni I 6300.336
C,I,5380.337,7.685,-1.616,B,1.23e+07,Tier 1; high excitation (7.685 eV); sensitive to Teff
Li,I,6707.761,0.000,0.177,A+,3.69e+07,Tier 1; Li I doublet D2 (2P3/2); NLTE corrections 0.1-0.3 dex
Li,I,6707.914,0.000,-0.123,A+,3.69e+07,Tier 1; Li I doublet D1 (2P1/2); NLTE corrections 0.1-0.3 dex
P,I,6034.040,1.873,-0.310,C,2.63e+07,Tier 1; phosphorus tracer; NIST grade C only; requires S/N > 300
P,I,6043.120,1.873,-0.460,C,1.42e+07,Tier 1; phosphorus tracer; NIST grade C only; requires S/N > 300
# ── Tier 2 lines (RYA-64 / RYA-91) ───────────────────────────────────────────
Si,I,5793.073,4.930,-1.963,B,3.84e+06,Tier 2; primary Si I line for EW; Becker et al. 1980
S,I,6052.674,7.869,0.370,B,5.84e+07,Tier 2; high-excitation S I line
Ti,I,5866.452,1.067,-0.840,B,3.52e+06,Tier 2; primary Ti I reference line
Ni,I,6300.336,4.266,-2.110,B,3.32e+04,Tier 2; O I 6300 blend partner; model jointly with [O I] 6300.304
Ba,II,5853.688,0.604,-1.000,B,8.00e+05,Tier 2; s-process indicator; hyperfine structure present
Eu,II,6645.064,1.380,0.204,A,9.87e+04,Tier 2; primary r-process indicator; Den Hartog et al. 2003
