wavelength_obs_A	wavelength_ritz_A	fik	gi	aki_s-1	nist_grade	ref_transition_probability	ref_line	ei_ek_raw	ei_eV	log_gf	nist_acc_pct	wavelength_A
3420.405	3420.405		5.0				L17684	7.48779869    -   11.111599	7.48779869			3420.405
3458.503	3458.503		5.0				L17684	7.48779869    -   11.071681	7.48779869			3458.503
3514.801	3514.801		5.0				L17684	7.48779869    -   11.014279	7.48779869			3514.801
3518.314	3518.34		3.0				L17684	7.48277598    -   11.005709	7.48277598			3518.314
3595.14	3595.139		3.0				L17684	7.68476777    -   11.132446	7.68476777			3595.14
3595.14	3595.156		3.0				L17684	7.48277598    -   10.930438	7.48277598			3595.14
3595.456	3595.4456		5.0				L17684	7.48779869    -   10.935183	7.48779869			3595.456
3601.465	3601.466		1.0				L17684	7.48039414    -   10.922016	7.48039414			3601.465
3603.44	3603.433		3.0				L17684	7.48277598    -   10.922519	7.48277598			3603.44
3603.528	3603.528		5.0				L17684	7.48779869    -   10.927451	7.48779869			3603.528
3603.952	3603.96		3.0				L17684	7.48277598    -   10.922016	7.48277598			3603.952
3607.94	3607.948		3.0				L17684	7.48277598    -   10.918215	7.48277598			3607.94
3608.696	3608.702		5.0				L17684	7.48779869    -   10.922519	7.48779869			3608.696
3609.562	3609.561		3.0				L17684	7.68476777    -   11.118671	7.68476777			3609.562
3625.609	3625.609		3.0				L17684	7.68476777    -   11.103472	7.68476777			3625.609
3648.623	3648.622		3.0				L17684	7.68476777    -   11.081910	7.68476777			3648.623
3652.824	3652.825		3.0				L17684	7.68476777    -   11.078002	7.68476777			3652.824
3668.6	3668.599		3.0				L17684	7.68476777    -   11.063411	7.68476777			3668.6
3705.557	3705.557		3.0				L17684	7.68476777    -   11.029715	7.68476777			3705.557
3712.035	3712.035		3.0				L17684	7.68476777    -   11.023878	7.68476777			3712.035
3729.026	3729.026		3.0				L17684	7.68476777    -   11.008664	7.68476777			3729.026
3732.349	3732.344		3.0				L17684	7.68476777    -   11.005709	7.68476777			3732.349
3734.509	3734.5067		1.0				L17684	7.48039414    -   10.7994123	7.48039414			3734.509
3735.776	3735.7775		3.0				L17684	7.48277598    -   10.800665	7.48277598			3735.776
3737.186	3737.1887		3.0				L17684	7.48277598    -   10.7994123	7.48277598			3737.186
3740.789	3740.787		3.0				L17684	7.48277598    -   10.796222	7.48277598			3740.789
3741.443	3741.4415		5.0				L17684	7.48779869    -   10.800665	7.48779869			3741.443
3742.851	3742.857		5.0				L17684	7.48779869    -   10.7994123	7.48779869			3742.851
3755.121	3755.122		1.0				L17684	7.48039414    -   10.781192	7.48039414			3755.121
3756.522	3756.5177		3.0				L17684	7.48277598    -   10.782347	7.48277598			3756.522
3757.048	3757.039		5.0				L17684	7.48779869    -   10.786912	7.48779869			3757.048
3757.836	3757.833		3.0				L17684	7.48277598    -   10.781192	7.48277598			3757.836
3762.251	3762.2449		5.0				L17684	7.48779869    -   10.782347	7.48779869			3762.251
3763.956	3763.958		3.0				L17684	7.48277598    -   10.775825	7.48277598			3763.956
3793.678	3793.678		3.0				L17684	7.68476777    -   10.952019	7.68476777			3793.678
3804.305	3804.305		3.0				L17684	7.68476777    -   10.942892	7.68476777			3804.305
3828.849	3828.839		3.0				L17684	7.68476777    -   10.922016	7.68476777			3828.849
3833.347	3833.341		3.0				L17684	7.68476777    -   10.918215	7.68476777			3833.347
3942.223	3942.223		3.0				L17684	7.68476777    -   10.828910	7.68476777			3942.223
3961.403	3961.4027		3.0				L17684	7.68476777    -   10.8136879	7.68476777			3961.403
3986.879	3986.88		7.0				L17684	7.945771557   -   11.054698	7.945771557			3986.879
3986.879	3986.88		7.0				L17684	7.945771557   -   11.054698	7.945771557			3986.879
3996.488	3996.487		7.0				L17684	7.945771557   -   11.047224	7.945771557			3996.488
3996.488	3996.487		7.0				L17684	7.945771557   -   11.047224	7.945771557			3996.488
3996.966	3996.965		3.0				L17684	7.94613476    -   11.047216	7.94613476			3996.966
3997.136	3997.14		5.0				L17684	7.94627046    -   11.047216	7.94627046			3997.136
3997.136	3997.137		5.0				L17684	7.94627046    -   11.047219	7.94627046			3997.136
4002.976	4002.977		3.0				L17684	7.68476777    -   10.781192	7.68476777			4002.976
4009.93	4009.928		3.0				L17684	7.68476777    -   10.775825	7.68476777			4009.93
4022.115	4022.11452		1.0				L17684	7.48039414    -   10.56208579	7.48039414			4022.115
4022.841	4022.84321		3.0				L17684	7.48277598    -   10.56390942	7.48277598			4022.841
4025.221	4025.22568		3.0				L17684	7.48277598    -   10.56208579	7.48277598			4025.221
4028.355	4028.357		3.0				L17684	7.48277598    -   10.559692	7.48277598			4028.355
4029.413	4029.4119		5.0				L17684	7.48779869    -   10.56390942	7.48779869			4029.413
4031.795	4031.80216		5.0				L17684	7.48779869    -   10.56208579	7.48779869			4031.795
4033.228	4033.228		7.0				L17684	7.945771557   -   11.018972	7.945771557			4033.228
4063.577	4063.577		1.0				L17684	7.48039414    -   10.5306428	7.48039414			4063.577
4064.271	4064.264		3.0				L17684	7.48277598    -   10.532508	7.48277598			4064.271
4065.246	4065.2425		5.0				L17684	7.48779869    -   10.53679751	7.48779869			4065.246
4066.752	4066.752		3.0				L17684	7.48277598    -   10.5306428	7.48277598			4066.752
4070.97	4070.969		5.0				L17684	7.48779869    -   10.532508	7.48779869			4070.97
4072.643	4072.643		7.0				L17684	7.945771557   -   10.989230	7.945771557			4072.643
4072.643	4072.658		7.0				L17684	7.945771557   -   10.989219	7.945771557			4072.643
4073.327	4073.325		5.0				L17684	7.94627046    -   10.989219	7.94627046			4073.327
4082.415	4082.415		7.0				L17684	7.945771557   -   10.981945	7.945771557			4082.415
4082.415	4082.415		7.0				L17684	7.945771557   -   10.981945	7.945771557			4082.415
4082.981	4082.98		3.0				L17684	7.94613476    -   10.981888	7.94613476			4082.981
4083.161	4083.163		5.0				L17684	7.94627046    -   10.981888	7.94627046			4083.161
4083.161	4083.165		5.0				L17684	7.94627046    -   10.981887	7.94627046			4083.161
4146.264	4146.276		7.0				L17684	7.945771557   -   10.935183	7.945771557			4146.264
4146.971	4146.968		5.0				L17684	7.94627046    -   10.935183	7.94627046			4146.971
4147.976	4147.976		5.0				L17684	7.94627046    -   10.934457	7.94627046			4147.976
4153.374	4153.373		3.0				L17684	7.94613476    -   10.930438	7.94613476			4153.374
4158.34	4157.723		5.0				L2138c153	7.94627046    -   10.927451	7.94627046			4158.34
4209.71	4209.72		3.0				L17684	7.94613476    -   10.890494	7.94613476			4209.71
4209.71	4209.72		3.0				L17684	7.94613476    -   10.890494	7.94613476			4209.71
4209.905	4209.914		5.0				L17684	7.94627046    -   10.890494	7.94627046			4209.905
4209.905	4209.914		5.0				L17684	7.94627046    -   10.890494	7.94627046			4209.905
4211.115	4211.101		7.0				L17684	7.945771557   -   10.889166	7.945771557			4211.115
4211.115	4211.11		7.0				L17684	7.945771557   -   10.889159	7.945771557			4211.115
4211.613	4211.62		3.0				L17684	7.94613476    -   10.889166	7.94613476			4211.613
4211.817	4211.815		5.0				L17684	7.94627046    -   10.889166	7.94627046			4211.817
4211.817	4211.824		5.0				L17684	7.94627046    -   10.889159	7.94627046			4211.817
4212.342	4212.341		7.0				L17684	7.945771557   -   10.888299	7.945771557			4212.342
4212.342	4212.357		7.0				L17684	7.945771557   -   10.888287	7.945771557			4212.342
4213.074	4213.072		5.0				L17684	7.94627046    -   10.888287	7.94627046			4213.074
4222.466	4222.454		7.0				L17684	7.945771557   -   10.881251	7.945771557			4222.466
4222.466	4222.467		7.0				L17684	7.945771557   -   10.881243	7.945771557			4222.466
4223.159	4223.152		3.0				L17684	7.94613476    -   10.881130	7.94613476			4223.159
4223.159	4223.172		5.0				L17684	7.94627046    -   10.881251	7.94627046			4223.159
4223.36	4223.361		5.0				L17684	7.94627046    -   10.881120	7.94627046			4223.36
4223.36	4223.347		5.0				L17684	7.94627046    -   10.881130	7.94627046			4223.36
4228.326	4228.3269		3.0				L17684	7.68476777    -   10.6161705	7.68476777			4228.326
	4246.448		5.0					1.2637284     -    4.1826219	1.2637284			4246.448
4269.0197	4269.0179	0.01	3.0	2100000.0	E	T9787	L12175c183	7.68476777    -   10.5882298	7.68476777	-1.5228787452803376	100.0	4269.0197
4341.64	4341.6453		7.0				L17684	7.945771557   -   10.800665	7.945771557			4341.64
4342.396	4342.4042		5.0				L17684	7.94627046    -   10.800665	7.94627046			4342.396
4344.111	4344.104		3.0				L17684	7.94613476    -   10.7994123	7.94613476			4344.111
