wavelength_obs_A	wavelength_ritz_A	fik	gi	aki_s-1	nist_grade	ref_transition_probability	ref_line	ei_ek_raw	ei_eV	log_gf	nist_acc_pct	wavelength_A
	25630.3	1.42e-06	3.0	8.63	D	T7333		20.676307  -   21.159916	20.676307	-5.370590400897281	50.0	25630.3
	26019.5	6.59e-07	3.0	6.49	D	T7333		20.676307  -   21.152682	20.676307	-5.703993330686328	50.0	26019.5
	38382.0	0.0394	3.0	107000.0	C+	T5520LS		26.257305  -   26.580245	26.257305	-0.9273825234547635	18.0	38382.0
	39105.9	0.0695	5.0	303000.0	C+	T5520LS		26.263284  -   26.580245	26.263284	-0.45904519107386726	18.0	39105.9
	39856.1	0.0908	1.0	127000.0	C+	T5520LS		26.253573  -   26.564568	26.253573	-1.0419141514789148	18.0	39856.1
	40340.2	0.0224	3.0	91900.0	C+	T5520LS		26.257305  -   26.564568	26.257305	-1.1726307269461749	18.0	40340.2
	41098.6	0.0294	3.0	348000.0	C+	T5520LS		26.257305  -   26.558898	26.257305	-1.0545314148681804	18.0	41098.6
	41140.7	0.0219	5.0	144000.0	C+	T5520LS		26.263284  -   26.564568	26.263284	-0.9605858808238629	18.0	41140.7
	46393.2	0.00673	3.0	20900.0	D	T7333		20.409133  -   20.676307	20.409133	-1.6948636810563606	50.0	46393.2
	47011.7	1.35e-06	3.0	4.07	D	T7333		20.676307  -   20.939965	20.676307	-5.392544976785332	50.0	47011.7
	62961.0	0.00108	3.0	1090.0	C+	T5520LS		26.066417  -   26.263284	26.066417	-2.489454989793388	18.0	62961.0
	64018.0	0.00959	5.0	15600.0	C+	T5520LS		26.069666  -   26.263284	26.069666	-1.3192113884933176	18.0	64018.0
	64933.0	0.0157	3.0	24900.0	C+	T5520LS		26.066417  -   26.257305	26.066417	-1.3269790928711038	18.0	64933.0
	65513.0	0.0375	7.0	81500.0	C+	T5520LS		26.074085  -   26.263284	26.074085	-0.5808706922580243	18.0	65513.0
	66058.0	0.0278	5.0	70900.0	C+	T5520LS		26.069666  -   26.257305	26.069666	-0.8569851997459049	18.0	66058.0
	66228.0	0.0206	3.0	93900.0	C+	T5520LS		26.066417  -   26.253573	26.066417	-1.2090115249111841	18.0	66228.0
	89070.0	0.00888	5.0	7460.0	C+	T5520LS		26.124123  -   26.263284	26.124123	-1.3526170298853801	18.0	89070.0
	92891.0	0.00472	3.0	2190.0	C+	T5520LS		26.129847  -   26.263284	26.129847	-1.8489367466462499	18.0	92891.0
	93068.0	0.00283	5.0	3630.0	C+	T5520LS		26.124123  -   26.257305	26.124123	-1.849243560139691	18.0	93068.0
	97248.0	0.00271	3.0	1910.0	C+	T5520LS		26.129847  -   26.257305	26.129847	-2.089909454405932	18.0	97248.0
	99674.0	0.0106	1.0	2370.0	C+	T5520LS		26.132949  -   26.257305	26.132949	-1.9746941347352298	18.0	99674.0
	100181.0	0.00351	3.0	6990.0	C+	T5520LS		26.129847  -   26.253573	26.129847	-1.9775716288145135	18.0	100181.0
