wavelength_obs_A	wavelength_ritz_A	fik	gi	aki_s-1	nist_grade	ref_transition_probability	ref_line	ei_ek_raw	ei_eV	log_gf	nist_acc_pct	wavelength_A
	25030.0	0.00148	4.0	15700.0	D+	T5723LS		13.8244077  -   14.31962	13.8244077	-2.2276782932770804	40.0	25030.0
	25090.08	0.00282	2.0	29900.0	C	u18,LS		13.9226824  -   14.4167038	13.9226824	-2.248720896016658	25.0	25090.08
	25253.59	0.0028	4.0	58600.0	C	u18,LS		13.9258810  -   14.4167038	13.925881	-1.9507819773298183	25.0	25253.59
	25322.0	0.000726	4.0	15100.0	D+	T5723LS		13.8244077  -   14.31391	13.8244077	-2.537003387971944	40.0	25322.0
	26149.6	0.15	2.0	729000.0	D+	u18,LS		12.847554   -   13.3215593	12.847554	-0.5228787452803376	40.0	26149.6
	26458.6	0.148	4.0	1410000.0	D+	u18,LS		12.853090   -   13.3215593	12.85309	-0.22767829327708025	40.0	26458.6
	26536.38	0.435	2.0	4120000.0	D+	u18,LS		13.2015647  -   13.6686606	13.2015647	-0.060480747381381476	40.0	26536.38
	26714.2	0.865	2.0	4040000.0	D+	u18,LS		13.2015647  -   13.6655516	13.2015647	0.2380461031287954	40.0	26714.2
	26945.8	0.145	6.0	2000000.0	D+	u18,LS		12.861560   -   13.3215593	12.86156	-0.06048074738138153	40.0	26945.8
	27489.72	0.0895	2.0	395000.0	C	u18,LS		13.2363957  -   13.6872930	13.2363957	-0.7471469690201068	25.0	27489.72
	27562.99	0.0892	2.0	783000.0	C	u18,LS		13.2363957  -   13.6860943	13.2363957	-0.7486051499598957	25.0	27562.99
	27593.76	0.0624	4.0	364000.0	C	u18,LS		13.2388265  -   13.6880236	13.2388265	-0.6027554189896136	25.0	27593.76
	27638.72	0.0713	4.0	622000.0	C	u18,LS		13.2388265  -   13.6872930	13.2388265	-0.544850478820172	25.0	27638.72
	27712.79	0.0444	4.0	771000.0	C	u18,LS		13.2388265  -   13.6860943	13.2388265	-0.7505570385574177	25.0	27712.79
	27837.61	0.0272	2.0	234000.0	D+	u18,LS		13.2363957  -   13.6816580	13.2363957	-1.26440110030182	40.0	27837.61
	27857.17	0.0335	6.0	216000.0	C	u18,LS		13.2433051  -   13.6882547	13.2433051	-0.6968039425795111	25.0	27857.17
	27871.65	0.101	6.0	869000.0	C	u18,LS		13.2433051  -   13.6880236	13.2433051	-0.21752737583371373	25.0	27871.65
	27917.51	0.0412	6.0	528000.0	C	u18,LS		13.2433051  -   13.6872930	13.2433051	-0.6069515335832217	25.0	27917.51
	27990.42	0.0135	4.0	230000.0	D+	u18,LS		13.2388265  -   13.6816580	13.2388265	-1.2676062401770316	40.0	27990.42
	28050.79	0.00541	2.0	22900.0	D+	u18,LS		13.2363957  -   13.6782741	13.2363957	-1.9657727392294493	40.0	28050.79
	28205.95	0.0172	4.0	144000.0	D+	u18,LS		13.2388265  -   13.6782741	13.2388265	-1.1624115617644888	40.0	28205.95
	28284.15	0.149	8.0	1240000.0	C	u18,LS		13.2500220  -   13.6882547	13.250022	0.0762762554042176	25.0	28284.15
	28299.07	0.0248	8.0	275000.0	C	u18,LS		13.2500220  -   13.6880236	13.250022	-0.7024583321818402	25.0	28299.07
	28388.14	0.0016	4.0	8840.0	D+	u18,LS		13.2388265  -   13.6754539	13.2388265	-2.193820026016113	40.0	28388.14
	28402.0	0.00461	4.0	25400.0	D+	T5723LS		13.8244077  -   14.26082	13.8244077	-1.7342390832823895	40.0	28402.0
	28496.37	0.0223	6.0	275000.0	D+	u18,LS		13.2433051  -   13.6782741	13.2433051	-0.8735438865681957	40.0	28496.37
	28682.34	0.00951	6.0	77100.0	D+	u18,LS		13.2433051  -   13.6754539	13.2433051	-1.2436682326789423	40.0	28682.34
	28699.24	0.19	2.0	769000.0	D+	u18,LS		12.9123120  -   13.3442064	12.912312	-0.42021640338318983	40.0	28699.24
	29031.04	0.375	2.0	2970000.0	D+	u18,LS		12.9123120  -   13.3392701	12.912312	-0.12493873660829995	40.0	29031.04
	29081.0	0.00301	4.0	23700.0	D+	T5723LS		13.8244077  -   14.25063	13.8244077	-1.9193735130781941	40.0	29081.0
	29096.32	1.01	2.0	3990000.0	C	u18,LS		13.2363957  -   13.6623958	13.2363957	0.3053513694466238	25.0	29096.32
	29107.55	0.906	8.0	5700000.0	C	u18,LS		13.2500220  -   13.6758579	13.250022	0.8602181846687567	25.0	29107.55
	29112.12	0.814	4.0	4270000.0	C	u18,LS		13.2388265  -   13.6645956	13.2388265	0.5126843962171636	25.0	29112.12
	29122.55	0.828	6.0	4880000.0	C	u18,LS		13.2433051  -   13.6689216	13.2433051	0.6961815871685237	25.0	29122.55
	29135.19	0.0312	8.0	327000.0	D+	u18,LS		13.2500220  -   13.6754539	13.250022	-0.6027554189896136	40.0	29135.19
	29263.31	0.202	4.0	1570000.0	C	u18,LS		13.2388265  -   13.6623958	13.2388265	-0.09258863922541381	25.0	29263.31
	29274.74	0.465	2.0	1810000.0	C	u18,LS		13.2638891  -   13.6872930	13.2638891	-0.03151705144606486	25.0	29274.74
	29346.32	0.465	4.0	3600000.0	D+	u18,LS		12.9218353  -   13.3442064	12.9218353	0.26951294421791633	40.0	29346.32
	29357.77	0.584	4.0	3010000.0	C	u18,LS		13.2658173  -   13.6880236	13.2658173	0.3684728384403618	25.0	29357.77
	29357.85	0.463	2.0	3580000.0	C	u18,LS		13.2638891  -   13.6860943	13.2638891	-0.033389013318065645	25.0	29357.85
	29408.67	0.296	4.0	2280000.0	C	u18,LS		13.2658173  -   13.6872930	13.2658173	0.07335170238690095	25.0	29408.67
	29421.6	0.174	6.0	1340000.0	C	u18,LS		13.2433051  -   13.6645956	13.2433051	0.01870049866624337	25.0	29421.6
	29468.0	0.00148	4.0	22800.0	D+	T5723LS		13.8244077  -   14.24504	13.8244077	-2.2276782932770804	40.0	29468.0
	29492.54	0.0461	4.0	707000.0	C	u18,LS		13.2658173  -   13.6860943	13.2658173	-0.7342390832823894	25.0	29492.54
	29576.02	0.00953	6.0	109000.0	C	u18,LS		13.2433051  -   13.6623958	13.2433051	-1.24275584897803	25.0	29576.02
	29589.52	0.102	8.0	773000.0	C	u18,LS		13.2500220  -   13.6689216	13.250022	-0.08830984124613889	25.0	29589.52
	29634.5	0.453	2.0	1720000.0	D+	u18,LS		12.847554   -   13.2658173	12.847554	-0.042871802323186915	40.0	29634.5
	29666.3	0.246	4.0	1240000.0	D+	u18,LS		12.853090   -   13.2709052	12.85309	-0.007004901568658489	40.0	29666.3
	29669.6	0.0382	2.0	289000.0	D+	u18,LS		13.2638891  -   13.6816580	13.2638891	-1.11690664142431	40.0	29669.6
	29693.35	0.0919	4.0	1390000.0	D+	u18,LS		12.9218353  -   13.3392701	12.9218353	-0.4346244972859264	40.0	29693.35
	29699.42	0.732	6.0	4150000.0	C	u18,LS		13.2709052  -   13.6882547	13.2709052	0.6426623314420354	25.0	29699.42
	29715.87	0.164	6.0	1240000.0	C	u18,LS		13.2709052  -   13.6880236	13.2709052	-0.007004901568658489	25.0	29715.87
	29768.02	0.0183	6.0	206000.0	C	u18,LS		13.2709052  -   13.6872930	13.2709052	-0.9593976598859268	25.0	29768.02
	29771.8	0.0903	2.0	679000.0	D+	u18,LS		12.847554   -   13.2638891	12.847554	-0.743282254022513	40.0	29771.8
	29807.18	0.0946	4.0	1420000.0	D+	u18,LS		13.2658173  -   13.6816580	13.2658173	-0.42204887227024485	40.0	29807.18
	29898.29	0.00511	8.0	50800.0	C	u18,LS		13.2500220  -   13.6645956	13.250022	-1.3884891128733436	25.0	29898.29
	29911.89	0.189	2.0	705000.0	D+	u18,LS		13.2638891  -   13.6782741	13.2638891	-0.4225082001627747	40.0	29911.89
	30032.0	0.0716	4.0	529000.0	D+	u18,LS		12.853090   -   13.2658173	12.85309	-0.5430269863641821	40.0	30032.0
	30051.72	0.0301	4.0	222000.0	D+	u18,LS		13.2658173  -   13.6782741	13.2658173	-0.9193735130781943	40.0	30051.72
	30173.0	0.223	4.0	3260000.0	D+	u18,LS		12.853090   -   13.2638891	12.85309	-0.04963514562387693	40.0	30173.0
	30258.62	0.101	4.0	490000.0	D+	u18,LS		13.2658173  -   13.6754539	13.2658173	-0.393618634889395	40.0	30258.62
	30280.2	0.373	6.0	2710000.0	D+	u18,LS		12.861560   -   13.2709052	12.86156	0.3498600821923312	40.0	30280.2
	30410.36	0.0181	4.0	86800.0	C	u18,LS		13.2889721  -   13.6965647	13.2889721	-1.1402614338028532	25.0	30410.36
	30427.06	0.0669	6.0	723000.0	D+	u18,LS		13.2709052  -   13.6782741	13.2709052	-0.39642263184853327	40.0	30427.06
	30626.61	0.162	4.0	1150000.0	C	u18,LS		13.2889721  -   13.6936867	13.2889721	-0.18842499412940666	25.0	30626.61
