wavelength_obs_A	wavelength_ritz_A	fik	gi	aki_s-1	nist_grade	ref_transition_probability	ref_line	ei_ek_raw	ei_eV	log_gf	nist_acc_pct	wavelength_A
	31100.0	0.00934	4.0	42900.0	D	T5723LS		30.749350  -   31.147904	30.74935	-1.4275931324419442	50.0	31100.0
	32905.8	0.000421	6.0	2590.0	D	T5723LS		30.771222  -   31.147904	30.771222	-2.597566653780688	50.0	32905.8
	32934.0	0.0084	6.0	38700.0	D	T5723LS		30.771222  -   31.147582	30.771222	-1.2975694635544748	50.0	32934.0
	33189.9	0.00877	6.0	39800.0	D	T6172n		28.509803  -   28.8832609	28.509803	-1.278849156250316	50.0	33189.9
	33507.9	0.0803	4.0	318000.0	C	T5723LS		31.613683  -   31.983597	31.613683	-0.4932244633933567	25.0	33507.9
	34423.5	0.0373	4.0	140000.0	D	T5723LS		31.367183  -   31.727258	31.367183	-0.82623117686335	50.0	34423.5
	35008.4	0.0408	2.0	111000.0	D	T5723LS		31.366419  -   31.720478	31.366419	-1.0883098412461387	50.0	35008.4
	35084.1	0.00408	4.0	22100.0	D	T5723LS		31.367183  -   31.720478	31.367183	-1.7872798455821577	50.0	35084.1
	35087.7	0.00027	6.0	1460.0	D	T6172n		28.509803  -   28.8630624	28.509803	-2.7904849854573692	50.0	35087.7
	35352.8	0.00686	4.0	24400.0	D	T6172n		28.512453  -   28.8630624	28.512453	-1.561615892965286	50.0	35352.8
	35471.7	0.0506	4.0	268000.0	C	T5723LS		31.613683  -   31.963118	31.613683	-0.6937894918322385	25.0	35471.7
	35618.7	0.000365	6.0	1440.0	C	T6172		28.509803  -   28.8577953	28.509803	-2.6595558851598815	25.0	35618.7
	35698.3	6.14e-05	6.0	321.0	C	T6172		28.509803  -   28.8570199	28.509803	-3.433680378475189	25.0	35698.3
	35972.8	0.0016	4.0	5490.0	C	T6172		28.512453  -   28.8570199	28.512453	-2.193820026016113	25.0	35972.8
	36833.4	0.0243	4.0	239000.0	C	T5723LS		31.613683  -   31.950200	31.613683	-1.0123337350737254	25.0	36833.4
	37932.1	0.00165	2.0	7630.0	D	T5723LS		31.366419  -   31.693188	31.366419	-2.4814860601221125	50.0	37932.1
	38021.0	0.00164	4.0	15100.0	D	T5723LS		31.367183  -   31.693188	31.367183	-2.1830961606243395	50.0	38021.0
	38714.2	0.0096	6.0	42700.0	C	T5723LS		32.147566  -   32.467735	32.147566	-1.239577516576788	25.0	38714.2
	38721.1	0.00103	4.0	3050.0	D	T5723LS		32.147624  -   32.467735	32.147624	-2.3851027839668655	50.0	38721.1
	41462.9	0.000641	6.0	3730.0	D	T5723LS		32.147566  -   32.446510	32.147566	-2.414990720097539	50.0	41462.9
	41470.8	0.00864	4.0	33500.0	C	T5723LS		32.147624  -   32.446510	32.147624	-1.4614262661931443	25.0	41470.8
	43566.8	0.00846	2.0	29700.0	D	T5723LS		31.366419  -   31.650925	31.366419	-1.7715996412969952	50.0	43566.8
	43684.1	0.0021	4.0	14700.0	D	T5723LS		31.367183  -   31.650925	31.367183	-2.0757207139381184	50.0	43684.1
	45725.9	0.00403	2.0	6420.0	D	T5723LS		31.366419  -   31.637492	31.366419	-2.093664958194909	50.0	45725.9
	45855.1	0.01	4.0	31800.0	D	T5723LS		31.367183  -   31.637492	31.367183	-1.3979400086720375	50.0	45855.1
	51865.3	0.00421	4.0	6960.0	D	T6172		28.829685  -   29.0686699	28.829685	-1.7736579128363692	50.0	51865.3
	52005.3	0.00436	2.0	5370.0	D	T6172		28.823901  -   29.0622429	28.823901	-2.059483515067433	50.0	52005.3
	52133.2	0.000864	2.0	1060.0	B	T6172		28.591928  -   28.829685	28.591928	-2.7624562618571256	10.0	52133.2
	53298.7	0.000656	4.0	1540.0	D	T6172		28.829685  -   29.0622429	28.829685	-2.5810361692963775	50.0	53298.7
	53433.1	0.000422	2.0	986.0	B	T6172		28.591928  -   28.823901	28.591928	-3.073657553374345	10.0	53433.1
	80615.0	0.00104	4.0	2140.0	C+	T6172n		26.2254001  -   26.379157	26.2254001	-2.3809066693732572	18.0	80615.0
	93284.0	0.000183	4.0	140.0	C+	T6172n		26.2254001  -   26.358274	26.2254001	-3.135488918941608	18.0	93284.0
	93946.0	0.000621	2.0	469.0	D	T6172		28.823901   -   28.955839	28.823901	-2.9058784041594388	50.0	93946.0
	98253.0	0.000146	4.0	202.0	D	T6172		28.829685   -   28.955839	28.829685	-3.2335871528876003	50.0	98253.0
	105225.0	0.000422	2.0	127.0	D	T6172		28.823901   -   28.941697	28.823901	-3.073657553374345	50.0	105225.0
	110658.0	0.000575	4.0	313.0	D	T6172		28.829685   -   28.941697	28.829685	-2.638272163982407	50.0	110658.0
	113465.0	0.000908	6.0	705.0	C+	T6172n		26.2490334  -   26.358274	26.2490334	-2.263762901095271	18.0	113465.0
