wavelength_obs_A	wavelength_ritz_A	fik	gi	aki_s-1	nist_grade	ref_transition_probability	ref_line	ei_ek_raw	ei_eV	log_gf	nist_acc_pct	wavelength_A
922.008	922.0081	0.0219	5.0	123000000.0	B	T5713	L3760	1.9673642  -   15.4145560	1.9673642	-0.9605858808238629	10.0	922.008
	922.07275	0.0149	5.0	117000000.0	B	T5713		1.9673642  -   15.4136133	1.9673642	-1.1278437272517072	10.0	922.07275
	922.457	0.00156	5.0	20400000.0	B	T5713		1.9673642  -   15.4080	1.9673642	-2.1079053973095196	10.0	922.457
	924.95	1.55e-05	5.0	201000.0	D	T5713LS		0.0000000  -   13.40443	0.0	-4.110698297493689	50.0	924.95
	924.95	0.000232	5.0	1810000.0	C	T5713LS		0.0000000  -   13.40443	0.0	-2.9355420107730814	25.0	924.95
	924.95	0.0013	5.0	7220000.0	C	T5713LS		0.0000000  -   13.40443	0.0	-2.1870866433571443	25.0	924.95
	926.306	0.000386	3.0	3000000.0	C	T5713LS		0.0196224  -   13.40443	0.0196224	-2.9362914406085827	25.0	926.306
	926.306	0.00116	3.0	5390000.0	C	T5713LS		0.0196224  -   13.40443	0.0196224	-2.4584207560534193	25.0	926.306
	926.896	0.00154	1.0	3990000.0	C	T5713LS		0.0281416  -   13.40443	0.0281416	-2.812479279163537	25.0	926.896
	929.51681	0.00192	5.0	10600000.0	C	T5713LS		0.0000000  -   13.3385644	0.0	-2.0177287669604316	25.0	929.51681
	929.51681	2.3e-05	5.0	296000.0	D	T5713LS		0.0000000  -   13.3385644	0.0	-3.939302159646388	50.0	929.51681
	929.51681	0.000345	5.0	2660000.0	C	T5713LS		0.0000000  -   13.3385644	0.0	-2.7632109005907073	25.0	929.51681
	930.25658	0.000537	5.0	6900000.0	C	T5713LS		0.0000000  -   13.3279572	0.0	-2.5710557099644253	25.0	930.25658
	930.88624	0.00172	3.0	7950000.0	C	T5713LS		0.0196224  -   13.3385644	0.0196224	-2.2873502983727887	25.0	930.88624
	930.88624	0.000574	3.0	4420000.0	C	T5713LS		0.0196224  -   13.3385644	0.0196224	-2.763966852882364	25.0	930.88624
	931.48204	0.00229	1.0	5880000.0	C	T5713LS		0.0281416  -   13.3385644	0.0281416	-2.640164517660112	25.0	931.48204
	931.62819	0.000536	3.0	4120000.0	C	T5713LS		0.0196224  -   13.3279572	0.0196224	-2.7937139555875676	25.0	931.62819
	932.22494	0.000535	1.0	1370000.0	D	T5713LS		0.0281416  -   13.3279572	0.0281416	-3.2716462179787715	50.0	932.22494
935.193	935.193	0.0174	5.0	133000000.0	B	T5713	L3760	1.9673642  -   15.2249696	1.9673642	-1.0604807473813815	10.0	935.193
	936.62949	3.64e-05	5.0	461000.0	D	T5713LS		0.0000000  -   13.2372725	0.0	-3.7399286120149253	50.0	936.62949
	936.62949	0.000546	5.0	4150000.0	C	T5713LS		0.0000000  -   13.2372725	0.0	-2.563837352959244	25.0	936.62949
	936.62949	0.00306	5.0	16600000.0	C+	T5713LS		0.0000000  -   13.2372725	0.0	-1.8153085691824011	18.0	936.62949
	937.84055	0.000878	5.0	11100000.0	C	T5713LS		0.0000000  -   13.2201789	0.0	-2.3575354797578787	25.0	937.84055
	938.01997	0.000908	3.0	6880000.0	C	T5713LS		0.0196224  -   13.2372725	0.0196224	-2.5647928967592524	25.0	938.01997
	938.01997	0.00273	3.0	12400000.0	C	T5713LS		0.0196224  -   13.2372725	0.0196224	-2.0867160982395814	25.0	938.01997
	938.62495	0.00363	1.0	9160000.0	C	T5713LS		0.0281416  -   13.2372725	0.0281416	-2.4400933749638876	25.0	938.62495
	939.23463	0.000877	3.0	6630000.0	C	T5713LS		0.0196224  -   13.2201789	0.0196224	-2.579879151914297	25.0	939.23463
	939.84117	0.000878	1.0	2210000.0	D	T5713LS		0.0281416  -   13.2201789	0.0281416	-3.0565054840938974	50.0	939.84117
948.686	948.68552	0.00531	5.0	28100000.0	C+	T5713LS	L3760	0.0000000  -   13.0690514	0.0	-1.5759354745825123	18.0	948.686
948.686	948.68552	6.31e-05	5.0	780000.0	D	T5713LS	L3760	0.0000000  -   13.0690514	0.0	-3.501000636419847	50.0	948.686
948.686	948.68552	0.000947	5.0	7020000.0	C	T5713LS	L3760	0.0000000  -   13.0690514	0.0	-2.324680016660708	25.0	948.686
	950.11206	0.00474	3.0	21000000.0	C+	T5713LS		0.0196224  -   13.0690514	0.0196224	-1.8471004036062526	18.0	950.11206
	950.11206	0.00157	3.0	11600000.0	C	T5713LS		0.0196224  -   13.0690514	0.0196224	-2.326979092871104	25.0	950.11206
	950.73273	0.0063	1.0	15500000.0	C	T5713LS		0.0281416  -   13.0690514	0.0281416	-2.2006594505464183	25.0	950.73273
	950.8846	0.00158	5.0	19400000.0	C	T5713LS		0.0000000  -   13.0388270	0.0	-2.1023729087095586	25.0	950.8846
	952.31776	0.00158	3.0	11600000.0	C	T5713LS		0.0196224  -   13.0388270	0.0196224	-2.3242216583259148	25.0	952.31776
	952.94133	0.00157	1.0	3850000.0	C	T5713LS		0.0281416  -   13.0388270	0.0281416	-2.8041003475907664	25.0	952.94133
971.738	971.73713	0.000138	5.0	1620000.0	C+	T5803,LS	L3760	0.0000000  -   12.7590265	0.0	-3.161150909262745	18.0	971.738
971.738	971.73757	0.00207	5.0	14600000.0	C+	T5803,LS	L3760	0.0000000  -   12.7590208	0.0	-1.9850596502070634	18.0	971.738
971.738	971.73822	0.0116	5.0	58500000.0	C+	T5803,LS	L3760	0.0000000  -   12.7590123	0.0	-1.2365720064370627	18.0	971.738
	973.23389	0.00344	3.0	24200000.0	C+	T5803,LS		0.0196224  -   12.7590265	0.0196224	-1.9863203027088074	18.0	973.23389
	973.23432	0.0103	3.0	43700000.0	C+	T5803,LS		0.0196224  -   12.7590208	0.0196224	-1.5100415205751654	18.0	973.23432
	973.88515	0.0138	1.0	32300000.0	C+	T5803,LS		0.0281416  -   12.7590265	0.0281416	-1.8601209135987635	18.0	973.88515
	974.07	1.56e-05	5.0	110000.0	C	T5986		0.0000000  -   12.7284690	0.0	-4.107905397309519	25.0	974.07
	975.57396	5.28e-06	3.0	22200.0	C	T5986		0.0196224  -   12.7284690	0.0196224	-4.800244822746525	25.0	975.57396
976.448	976.44812	0.00331	5.0	38600000.0	C+	T5713LS	L3760	0.0000000  -   12.6974691	0.0	-1.7812020018882624	18.0	976.448
	977.95943	0.0033	3.0	23000000.0	C+	T5713LS		0.0196224  -   12.6974691	0.0196224	-2.0043648054024503	18.0	977.95943
	978.61704	0.0033	1.0	7660000.0	C	T5713LS		0.0281416  -   12.6974691	0.0281416	-2.4814860601221125	25.0	978.61704
	988.57776	0.000569	5.0	6470000.0	B	T5803,LS		0.0000000  -   12.5416739	0.0	-2.54591772926891	10.0	988.57776
	988.65493	0.00846	5.0	57700000.0	B	T5803,LS		0.0000000  -   12.5406949	0.0	-1.3736596326249577	10.0	988.65493
988.773	988.7734	0.0464	5.0	226000000.0	B	T5803,LS	L3760	0.0000000  -   12.5391924	0.0	-0.6345120151091004	10.0	988.773
	990.12688	0.0139	3.0	94700000.0	B	T5803,LS		0.0196224  -   12.5416739	0.0196224	-1.3798639450262424	10.0	990.12688
990.204	990.2043	0.0412	3.0	168000000.0	B	T5803,LS	L3760	0.0196224  -   12.5406949	0.0196224	-0.907981529247203	10.0	990.204
	990.80096	0.0552	1.0	125000000.0	B	T5803,LS		0.0281416  -   12.5416739	0.0281416	-1.258060922270801	10.0	990.80096
	999.49744	0.0455	5.0	506000000.0	B	T5713		1.9673642  -   14.3720180	1.9673642	-0.6430185990068689	10.0	999.49744
1025.762	1025.76161	0.0169	5.0	76600000.0	B	T5803,LS	L3760	0.0000000  -   12.0870382	0.0	-1.0731432910503076	10.0	1025.762
1025.762	1025.7633	0.0002	5.0	2110000.0	B	T5803,LS	L3760	0.0000000  -   12.0870184	0.0	-3.0	10.0	1025.762
1025.762	1025.76256	0.00301	5.0	19100000.0	B	T5803,LS	L3760	0.0000000  -   12.0870271	0.0	-1.822463500070138	10.0	1025.762
1027.431	1027.43051	0.0151	3.0	57100000.0	B	T5803,LS	L3760	0.0196224  -   12.0870271	0.0196224	-1.3439017979871681	10.0	1027.431
1027.431	1027.43125	0.00502	3.0	31700000.0	B	T5803,LS	L3760	0.0196224  -   12.0870184	0.0196224	-1.8221750281353182	10.0	1027.431
	1028.1571	0.0201	1.0	42200000.0	B	T5803,LS		0.0281416  -   12.0870184	0.0281416	-1.6968039425795112	10.0	1028.1571
1039.23	1039.23044	0.00916	5.0	94300000.0	A	T5803,LS	L3760	0.0000000  -   11.9303856	0.0	-1.3391345219961308	3.0	1039.23
1040.942	1040.94252	0.00916	3.0	56400000.0	A	T5803,LS	L3760	0.0196224  -   11.9303856	0.0196224	-1.5609832716124872	3.0	1040.942
	1041.68759	0.00918	1.0	18800000.0	A	T5803,LS		0.0281416  -   11.9303856	0.0281416	-2.0371573187987577	3.0	1041.68759
1152.1512	1152.1512	0.108	5.0	528000000.0	B	T5713	L3460	1.9673642  -   12.7284690	1.9673642	-0.26760624017703144	10.0	1152.1512
	1172.50394	6.16e-06	5.0	49800.0	C	T5986		1.9673642  -   12.5416739	1.9673642	-4.511449283499556	25.0	1172.50394
	1172.6125	7.54e-08	5.0	366.0	C	T5986		1.9673642  -   12.5406949	1.9673642	-6.423658649794207	25.0	1172.6125
	1172.77916	2.3e-06	5.0	7970.0	C	T5986		1.9673642  -   12.5391924	1.9673642	-4.939302159646388	25.0	1172.77916
	1217.64771	0.137	1.0	206000000.0	B	T5713		4.1897463  -   14.3720180	4.1897463	-0.8632794328435932	10.0	1217.64771
1302.168	1302.16848	0.052	5.0	341000000.0	A	T5803,LS	L3760	0.0000000  -    9.5213638	0.0	-0.585026652029182	3.0	1302.168
1304.858	1304.85763	0.0518	3.0	203000000.0	A	T5803,LS	L3760	0.0196224  -    9.5213638	0.0196224	-0.8085489855351046	3.0	1304.858
1306.029	1306.02861	0.0519	1.0	67600000.0	A	T5803,LS	L3760	0.0281416  -    9.5213638	0.0281416	-1.2848326421515421	3.0	1306.029
	1355.59767	1.16e-06	5.0	4200.0	B	T5986,T2118,T2613,T3473,T5663		0.0000000  -    9.1460911	0.0	-5.236572006437063	10.0	1355.59767
	1358.5123	6.27e-07	3.0	1360.0	B	T5986,T2118,T2613,T3473,T5663		0.0196224  -    9.1460911	0.0196224	-5.7256112044496215	10.0	1358.5123
	1484.498	8.97e-06	1.0	9050.0	C	T5986		4.1897463  -   12.5416739	4.1897463	-5.047207556955908	25.0	1484.498
	1641.3053	4.43e-07	5.0	1830.0	C	T5986		1.9673642  -    9.5213638	1.9673642	-5.654626269440912	25.0	1641.3053
	1727.1056	2.38e-12	5.0	0.00532	D	T5986		1.9673642  -    9.1460911	1.9673642	-10.924453038607469	50.0	1727.1056
	1827.06	0.000127	3.0	152000.0	D	T5803		10.9887923  -   17.77480	10.9887923	-3.4190750243243806	50.0	1827.06
	1827.06	3.9e-05	3.0	77900.0	D	T5803		10.9887923  -   17.77480	10.9887923	-3.9318141382538383	50.0	1827.06
	1827.08	2.16e-05	5.0	43200.0	D	T5803		10.9888616  -   17.77480	10.9888616	-3.96657624451305	50.0	1827.08
	1827.08	0.000137	5.0	196000.0	D	T5803		10.9888616  -   17.77480	10.9888616	-3.1643094285075746	50.0	1827.08
	1827.08	0.000168	1.0	112000.0	D	T5803		10.9888811  -   17.77480	10.9888811	-3.774690718274137	50.0	1827.08
	2026.43	0.00029	3.0	282000.0	C	T5803		10.9887923  -   17.10517	10.9887923	-3.0604807473813813	25.0	2026.43
	2026.43	6.47e-05	3.0	105000.0	D	T5803		10.9887923  -   17.10517	10.9887923	-3.7119744646116373	50.0	2026.43
	2026.46	0.000319	5.0	370000.0	C	T5803		10.9888616  -   17.10517	10.9888616	-2.7972393126068003	25.0	2026.46
	2026.46	0.000355	1.0	192000.0	D	T5803		10.9888811  -   17.10517	10.9888811	-3.449771646944906	50.0	2026.46
	2026.46	2.99e-05	5.0	48500.0	D	T5803		10.9888616  -   17.10517	10.9888616	-3.8253588073395517	50.0	2026.46
	2288.54	0.000177	3.0	135000.0	D	T5803		12.3588649  -   17.77480	12.3588649	-3.274905478918531	50.0	2288.54
	2288.54	1.95e-05	3.0	24800.0	D	T5803		12.3588649  -   17.77480	12.3588649	-4.23284413391782	50.0	2288.54
	2288.55	0.000184	5.0	167000.0	D	T5803		12.3588750  -   17.77480	12.358875	-3.036212172654445	50.0	2288.55
	2288.56	0.000195	1.0	82900.0	D	T5803		12.3589072  -   17.77480	12.3589072	-3.709965388637482	50.0	2288.56
	2324.7381	1.12e-08	1.0	4.61	C	T5986		4.1897463  -    9.5213638	4.1897463	-7.950781977329818	25.0	2324.7381
	2417.4132	8.71e-05	3.0	298000.0	D	T5713LS		10.9887923  -   16.1160306	10.9887923	-3.5828605902726745	50.0	2417.4132
	2417.7154	6.53e-05	3.0	74500.0	D	T5713LS		10.9887923  -   16.1153897	10.9887923	-3.7079655640052636	50.0	2417.7154
