element,species,line_label,wavelength_air_A,lower_EP_eV,published_loggf,source_band,use_status,reference_line_set,match_tol_A,match_tol_basis
C,C I,505.2nm,5052.16,7.684766,-1.303,VIS,SOURCE_ANALYSIS_GRID_SET,AmarsiEtAl2019_AA630_A104_Table1,0.05,"half AGSS21's printed resolution: lambda is printed in NANOMETRES to 2 dp = 0.1 A, so the rounding half-width is 0.05 A. Same derivation as reference_lineset.SETS['asplund'] for the Fe table of the same paper (RYA-1109/1211)."
C,C I,538.0nm,5380.34,7.684766,-1.616,VIS,SOURCE_ANALYSIS_GRID_SET,AmarsiEtAl2019_AA630_A104_Table1,0.05,"half AGSS21's printed resolution: lambda is printed in NANOMETRES to 2 dp = 0.1 A, so the rounding half-width is 0.05 A. Same derivation as reference_lineset.SETS['asplund'] for the Fe table of the same paper (RYA-1109/1211)."
C,C I,658.8nm,6587.61,8.537097,-1.003,VIS,SOURCE_ANALYSIS_GRID_SET,AmarsiEtAl2019_AA630_A104_Table1,0.05,"half AGSS21's printed resolution: lambda is printed in NANOMETRES to 2 dp = 0.1 A, so the rounding half-width is 0.05 A. Same derivation as reference_lineset.SETS['asplund'] for the Fe table of the same paper (RYA-1109/1211)."
C,C I,711.1nm,7111.47,8.640394,-1.085,RED_OPTICAL,SOURCE_ANALYSIS_GRID_SET,AmarsiEtAl2019_AA630_A104_Table1,0.05,"half AGSS21's printed resolution: lambda is printed in NANOMETRES to 2 dp = 0.1 A, so the rounding half-width is 0.05 A. Same derivation as reference_lineset.SETS['asplund'] for the Fe table of the same paper (RYA-1109/1211)."
C,C I,711.3nm,7113.18,8.647158,-0.773,RED_OPTICAL,SOURCE_ANALYSIS_GRID_SET,AmarsiEtAl2019_AA630_A104_Table1,0.05,"half AGSS21's printed resolution: lambda is printed in NANOMETRES to 2 dp = 0.1 A, so the rounding half-width is 0.05 A. Same derivation as reference_lineset.SETS['asplund'] for the Fe table of the same paper (RYA-1109/1211)."
C,C I,833.5nm,8335.14,7.684766,-0.437,RED_OPTICAL,SOURCE_ANALYSIS_GRID_SET,AmarsiEtAl2019_AA630_A104_Table1,0.05,"half AGSS21's printed resolution: lambda is printed in NANOMETRES to 2 dp = 0.1 A, so the rounding half-width is 0.05 A. Same derivation as reference_lineset.SETS['asplund'] for the Fe table of the same paper (RYA-1109/1211)."
C,C I,872.7nm,8727.12,1.263725,-8.165,RED_OPTICAL,SOURCE_ANALYSIS_GRID_SET,AmarsiEtAl2019_AA630_A104_Table1,0.05,"half AGSS21's printed resolution: lambda is printed in NANOMETRES to 2 dp = 0.1 A, so the rounding half-width is 0.05 A. Same derivation as reference_lineset.SETS['asplund'] for the Fe table of the same paper (RYA-1109/1211)."
C,C I,906.1nm,9061.43,7.482772,-0.347,RED_OPTICAL,SOURCE_ANALYSIS_GRID_SET,AmarsiEtAl2019_AA630_A104_Table1,0.05,"half AGSS21's printed resolution: lambda is printed in NANOMETRES to 2 dp = 0.1 A, so the rounding half-width is 0.05 A. Same derivation as reference_lineset.SETS['asplund'] for the Fe table of the same paper (RYA-1109/1211)."
C,C I,906.2nm,9062.48,7.480392,-0.455,RED_OPTICAL,SOURCE_ANALYSIS_GRID_SET,AmarsiEtAl2019_AA630_A104_Table1,0.05,"half AGSS21's printed resolution: lambda is printed in NANOMETRES to 2 dp = 0.1 A, so the rounding half-width is 0.05 A. Same derivation as reference_lineset.SETS['asplund'] for the Fe table of the same paper (RYA-1109/1211)."
C,C I,907.8nm,9078.28,7.482772,-0.581,RED_OPTICAL,SOURCE_ANALYSIS_GRID_SET,AmarsiEtAl2019_AA630_A104_Table1,0.05,"half AGSS21's printed resolution: lambda is printed in NANOMETRES to 2 dp = 0.1 A, so the rounding half-width is 0.05 A. Same derivation as reference_lineset.SETS['asplund'] for the Fe table of the same paper (RYA-1109/1211)."
C,C I,908.9nm,9088.5,7.482772,-0.43,RED_OPTICAL,SOURCE_ANALYSIS_GRID_SET,AmarsiEtAl2019_AA630_A104_Table1,0.05,"half AGSS21's printed resolution: lambda is printed in NANOMETRES to 2 dp = 0.1 A, so the rounding half-width is 0.05 A. Same derivation as reference_lineset.SETS['asplund'] for the Fe table of the same paper (RYA-1109/1211)."
C,C I,909.5nm,9094.82,7.487795,0.151,RED_OPTICAL,SOURCE_ANALYSIS_GRID_SET,AmarsiEtAl2019_AA630_A104_Table1,0.05,"half AGSS21's printed resolution: lambda is printed in NANOMETRES to 2 dp = 0.1 A, so the rounding half-width is 0.05 A. Same derivation as reference_lineset.SETS['asplund'] for the Fe table of the same paper (RYA-1109/1211)."
