element,species,line_label,wavelength_air_A,lower_EP_eV,published_loggf,source_band,use_status,reference_line_set
O,O I,615.6nm,6155.96,10.740225,-1.363,VIS,SOURCE_ANALYSIS_GRID_SET,AmarsiEtAl2019_AA630_A104_Table1
O,O I,615.6nm,6155.97,10.740225,-1.011,VIS,SOURCE_ANALYSIS_GRID_SET,AmarsiEtAl2019_AA630_A104_Table1
O,O I,615.6nm,6155.99,10.740225,-1.12,VIS,SOURCE_ANALYSIS_GRID_SET,AmarsiEtAl2019_AA630_A104_Table1
O,O I,615.7nm,6156.73,10.7404755,-1.487,VIS,SOURCE_ANALYSIS_GRID_SET,AmarsiEtAl2019_AA630_A104_Table1
O,O I,615.7nm,6156.75,10.7404755,-0.898,VIS,SOURCE_ANALYSIS_GRID_SET,AmarsiEtAl2019_AA630_A104_Table1
O,O I,615.7nm,6156.77,10.7404755,-0.694,VIS,SOURCE_ANALYSIS_GRID_SET,AmarsiEtAl2019_AA630_A104_Table1
O,O I,615.8nm,6158.15,10.7409313,-1.841,VIS,SOURCE_ANALYSIS_GRID_SET,AmarsiEtAl2019_AA630_A104_Table1
O,O I,615.8nm,6158.17,10.7409313,-0.995,VIS,SOURCE_ANALYSIS_GRID_SET,AmarsiEtAl2019_AA630_A104_Table1
O,O I,615.8nm,6158.18,10.7409313,-0.409,VIS,SOURCE_ANALYSIS_GRID_SET,AmarsiEtAl2019_AA630_A104_Table1
O,O I,630.0nm,6300.3,0.0,-9.776,VIS,SOURCE_ANALYSIS_GRID_SET,AmarsiEtAl2019_AA630_A104_Table1
O,O I,636.4nm,6363.77,0.0196224,-10.257,VIS,SOURCE_ANALYSIS_GRID_SET,AmarsiEtAl2019_AA630_A104_Table1
O,O I,777.2nm,7771.94,9.1460911,0.369,RED_OPTICAL,SOURCE_ANALYSIS_GRID_SET,AmarsiEtAl2019_AA630_A104_Table1
O,O I,777.4nm,7774.16,9.1460911,0.223,RED_OPTICAL,SOURCE_ANALYSIS_GRID_SET,AmarsiEtAl2019_AA630_A104_Table1
O,O I,777.5nm,7775.38,9.1460911,0.002,RED_OPTICAL,SOURCE_ANALYSIS_GRID_SET,AmarsiEtAl2019_AA630_A104_Table1
O,O I,844.6nm,8446.24,9.5213637,-0.463,RED_OPTICAL,SOURCE_ANALYSIS_GRID_SET,AmarsiEtAl2019_AA630_A104_Table1
O,O I,844.6nm,8446.35,9.5213637,0.236,RED_OPTICAL,SOURCE_ANALYSIS_GRID_SET,AmarsiEtAl2019_AA630_A104_Table1
O,O I,844.7nm,8446.75,9.5213637,0.014,RED_OPTICAL,SOURCE_ANALYSIS_GRID_SET,AmarsiEtAl2019_AA630_A104_Table1
O,O I,926.1nm,9260.8,10.740225,-0.241,RED_OPTICAL,SOURCE_ANALYSIS_GRID_SET,AmarsiEtAl2019_AA630_A104_Table1
O,O I,926.1nm,9260.84,10.740225,0.11,RED_OPTICAL,SOURCE_ANALYSIS_GRID_SET,AmarsiEtAl2019_AA630_A104_Table1
O,O I,926.1nm,9260.93,10.740225,0.002,RED_OPTICAL,SOURCE_ANALYSIS_GRID_SET,AmarsiEtAl2019_AA630_A104_Table1
O,O I,926.3nm,9262.58,10.7404755,-0.368,RED_OPTICAL,SOURCE_ANALYSIS_GRID_SET,AmarsiEtAl2019_AA630_A104_Table1
O,O I,926.3nm,9262.66,10.7404755,0.224,RED_OPTICAL,SOURCE_ANALYSIS_GRID_SET,AmarsiEtAl2019_AA630_A104_Table1
O,O I,926.3nm,9262.77,10.7404755,0.427,RED_OPTICAL,SOURCE_ANALYSIS_GRID_SET,AmarsiEtAl2019_AA630_A104_Table1
O,O I,926.6nm,9265.82,10.7409313,-0.718,RED_OPTICAL,SOURCE_ANALYSIS_GRID_SET,AmarsiEtAl2019_AA630_A104_Table1
O,O I,926.6nm,9265.93,10.7409313,0.125,RED_OPTICAL,SOURCE_ANALYSIS_GRID_SET,AmarsiEtAl2019_AA630_A104_Table1
O,O I,926.6nm,9266.0,10.7409313,0.712,RED_OPTICAL,SOURCE_ANALYSIS_GRID_SET,AmarsiEtAl2019_AA630_A104_Table1
