line_set,band,species,wavelength_air_A,excitation_potential_eV,gbs_golden,gbs_selected_sun,elow_eV_paper,log_gf_gbs,vdw_abo_gbs,loggf_ref_code_gbs,loggf_ref_gbs_resolved,gf_provenance_gbs,n_methods_ew,n_methods_abund,ew_mA_min,ew_mA_max,ew_mA_mean,rew_min,rew_max,rew_mean,rew_class,our_wavelength_air_A,our_excitation_potential_eV,match_distance_mA,log_gf_ours,loggf_reference_ours,gf_tier_ours,nist_grade_ours,gf_synth_ges,delta_gbs_minus_ours,delta_gbs_minus_ges,telluric_exclusion
gbs,VIS,Fe I,4787.83,3.00,Y,1,2.9980,-2.563,818.227,102,False,"Jofre+2014 (Table 4) code 102; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",2,3,41.60,41.60,41.60,-5.0610,-5.0610,-5.0610,pass,4787.8270,2.9980,3.00,-2.6200,PRIMARY LAB DenHartog2014,LAB,,-2.6040,+0.0570,+0.0410,
gbs,VIS,Fe I,4788.76,3.24,Y,1,3.2370,-1.763,238.249,102,False,"Jofre+2014 (Table 4) code 102; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",2,3,67.60,67.80,67.70,-4.8503,-4.8490,-4.8496,pass,4788.7570,3.2370,3.00,-1.7622,NIST-C+ T5720,NIST-C+,C+,-1.7630,-0.0008,+0.0000,
gbs,VIS,Fe I,4802.88,3.64,Y,1,3.6420,-1.514,356.244,102,False,"Jofre+2014 (Table 4) code 102; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",3,4,60.40,60.90,60.57,-4.9005,-4.8969,-4.8993,pass,4802.8800,3.6420,0.00,-1.5144,NIST-C+ T5720,NIST-C+,C+,-1.5140,+0.0004,+0.0000,
gbs,VIS,Fe I,4808.15,3.25,Y,1,3.2510,-2.690,297.274,156,False,"Jofre+2014 (Table 4) code 156; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",5,6,27.33,28.60,28.17,-5.2453,-5.2256,-5.2323,pass,4808.1480,3.2520,2.00,-2.6900,MRW,OTHER,,-2.6900,+0.0000,+0.0000,
gbs,VIS,Fe I,4875.88,3.33,Y,1,3.3320,-1.920,848.231,156,False,"Jofre+2014 (Table 4) code 156; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",3,4,56.40,64.70,59.20,-4.9368,-4.8771,-4.9157,pass,4875.8770,3.3320,3.00,-1.9000,PRIMARY LAB Ruffoni2014,LAB,,-1.9000,-0.0200,-0.0200,
gbs,VIS,Fe I,4877.60,3.00,Y,1,2.9980,-3.050,795.230,156,False,"Jofre+2014 (Table 4) code 156; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",2,3,20.10,20.10,20.10,-5.3850,-5.3850,-5.3850,pass,4877.6040,2.9980,4.00,-3.0500,MRW,OTHER,,-3.0500,+0.0000,+0.0000,
gbs,VIS,Fe I,4907.73,3.43,Y,1,3.4300,-1.840,909.227,129,False,"Jofre+2014 (Table 4) code 129; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",2,3,60.50,60.60,60.55,-4.9091,-4.9084,-4.9088,pass,4907.7320,3.4300,2.00,-1.7000,PRIMARY LAB DenHartog2014,LAB,,-1.7000,-0.1400,-0.1400,
gbs,VIS,Fe I,4924.77,2.28,Y,1,2.2790,-2.178,360.244,102,False,"Jofre+2014 (Table 4) code 102; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",2,3,92.00,92.40,92.20,-4.7286,-4.7267,-4.7277,excluded,4924.7700,2.2790,0.00,-2.1135,NIST-C+ T5720,NIST-C+,C,-2.2160,-0.0645,+0.0380,
gbs,VIS,Fe I,4950.11,3.42,Y,1,3.4170,-1.670,880.228,129,False,"Jofre+2014 (Table 4) code 129; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",4,5,69.40,74.90,72.22,-4.8533,-4.8201,-4.8359,pass,4950.1050,3.4170,5.00,-1.5000,PRIMARY LAB DenHartog2014,LAB,,-1.4900,-0.1700,-0.1800,
gbs,VIS,Fe I,4962.57,4.18,Y,1,4.1780,-1.182,0.000,102,False,"Jofre+2014 (Table 4) code 102; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",3,3,53.00,55.90,54.93,-4.9714,-4.9483,-4.9559,pass,4962.5720,4.1780,2.00,-1.1819,NIST-C+ T5720,NIST-C+,C+,-1.1820,-0.0001,+0.0000,
gbs,VIS,Fe I,4985.55,2.87,Y,1,2.8650,-1.340,727.238,190,False,"Jofre+2014 (Table 4) code 190; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",3,3,95.90,107.40,101.87,-4.7159,-4.6667,-4.6897,excluded,4985.5470,2.8650,3.00,-1.3308,NIST-C+ T5720,NIST-C+,B,-1.3310,-0.0092,-0.0090,
gbs,VIS,Fe I,5012.69,4.28,Y,1,4.2830,-1.690,1020.279,156,False,"Jofre+2014 (Table 4) code 156; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",3,4,36.10,60.70,45.10,-5.1426,-4.9169,-5.0459,pass,5012.6950,4.2830,5.00,-1.6900,MRW,OTHER,,-1.6900,+0.0000,+0.0000,
gbs,VIS,Fe I,5058.50,3.64,Y,1,3.6420,-2.830,353.313,167,False,"Jofre+2014 (Table 4) code 167; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",3,4,10.50,12.50,11.78,-5.6828,-5.6071,-5.6329,pass,5058.4960,3.6420,4.00,-2.8300,1970A&A...,OTHER,,-2.8300,+0.0000,+0.0000,
gbs,VIS,Fe I,5088.15,4.15,Y,1,4.1540,-1.680,810.278,156,False,"Jofre+2014 (Table 4) code 156; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",3,3,34.10,41.10,36.53,-5.1738,-5.0927,-5.1439,pass,5088.1530,4.1540,3.00,-1.6800,MRW,OTHER,,-1.6800,+0.0000,+0.0000,
gbs,VIS,Fe I,5107.64,1.56,Y,1,1.5570,-2.358,289.258,102,False,"Jofre+2014 (Table 4) code 102; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",2,3,105.20,106.00,105.60,-4.6862,-4.6829,-4.6846,excluded,5107.6410,1.5570,1.00,-2.4177,NIST-C+ T3831,NIST-C+,A,-2.3580,+0.0597,+0.0000,
gbs,VIS,Fe I,5141.74,2.42,Y,1,2.4240,-2.101,367.251,102,False,"Jofre+2014 (Table 4) code 102; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",2,3,83.40,85.70,84.55,-4.7899,-4.7781,-4.7840,excluded,5141.7390,2.4240,1.00,-1.9780,BKK+BWL,OTHER,,-1.9780,-0.1230,-0.1230,
gbs,VIS,Fe I,5197.94,4.30,Y,1,4.3010,-1.540,925.279,156,False,"Jofre+2014 (Table 4) code 156; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",3,4,32.00,38.20,35.00,-5.2107,-5.1338,-5.1718,pass,5197.9360,4.3010,4.00,-1.5400,MRW,OTHER,,-1.5400,+0.0000,+0.0000,
gbs,VIS,Fe I,5223.18,3.63,Y,1,3.6350,-1.783,390.253,102,False,"Jofre+2014 (Table 4) code 102; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",3,3,20.70,28.80,26.03,-5.4020,-5.2585,-5.3024,pass,5223.1830,3.6350,3.00,-1.7833,NIST-C+ T5720,NIST-C+,C+,-1.7830,+0.0003,+0.0000,
gbs,VIS,Fe I,5225.53,0.11,Y,1,0.1100,-4.755,207.253,102,False,"Jofre+2014 (Table 4) code 102; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",2,3,73.00,75.80,74.40,-4.8548,-4.8385,-4.8466,pass,5225.5260,0.1100,4.00,-4.7889,NIST-C+ T3547,NIST-C+,A,-4.7890,+0.0339,+0.0340,
gbs,VIS,Fe I,5243.78,4.26,Y,1,4.2560,-1.050,842.278,156,False,"Jofre+2014 (Table 4) code 156; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",3,3,59.80,63.02,61.77,-4.9429,-4.9202,-4.9288,pass,5243.7760,4.2560,4.00,-1.0500,MRW,OTHER,,-1.0500,+0.0000,+0.0000,
gbs,VIS,Fe I,5253.02,2.28,Y,1,2.2790,-3.840,368.253,156,False,"Jofre+2014 (Table 4) code 156; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",3,4,15.80,19.90,18.27,-5.5218,-5.4216,-5.4586,pass,5253.0210,2.2790,1.00,-3.8400,MRW,OTHER,,-3.8400,+0.0000,+0.0000,
gbs,VIS,Fe I,5285.13,4.43,Y,1,4.4340,-1.540,1046.282,156,False,"Jofre+2014 (Table 4) code 156; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",3,3,23.40,29.70,26.83,-5.3538,-5.2503,-5.2944,pass,5285.1270,4.4350,3.00,-1.6600,PRIMARY LAB Ruffoni2014,LAB,,-1.6600,+0.1200,+0.1200,
gbs,VIS,Fe I,5293.96,4.14,Y,1,4.1430,-1.770,0.000,156,False,"Jofre+2014 (Table 4) code 156; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",2,3,26.20,29.10,27.65,-5.3055,-5.2599,-5.2821,pass,5293.9590,4.1430,1.00,-1.7700,MRW,OTHER,,-1.7700,+0.0000,+0.0000,
gbs,VIS,Fe I,5294.55,3.64,Y,1,3.6400,-2.760,394.237,156,False,"Jofre+2014 (Table 4) code 156; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",4,5,13.20,27.60,17.98,-5.6033,-5.2829,-5.4691,pass,5294.5470,3.6400,3.00,-2.7600,MRW,OTHER,,-2.7600,+0.0000,+0.0000,
gbs,VIS,Fe I,5295.31,4.42,Y,1,4.4150,-1.590,1014.281,156,False,"Jofre+2014 (Table 4) code 156; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",3,4,28.00,31.00,29.22,-5.2767,-5.2325,-5.2583,pass,5295.3120,4.4150,2.00,-1.5900,MRW,OTHER,,-1.5900,+0.0000,+0.0000,
gbs,VIS,Fe I,5365.40,3.57,Y,1,3.5730,-1.020,283.261,102,False,"Jofre+2014 (Table 4) code 102; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",2,3,70.40,77.00,73.70,-4.8820,-4.8431,-4.8621,pass,5365.3990,3.5730,1.00,-1.0201,NIST-C+ T5720,NIST-C+,B,-1.0200,+0.0001,+0.0000,
gbs,VIS,Fe I,5373.71,4.47,Y,1,4.4730,-0.760,1044.282,156,False,"Jofre+2014 (Table 4) code 156; line list GES-v3 (Heiter+ 2014, in prep); code decoder did not typeset in arXiv:1309.1099v2",3,3,61.10,66.21,63.37,-4.9442,-4.9094,-4.9284,pass,5373.7090,4.4730,1.00,-0.7100,PRIMARY LAB Ruffoni2014,LAB,,-0.7100,-0.0500,-0.0500,
