element,igrins_lines,canonical_wavelength_candidates,transition_confirmed_matches,newly_discovered,primary_lab_gradeable,weaker_gf_candidate,crires_bands_reachable,telluric_risk,verdict
Al,7,6,0,1,0,7,H;K,REQUIRES_PER_SPECTRUM_VERIFICATION,DISCOVERY_ONLY_TRANSITION_IDENTITY_AND_GF_PROVENANCE_REQUIRED
Ca,11,11,0,0,0,11,H;K,REQUIRES_PER_SPECTRUM_VERIFICATION,DISCOVERY_ONLY_TRANSITION_IDENTITY_AND_GF_PROVENANCE_REQUIRED
Ce,4,0,0,4,0,4,H,REQUIRES_PER_SPECTRUM_VERIFICATION,DISCOVERY_ONLY_TRANSITION_IDENTITY_AND_GF_PROVENANCE_REQUIRED
Co,1,1,0,0,0,1,H,REQUIRES_PER_SPECTRUM_VERIFICATION,DISCOVERY_ONLY_TRANSITION_IDENTITY_AND_GF_PROVENANCE_REQUIRED
Cr,3,3,0,0,0,3,H,REQUIRES_PER_SPECTRUM_VERIFICATION,DISCOVERY_ONLY_TRANSITION_IDENTITY_AND_GF_PROVENANCE_REQUIRED
Cu,2,2,0,0,0,2,H,REQUIRES_PER_SPECTRUM_VERIFICATION,DISCOVERY_ONLY_TRANSITION_IDENTITY_AND_GF_PROVENANCE_REQUIRED
F,6,0,0,6,0,6,K,REQUIRES_PER_SPECTRUM_VERIFICATION,DISCOVERY_ONLY_TRANSITION_IDENTITY_AND_GF_PROVENANCE_REQUIRED
K,2,2,0,0,0,2,H,REQUIRES_PER_SPECTRUM_VERIFICATION,DISCOVERY_ONLY_TRANSITION_IDENTITY_AND_GF_PROVENANCE_REQUIRED
Mg,3,2,0,1,0,3,K,REQUIRES_PER_SPECTRUM_VERIFICATION,DISCOVERY_ONLY_TRANSITION_IDENTITY_AND_GF_PROVENANCE_REQUIRED
Mn,2,2,0,0,0,2,H,REQUIRES_PER_SPECTRUM_VERIFICATION,DISCOVERY_ONLY_TRANSITION_IDENTITY_AND_GF_PROVENANCE_REQUIRED
Na,5,5,0,0,0,5,H;K,REQUIRES_PER_SPECTRUM_VERIFICATION,DISCOVERY_ONLY_TRANSITION_IDENTITY_AND_GF_PROVENANCE_REQUIRED
Nd,3,0,0,3,0,3,H,REQUIRES_PER_SPECTRUM_VERIFICATION,DISCOVERY_ONLY_TRANSITION_IDENTITY_AND_GF_PROVENANCE_REQUIRED
Ni,11,11,0,0,0,11,H;K,REQUIRES_PER_SPECTRUM_VERIFICATION,DISCOVERY_ONLY_TRANSITION_IDENTITY_AND_GF_PROVENANCE_REQUIRED
S,2,2,0,0,0,2,H;K,REQUIRES_PER_SPECTRUM_VERIFICATION,DISCOVERY_ONLY_TRANSITION_IDENTITY_AND_GF_PROVENANCE_REQUIRED
Sc,3,2,0,1,0,3,K,REQUIRES_PER_SPECTRUM_VERIFICATION,DISCOVERY_ONLY_TRANSITION_IDENTITY_AND_GF_PROVENANCE_REQUIRED
Si,4,4,0,0,0,4,H;K,REQUIRES_PER_SPECTRUM_VERIFICATION,DISCOVERY_ONLY_TRANSITION_IDENTITY_AND_GF_PROVENANCE_REQUIRED
Ti,2,2,0,0,0,2,H;K,REQUIRES_PER_SPECTRUM_VERIFICATION,DISCOVERY_ONLY_TRANSITION_IDENTITY_AND_GF_PROVENANCE_REQUIRED
V,1,1,0,0,0,1,H,REQUIRES_PER_SPECTRUM_VERIFICATION,DISCOVERY_ONLY_TRANSITION_IDENTITY_AND_GF_PROVENANCE_REQUIRED
Y,2,2,0,0,0,2,K,REQUIRES_PER_SPECTRUM_VERIFICATION,DISCOVERY_ONLY_TRANSITION_IDENTITY_AND_GF_PROVENANCE_REQUIRED
Yb,1,1,0,0,0,1,H,REQUIRES_PER_SPECTRUM_VERIFICATION,DISCOVERY_ONLY_TRANSITION_IDENTITY_AND_GF_PROVENANCE_REQUIRED
Zn,1,0,0,1,0,1,H,REQUIRES_PER_SPECTRUM_VERIFICATION,DISCOVERY_ONLY_TRANSITION_IDENTITY_AND_GF_PROVENANCE_REQUIRED
