species,element,ion,wavelength_air_A,wavelength_system,band,n_stars_used,n_stars_total,median_abundance_dex,source_table,doi,bibcode,excitation_potential_eV,lower_level,upper_level,log_gf_igrins,gf_source_igrins,hfs_isotopic_detail,canonical_wavelength_candidates,crossmatch_status,promotion_allowed
F,F,,22699.49,air (CDS label; paper convention),K,44,50,-0.205,table_f.dat,10.1051/0004-6361/202348462,2024A&A...684A..15N,,,,,,,,NO_CANONICAL_WAVELENGTH_CANDIDATE,False
F,F,,22714.59,air (CDS label; paper convention),K,29,50,-0.220,table_f.dat,10.1051/0004-6361/202348462,2024A&A...684A..15N,,,,,,,,NO_CANONICAL_WAVELENGTH_CANDIDATE,False
F,F,,22778.25,air (CDS label; paper convention),K,45,50,-0.180,table_f.dat,10.1051/0004-6361/202348462,2024A&A...684A..15N,,,,,,,,NO_CANONICAL_WAVELENGTH_CANDIDATE,False
F,F,,22826.86,air (CDS label; paper convention),K,36,50,-0.175,table_f.dat,10.1051/0004-6361/202348462,2024A&A...684A..15N,,,,,,,,NO_CANONICAL_WAVELENGTH_CANDIDATE,False
F,F,,22886.73,air (CDS label; paper convention),K,50,50,-0.250,table_f.dat,10.1051/0004-6361/202348462,2024A&A...684A..15N,,,,,,,,NO_CANONICAL_WAVELENGTH_CANDIDATE,False
F,F,,22957.94,air (CDS label; paper convention),K,50,50,-0.065,table_f.dat,10.1051/0004-6361/202348462,2024A&A...684A..15N,,,,,,,,NO_CANONICAL_WAVELENGTH_CANDIDATE,False
Na,Na,,16373.87,air (CDS label; paper convention),H,44,50,0.145,table_na.dat,10.1051/0004-6361/202348462,2024A&A...684A..15N,,,,,,,gf_174066,HOLD_TRANSITION_IDENTITY_INCOMPLETE,False
Na,Na,,16388.85,air (CDS label; paper convention),H,47,50,0.180,table_na.dat,10.1051/0004-6361/202348462,2024A&A...684A..15N,,,,,,,gf_174086,HOLD_TRANSITION_IDENTITY_INCOMPLETE,False
Na,Na,,22056.43,air (CDS label; paper convention),K,49,50,0.060,table_na.dat,10.1051/0004-6361/202348462,2024A&A...684A..15N,,,,,,,gf_178112,HOLD_TRANSITION_IDENTITY_INCOMPLETE,False
Na,Na,,22083.66,air (CDS label; paper convention),K,44,50,0.075,table_na.dat,10.1051/0004-6361/202348462,2024A&A...684A..15N,,,,,,,gf_178131,HOLD_TRANSITION_IDENTITY_INCOMPLETE,False
