species,wavelength_air_A,star,abundance_dex,used,source_table
F,22699.49,2M05484106-0602007,-0.39,True,table_f.dat
F,22699.49,2M05594446-7212111,,False,table_f.dat
F,22699.49,2M06035110-7456029,-0.22,True,table_f.dat
F,22699.49,2M06035214-7255079,-0.27,True,table_f.dat
F,22699.49,2M06052796-0553384,,False,table_f.dat
F,22699.49,2M06074096-0530332,-0.22,True,table_f.dat
F,22699.49,2M06124201-0025095,-0.17,True,table_f.dat
F,22699.49,2M06140107-0641072,-0.26,True,table_f.dat
F,22699.49,2M06143705-0551064,-0.26,True,table_f.dat
F,22699.49,2M06171159-7259319,,False,table_f.dat
F,22699.49,2M06223443-0443153,-0.22,True,table_f.dat
F,22699.49,2M06231693-0530385,-0.22,True,table_f.dat
F,22699.49,2M06520463-0047080,-0.29,True,table_f.dat
F,22699.49,2M06551808-0148080,-0.28,True,table_f.dat
F,22699.49,2M06574070-1231239,-0.20,True,table_f.dat
F,22699.49,2M10430394-4605354,-0.35,True,table_f.dat
F,22699.49,2M11042542-7318068,,False,table_f.dat
F,22699.49,2M12101600-4936072,-0.27,True,table_f.dat
F,22699.49,2M13403516-5040261,-0.30,True,table_f.dat
F,22699.49,2M14131192-4849280,-0.19,True,table_f.dat
F,22699.49,2M14240039-6252516,-0.17,True,table_f.dat
F,22699.49,2M14241044-6218367,-0.20,True,table_f.dat
F,22699.49,2M14260433-6219024,-0.20,True,table_f.dat
F,22699.49,2M14261117-6240220,-0.10,True,table_f.dat
F,22699.49,2M14275833-6147534,-0.14,True,table_f.dat
F,22699.49,2M14283733-6257279,-0.16,True,table_f.dat
F,22699.49,2M14291063-6317181,-0.24,True,table_f.dat
F,22699.49,2M14311520-6145468,-0.18,True,table_f.dat
F,22699.49,2M14322072-6215506,,False,table_f.dat
F,22699.49,2M14332169-6302108,-0.35,True,table_f.dat
F,22699.49,2M14332869-6211255,-0.22,True,table_f.dat
F,22699.49,2M14333081-6221450,-0.19,True,table_f.dat
