2M05484106-0602007  0.02  0.01  -0.22  -0.12  -0.14  0.01
2M05594446-7212111 -9.99  0.07  -0.09  -0.07  -9.99  0.07
2M06035110-7456029  0.15  0.16  -0.13  -0.02  -9.99  0.15
2M06035214-7255079  0.09  0.06  -0.11  -0.01  -9.99  0.08
2M06052796-0553384 -0.04 -0.06  -0.24  -0.22  -0.08 -0.05
2M06074096-0530332  0.13  0.15  -0.05   0.04  -9.99  0.14
2M06124201-0025095  0.02  0.25  -0.14  -9.99  -0.04  0.14
2M06140107-0641072  0.12  0.31  -0.03   0.03  -0.0   0.21
2M06143705-0551064  0.02  0.27  -0.11  -0.13  -0.03  0.14
2M06171159-7259319 -0.1   0.22  -0.22  -0.12  -0.05  0.06
2M06223443-0443153  0.12  0.16  -0.19  -9.99  -0.09  0.14
2M06231693-0530385  0.15  0.13  -0.28  -0.09  -0.17  0.14
2M06520463-0047080  0.15  0.14   0.02   0.06   0.03  0.15
2M06551808-0148080  0.06  0.06  -0.09  -0.17  -0.05  0.06
2M06574070-1231239  0.16  0.18   0.08   0.07   0.1   0.17
2M10430394-4605354  0.11  0.09   0.07   0.08   0.03  0.1
2M11042542-7318068 -9.99 -9.99  -0.13  -0.09  -0.13 -9.99
2M12101600-4936072 -0.17  0.07   0.1    0.09  -0.13 -0.05
2M13403516-5040261 -9.99  0.0   -0.09  -0.11  -0.06  0.0
2M14131192-4849280  0.13  0.18   0.03   0.15  -9.99  0.16
2M14240039-6252516  0.26  0.26   0.22   0.24  -9.99  0.26
2M14241044-6218367  0.18  0.2    0.2    0.18   0.2   0.19
2M14260433-6219024  0.03  0.17   0.29   0.14   0.21  0.1
2M14261117-6240220  0.11  0.18   0.19   0.19   0.08  0.15
2M14275833-6147534  0.19  0.19   0.25   0.14   0.23  0.19
2M14283733-6257279  0.14  0.18   0.2    0.16   0.18  0.16
2M14291063-6317181  0.02 -9.99   0.1    0.14  -0.04  0.02
2M14311520-6145468  0.15  0.19   0.14   0.12   0.08  0.17
2M14322072-6215506 -9.99 -0.03  -0.2   -0.18  -0.11 -0.03
2M14332169-6302108 -9.99  0.16  -0.04  -0.04  -0.02  0.16
2M14332869-6211255  0.26  0.33   0.17   0.14   0.08  0.29
2M14333081-6221450  0.08  0.14   0.14   0.15   0.07  0.11
2M14333688-6232028  0.2   0.21   0.23   0.21   0.27  0.21
2M14345114-6225509  0.24  0.25   0.36   0.33   0.32  0.24
2M14360142-6228561  0.16  0.1   -0.03  -0.01   0.07  0.13
2M14360935-6309399  0.33  0.3    0.35   0.31   0.26  0.31
2M14371958-6251344  0.05  0.11   0.01  -0.02  -0.02  0.08
2M14375085-6237526  0.18  0.28   0.22   0.17   0.17  0.23
2M15161949+0244516 -9.99  0.23  -0.07   0.02   0.16  0.23
2M17584888-2351011  0.37  0.44  -9.99   0.36   0.23  0.41
2M18103303-1626220  0.31  0.34   0.43   0.44   0.27  0.33
2M18142346-2136410  0.28  0.32   0.34   0.35   0.22  0.3
2M18191551-1726223  0.21  0.26   0.27   0.26   0.23  0.23
2M18522108-3022143  0.28  0.34   0.06  -0.0    0.1   0.31
HD132813            0.24 -9.99   0.04   0.03   0.1   0.24
HD175588            0.27  0.34   0.36  -9.99   0.3   0.3
HD89758            -0.01 -0.01  -0.19  -9.99   0.09 -0.01
HD224935            0.12  0.06   0.18   0.19  -9.99  0.09
HD101153            0.13  0.1    0.2   -9.99   0.22  0.12
HIP54396            0.15  0.14   0.16  -9.99   0.23  0.14
