2M05484106-0602007  -0.17  -0.12  -0.04   0.01   0.02  0.02 -0.01   0.0   -9.99   0.17  -9.99  -0.01
2M05594446-7212111  -0.08  -0.11   0.02   0.05  -0.0  -0.01 -0.01  -0.0   -9.99  -9.99  -9.99  -0.02
2M06035110-7456029  -0.11   0.01   0.14   0.16   0.06 -9.99  0.02   0.11   0.3    0.27   0.31   0.13
2M06035214-7255079  -0.08  -0.05   0.23   0.1    0.06  0.2   0.06   0.08   0.1   -9.99   0.26   0.1
2M06052796-0553384  -0.14  -0.12   0.03   0.1   -0.19  0.05  0.01  -0.02  -9.99   0.12  -9.99  -0.02
2M06074096-0530332  -0.0   -0.05   0.08   0.04  -0.1   0.08 -9.99   0.01   0.01  -0.06   0.27   0.03
2M06124201-0025095  -0.15  -0.13   0.04   0.06   0.08 -9.99  0.3    0.13   0.32   0.2   -9.99   0.09
2M06140107-0641072  -0.13   0.02   0.11   0.19   0.14 -9.99  0.22   0.08   0.27  -0.0    0.3    0.12
2M06143705-0551064  -0.11  -0.18   0.08   0.11  -0.11  0.1  -0.08  -0.02  -9.99  -0.05   0.25  -0.0
2M06171159-7259319   0.06  -0.14   0.14   0.2    0.13  0.06  0.11  -9.99  -9.99   0.24  -9.99   0.1
2M06223443-0443153  -0.22  -0.14   0.05   0.06   0.14  0.3   0.1    0.07   0.08   0.03  -9.99   0.05
2M06231693-0530385  -0.12  -0.12   0.04   0.01   0.01  0.0   0.11  -0.05   0.15  -0.02  -9.99   0.0
2M06520463-0047080  -0.2   -0.16   0.01   0.08  -0.06  0.04  0.04   0.01  -9.99   0.1   -9.99  -0.01
2M06551808-0148080  -0.13  -0.18   0.14   0.15  -0.02 -0.01 -0.01   0.09   0.18   0.08   0.2    0.04
2M06574070-1231239  -0.31  -0.17   0.06   0.08   0.02  0.17  0.03  -0.01  -9.99   0.24  -9.99   0.01
2M10430394-4605354  -0.09  -0.07   0.04   0.11   0.15 -9.99  0.0    0.03   0.14   0.23  -9.99   0.06
2M11042542-7318068  -0.03  -0.0    0.16   0.05  -0.09 -9.99 -0.08  -9.99  -9.99  -9.99  -9.99   0.0
2M12101600-4936072  -0.14  -0.14   0.13   0.1    0.03  0.09  0.07   0.08   0.07   0.07  -9.99   0.04
2M13403516-5040261  -0.2   -0.1   -0.06  -0.07  -0.08  0.16  0.09   0.02   0.09   0.09   0.1    0.0
2M14131192-4849280  -0.13   0.01   0.18   0.21  -0.01  0.26  0.08   0.08  -9.99  -9.99   0.11   0.09
2M14240039-6252516  -0.08   0.13   0.02   0.1    0.19  0.2   0.15   0.08   0.13  -9.99   0.17   0.11
2M14241044-6218367  -0.01   0.22   0.1    0.09   0.16  0.15  0.13   0.06   0.09   0.21   0.18   0.13
2M14260433-6219024  -0.22   0.05  -0.01  -9.99   0.04 -9.99  0.2   -0.06   0.12   0.31  -9.99   0.06
2M14261117-6240220  -0.11   0.02  -0.02   0.11  -0.01  0.26  0.16   0.04   0.09  -9.99  -9.99   0.06
2M14275833-6147534  -0.19   0.1    0.15   0.26   0.05  0.14  0.16   0.05   0.1    0.06   0.14   0.09
2M14283733-6257279  -0.13  -0.14   0.27   0.07  -0.01  0.31  0.15   0.02   0.07   0.34   0.22   0.11
2M14291063-6317181  -0.21  -0.05   0.15   0.17  -0.05  0.14  0.18   0.09   0.11   0.31   0.12   0.09
2M14311520-6145468  -0.2   -0.03   0.11   0.14   0.02  0.16  0.21   0.05   0.18  -9.99   0.16   0.08
2M14322072-6215506  -0.12  -0.04   0.08   0.08   0.0   0.2   0.04   0.03   0.11   0.12  -9.99   0.05
2M14332169-6302108  -0.11  -0.19   0.04   0.06  -0.04  0.14  0.05   0.07   0.14  -9.99  -9.99   0.02
2M14332869-6211255  -0.06   0.03   0.11   0.12   0.1   0.12  0.23   0.05  -9.99   0.19   0.1    0.1
2M14333081-6221450  -0.19  -0.03   0.16   0.22   0.0   0.18  0.1    0.02   0.13   0.2    0.13   0.08
2M14333688-6232028  -0.19  -0.01   0.07   0.18   0.05 -9.99  0.12   0.05   0.15  -9.99  -9.99   0.05
2M14345114-6225509  -0.08   0.17   0.12   0.24   0.24  0.25  0.19   0.12   0.18   0.31   0.14   0.17
2M14360142-6228561  -0.17  -0.17   0.12   0.01  -0.08  0.06 -9.99   0.1    0.08   0.08  -9.99   0.0
2M14360935-6309399  -0.18   0.06   0.04   0.2    0.1  -9.99  0.26   0.09   0.18  -9.99   0.19   0.11
2M14371958-6251344  -0.13  -0.01   0.03   0.09   0.05  0.16  0.11  -0.02   0.09   0.11   0.08   0.05
2M14375085-6237526   0.01   0.05   0.22   0.2    0.13  0.13  0.14   0.05  -9.99   0.27   0.06   0.13
2M15161949+0244516   0.04   0.08   0.09   0.03   0.09  0.14  0.09   0.1    0.14  -9.99  -9.99   0.09
2M17584888-2351011  -0.13   0.08   0.23  -9.99   0.06  0.18  0.23   0.1    0.18  -9.99   0.23   0.13
2M18103303-1626220  -0.26  -0.07   0.1    0.25  -0.0   0.19  0.15  -0.0    0.21   0.3    0.24   0.1
2M18142346-2136410  -0.19   0.01   0.21   0.33   0.14  0.17  0.19   0.06   0.2   -9.99  -9.99   0.13
2M18191551-1726223  -0.19   0.11   0.19   0.28   0.04  0.13  0.15   0.06   0.14  -9.99   0.2    0.11
2M18522108-3022143  -0.14  -0.04   0.2    0.23   0.12  0.24  0.11   0.15   0.23   0.16   0.3    0.14
HD132813            -0.3   -0.06   0.0    0.08  -0.06 -0.0   0.08   0.08   0.22   0.31   0.38   0.07
HD175588            -0.25  -0.08   0.01  -9.99  -0.08  0.15 -9.99   0.13   0.08   0.32   0.36   0.07
HD89758             -0.15  -0.05   0.06   0.07  -0.18  0.06  0.07   0.09   0.06   0.31   0.12   0.04
HD224935            -0.23  -0.04  -0.04  -0.09  -0.07  0.0   0.19   0.15   0.11   0.21   0.31   0.05
HD101153            -0.27   0.08  -0.05   0.08  -0.16 -0.13  0.17   0.15  -9.99   0.17   0.29   0.03
HIP54396            -0.26  -0.14  -0.02   0.11  -0.1  -0.1   0.13   0.08   0.16  -9.99   0.29   0.01
