2M05484106-0602007  0.07   0.08   0.02   0.06
2M05594446-7212111  0.15  -0.02  -9.99   0.06
2M06035110-7456029 -9.99   0.35  -9.99   0.35
2M06035214-7255079 -0.03  -0.04  -9.99  -0.04
2M06052796-0553384 -0.12  -0.18  -9.99  -0.15
2M06074096-0530332  0.13   0.04   0.04   0.07
2M06124201-0025095 -9.99   0.21   0.14   0.17
2M06140107-0641072  0.25   0.15   0.15   0.18
2M06143705-0551064  0.22   0.17   0.11   0.17
2M06171159-7259319 -9.99   0.2   -9.99   0.2
2M06223443-0443153  0.2    0.28   0.09   0.19
2M06231693-0530385  0.18   0.12  -9.99   0.15
2M06520463-0047080  0.13   0.12   0.05   0.1
2M06551808-0148080  0.18   0.08  -9.99   0.13
2M06574070-1231239  0.12   0.06  -0.03   0.05
2M10430394-4605354 -0.08  -0.08  -0.16  -0.1
2M11042542-7318068 -9.99   0.08   0.06   0.07
2M12101600-4936072  0.08   0.04  -9.99   0.06
2M13403516-5040261  0.01   0.0   -9.99   0.01
2M14131192-4849280  0.09   0.11  -0.01   0.06
2M14240039-6252516  0.13   0.21   0.07   0.14
2M14241044-6218367 -0.01  -0.01  -0.09  -0.03
2M14260433-6219024  0.11   0.2    0.04   0.12
2M14261117-6240220  0.08   0.18   0.03   0.09
2M14275833-6147534  0.14   0.29   0.05   0.16
2M14283733-6257279  0.04   0.08   0.02   0.05
2M14291063-6317181  0.04   0.1    0.02   0.05
2M14311520-6145468  0.09   0.08  -0.03   0.05
2M14322072-6215506 -0.17  -0.23  -9.99  -0.2
2M14332169-6302108  0.1    0.08  -0.02   0.05
2M14332869-6211255  0.01  -0.03  -0.08  -0.03
2M14333081-6221450  0.12  -9.99   0.03   0.07
2M14333688-6232028  0.13  -9.99  -9.99   0.13
2M14345114-6225509  0.08  -9.99   0.01   0.05
2M14360142-6228561  0.14   0.12   0.09   0.12
2M14360935-6309399  0.22  -9.99   0.16   0.19
2M14371958-6251344 -0.04  -0.06  -9.99  -0.05
2M14375085-6237526 -0.01   0.02  -0.1   -0.03
2M15161949+0244516  0.22   0.13  -9.99   0.18
2M17584888-2351011  0.14   0.16   0.08   0.13
2M18103303-1626220  0.33  -9.99   0.38   0.35
2M18142346-2136410  0.25  -9.99   0.21   0.23
2M18191551-1726223  0.18  -9.99   0.12   0.15
2M18522108-3022143  0.38   0.38   0.25   0.34
HD132813            0.23  -9.99  -9.99   0.23
HD175588            0.3   -9.99  -9.99   0.3
HD89758            -0.07  -0.12  -0.13  -0.11
HD224935            0.15  -9.99  -0.06   0.05
HD101153            0.15  -9.99   0.1    0.13
HIP54396            0.16  -9.99   0.14   0.15
