element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason,problem_class,problem_status,problem_tickets,problem_action,ep_eV,continuum_level,continuum_method,continuum_ref,nlte_delta_dex,nlte_source,ew_inversion,profile_sigma_A,profile_sigma_floor_A,profile_gamma_A,sigma_A,frac_rise_weaker,edge_distance_dex,red_chi2
Al,I,5107.5191,kpno_solar_atlas,235.69843190349312,"PROFILE-FIT (voigt); gap 0.877 A; model integrated; chi2_red=0.0169; sigma_fit=0.1471 A (init 0.0293, floor 0.0043); ew_err=17.53 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno · lm0508",,-4.335853306206242,,False,"FEATURE-VERIFICATION: GF-GHOST: observed depth 0.376 vs predicted 0.064 (x5.9) at the correct position — the spectrum and the line parameters disagree; gf or identification is suspect, not the measurement",,,,,3.1427,1.0,"pre-normalised: solar_kpno ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.14712039876171837,0.004337927399971122,2.803289593334855e-11,,,,0.01690390642732022
Al,I,5557.062,kpno_solar_atlas,20.550662936008464,"PROFILE-FIT (voigt); gap 0.838 A; model integrated; chi2_red=0.0001656; sigma_fit=0.0047 A (init 0.0319, floor 0.0047); ew_err=23.43 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno · lm0552",,-5.432019406046605,,True,,,,,,3.1427,1.0,"pre-normalised: solar_kpno ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.004719733992407195,0.004719733992407062,0.10538355004859343,,,,0.00016561330231240674
Al,I,5557.9469,kpno_solar_atlas,71.54318968967377,"PROFILE-FIT (voigt); gap 0.035 A; model integrated; chi2_red=0.0002536; sigma_fit=0.0592 A (init 0.0319, floor 0.0047); ew_err=2.99 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno · lm0552",,-4.890346094381529,,False,"FEATURE-VERIFICATION: GF-GHOST: observed depth 0.359 vs predicted 0.056 (x6.4) at the correct position — the spectrum and the line parameters disagree; gf or identification is suspect, not the measurement",,,,,3.1427,1.0,"pre-normalised: solar_kpno ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.05921114561830927,0.004720485557282509,0.015926588371605772,,,,0.00025361934617911046
Al,I,6696.0137,kpno_solar_atlas,53.45898764088195,"PROFILE-FIT (voigt); gap 0.301 A; model integrated; chi2_red=0.001046; sigma_fit=0.0057 A (init 0.0384, floor 0.0057); ew_err=3.31 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno · lm0668",,-5.097795603336911,,True,,,,,,3.1427,1.0,"pre-normalised: solar_kpno ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.0056870705640173595,0.0056870705191904266,0.07253509901492522,,,,0.0010461245412973507
Al,I,6696.788,kpno_solar_atlas,34.880838951262696,"PROFILE-FIT (voigt); gap 0.473 A; model integrated; chi2_red=0.0007021; sigma_fit=0.2889 A (init 0.0384, floor 0.0057); ew_err=77.55 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno · lm0668",,-5.2832796287037835,,False,"FEATURE-VERIFICATION: GF-GHOST-ABSENT: no absorption at the catalogued position (depth 0.017, predicted 0.063) — the line is absent from the spectrum or misplaced in the list",,,,,4.0216,1.0,"pre-normalised: solar_kpno ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.28894132999623207,0.0056877281490729644,0.3999999999652408,,,,0.0007021095895327028
Al,I,6698.6715,kpno_solar_atlas,28.502923904240728,"PROFILE-FIT (voigt); gap 0.469 A; model integrated; chi2_red=0.0003518; sigma_fit=0.0141 A (init 0.0384, floor 0.0057); ew_err=1.71 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno · lm0668",,-5.3710992673428,,True,,,,,,3.1427,1.0,"pre-normalised: solar_kpno ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.01407457816311229,0.005689327846714398,0.05976446993409741,,,,0.0003517603288678592
Al,I,6783.638,kpno_solar_atlas,37.26633147325066,"PROFILE-FIT (voigt); gap 0.065 A; model integrated; chi2_red=0.0003047; sigma_fit=0.0058 A (init 0.0389, floor 0.0058); ew_err=6.33 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno · lm0676",,-5.260146021737735,,True,,,,,,4.0215,1.0,"pre-normalised: solar_kpno ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.0057614917488385525,0.005761491748838552,0.26895419707005763,,,,0.0003047259476297528
Al,I,6784.256,kpno_solar_atlas,39.21524622979199,"PROFILE-FIT (voigt); gap 0.553 A; model integrated; chi2_red=0.0003262; sigma_fit=0.4000 A (init 0.0389, floor 0.0058); ew_err=13.03 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno · lm0676",,-5.2380472811510765,,False,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.554 A from the catalogued position (depth 0.095 vs 0.041 at the line) — the EW is an upper bound on a blend, not this line",,,,,4.0216,1.0,"pre-normalised: solar_kpno ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.39999990592690793,0.005762016629721168,0.23314683532613664,,,,0.000326221192518193
Al,I,6905.646,kpno_solar_atlas,101.42645952158625,"PROFILE-FIT (voigt); gap 0.641 A; model integrated; chi2_red=0.01685; sigma_fit=0.4000 A (init 0.0396, floor 0.0059); ew_err=257.55 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno · lm0688",,-4.833053045709006,,False,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.599 A from the catalogued position (depth 0.922 vs 0.037 at the line) — the EW is an upper bound on a blend, not this line",,,,,4.0215,1.0,"pre-normalised: solar_kpno ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.3999999999999878,0.005865115805029683,0.15663356203391157,,,,0.016848832032292302
Al,I,6906.287,kpno_solar_atlas,36.26943971488455,"PROFILE-FIT (voigt); gap 0.641 A; model integrated; chi2_red=0.0001324; sigma_fit=0.1856 A (init 0.0396, floor 0.0059); ew_err=51.73 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno · lm0688",,-5.279703775363687,,False,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.235 A from the catalogued position (depth 0.063 vs 0.059 at the line) — the EW is an upper bound on a blend, not this line",,,,,4.0216,1.0,"pre-normalised: solar_kpno ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.18558928286470844,0.0058656602203140795,0.3055207471345872,,,,0.00013240455971330538
