element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason
Fe,I,9199.4454,kpno_solar_atlas,81.90784677742413,"PROFILE-FIT (voigt), model integrated; chi2_red=0.001598; sigma_fit=0.0078 A (init 0.0527, floor 0.0078); ew_err=9.67 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0916,lm0920",,-5.050436136957049,,False,"FIT-PINNED: fitted sigma 0.0078 A sits on the instrumental floor 0.0078 A. No observed feature can be narrower than the instrument profile, so the optimiser hit a bound rather than a minimum and the integrated EW is not trustworthy."
Fe,I,9203.1649,kpno_solar_atlas,30.167318267407207,"PROFILE-FIT (voigt), model integrated; chi2_red=0.0001276; sigma_fit=0.1829 A (init 0.0528, floor 0.0078); ew_err=4.69 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0920",,-5.484400498520154,,True,
Fe,I,9210.024,kpno_solar_atlas,79.52086732116511,"PROFILE-FIT (voigt), model integrated; chi2_red=0.0004362; sigma_fit=0.0380 A (init 0.0528, floor 0.0078); ew_err=4.60 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0920",,-5.063779653713018,,True,
Fe,I,9212.981,kpno_solar_atlas,246.17487242081526,"PROFILE-FIT (voigt), model integrated; chi2_red=0.0006145; sigma_fit=0.0565 A (init 0.0528, floor 0.0078); ew_err=5.82 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0920",,-4.57315645399476,,False,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.170 A from the catalogued position (depth 0.774 vs 0.352 at the line) — the EW is an upper bound on a blend, not this line"
Fe,I,9214.4993,kpno_solar_atlas,278.77796460166957,"PROFILE-FIT (voigt), model integrated; chi2_red=0.001214; sigma_fit=0.0078 A (init 0.0528, floor 0.0078); ew_err=12.29 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0920",,-4.519213298463959,,False,"FIT-PINNED: fitted sigma 0.0078 A sits on the instrumental floor 0.0078 A. No observed feature can be narrower than the instrument profile, so the optimiser hit a bound rather than a minimum and the integrated EW is not trustworthy."
Fe,I,9214.9758,kpno_solar_atlas,276.6725662412977,"PROFILE-FIT (voigt), model integrated; chi2_red=0.008108; sigma_fit=0.0078 A (init 0.0528, floor 0.0078); ew_err=19.23 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0920",,-4.522528100679239,,False,"FIT-PINNED: fitted sigma 0.0078 A sits on the instrumental floor 0.0078 A. No observed feature can be narrower than the instrument profile, so the optimiser hit a bound rather than a minimum and the integrated EW is not trustworthy."
Fe,I,9217.5638,kpno_solar_atlas,378.0421476072018,"PROFILE-FIT (voigt), model integrated; chi2_red=0.009151; sigma_fit=0.1770 A (init 0.0529, floor 0.0078); ew_err=57.75 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0920",,-4.387075930617517,,False,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.358 A from the catalogued position (depth 0.763 vs 0.347 at the line) — the EW is an upper bound on a blend, not this line"
Fe,I,9233.1905,kpno_solar_atlas,139.0925474955666,"PROFILE-FIT (voigt), model integrated; chi2_red=0.009841; sigma_fit=0.3276 A (init 0.0529, floor 0.0078); ew_err=17.57 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0920",,-4.8220479347061485,,False,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.459 A from the catalogued position (depth 0.509 vs 0.107 at the line) — the EW is an upper bound on a blend, not this line"
Fe,I,9242.3667,kpno_solar_atlas,119.77895857067092,"PROFILE-FIT (voigt), model integrated; chi2_red=0.007101; sigma_fit=0.4000 A (init 0.0530, floor 0.0078); ew_err=84.85 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0920,lm0924",,-4.8874026628350355,,False,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.521 A from the catalogued position (depth 0.382 vs 0.126 at the line) — the EW is an upper bound on a blend, not this line"
Fe,I,9246.5571,kpno_solar_atlas,249.66448852732387,"PROFILE-FIT (voigt), model integrated; chi2_red=0.004996; sigma_fit=0.0079 A (init 0.0530, floor 0.0079); ew_err=13.02 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0924",,-4.568623281799102,,False,"FIT-PINNED: fitted sigma 0.0079 A sits on the instrumental floor 0.0079 A. No observed feature can be narrower than the instrument profile, so the optimiser hit a bound rather than a minimum and the integrated EW is not trustworthy."
Fe,I,9258.2671,kpno_solar_atlas,114.12664490532836,"PROFILE-FIT (voigt), model integrated; chi2_red=0.0003124; sigma_fit=0.0079 A (init 0.0531, floor 0.0079); ew_err=29.19 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0924",,-4.909142655909947,,False,"FIT-PINNED: fitted sigma 0.0079 A sits on the instrumental floor 0.0079 A. No observed feature can be narrower than the instrument profile, so the optimiser hit a bound rather than a minimum and the integrated EW is not trustworthy."
Fe,I,9259.0054,kpno_solar_atlas,131.12466407594925,"PROFILE-FIT (voigt), model integrated; chi2_red=0.002122; sigma_fit=0.0079 A (init 0.0531, floor 0.0079); ew_err=19.87 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0924",,-4.848879948786867,,False,"FIT-PINNED: fitted sigma 0.0079 A sits on the instrumental floor 0.0079 A. No observed feature can be narrower than the instrument profile, so the optimiser hit a bound rather than a minimum and the integrated EW is not trustworthy."
Fe,I,9602.1301,kpno_solar_atlas,48.60247422638146,"PROFILE-FIT (voigt), model integrated; chi2_red=0.0003374; sigma_fit=0.4000 A (init 0.0551, floor 0.0082); ew_err=235.73 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0956,lm0960",,-5.295709207327397,,True,
Fe,I,9604.3247,kpno_solar_atlas,408.61829777388556,"PROFILE-FIT (voigt), model integrated; chi2_red=0.008253; sigma_fit=0.0082 A (init 0.0551, floor 0.0082); ew_err=129.64 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0960",,-4.371149023849312,,False,"FIT-PINNED: fitted sigma 0.0082 A sits on the instrumental floor 0.0082 A. No observed feature can be narrower than the instrument profile, so the optimiser hit a bound rather than a minimum and the integrated EW is not trustworthy."
Fe,I,9624.9624,kpno_solar_atlas,342.79917312154396,"PROFILE-FIT (voigt), model integrated; chi2_red=0.04708; sigma_fit=0.4000 A (init 0.0552, floor 0.0082); ew_err=360.84 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0960",,-4.448359275933872,,False,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.490 A from the catalogued position (depth 0.863 vs 0.098 at the line) — the EW is an upper bound on a blend, not this line"
