wave,symptom,fault_domain,mechanism,discriminator,fix
9199.4454,FIT-PINNED: fitted sigma 0.0078 A sits on the instrumental floor 0.0078 A. No observed fea,UNKNOWN,,,
9212.981,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.170 A from the catalogued p,ATOMIC-DATA,a real solar line missing from our list dominates the window,the dominant feature at 9212.811 (depth 0.777) has NO catalogue entry within 0.05 A — absence of a neighbour in our list is not absence in the spectrum,extend the IR line list from a graded source before measuring this region
9214.4993,FIT-PINNED: fitted sigma 0.0078 A sits on the instrumental floor 0.0078 A. No observed fea,UNKNOWN,,,
9214.9758,FIT-PINNED: fitted sigma 0.0078 A sits on the instrumental floor 0.0078 A. No observed fea,UNKNOWN,,,
9217.5638,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.358 A from the catalogued p,ATOMIC-DATA,a real solar line missing from our list dominates the window,the dominant feature at 9217.206 (depth 0.768) has NO catalogue entry within 0.05 A — absence of a neighbour in our list is not absence in the spectrum,extend the IR line list from a graded source before measuring this region
9233.1905,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.459 A from the catalogued p,ATOMIC-DATA,a real solar line missing from our list dominates the window,the dominant feature at 9232.731 (depth 0.523) has NO catalogue entry within 0.05 A — absence of a neighbour in our list is not absence in the spectrum,extend the IR line list from a graded source before measuring this region
9242.3667,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.521 A from the catalogued p,ATOMIC-DATA,a real solar line missing from our list dominates the window,the dominant feature at 9242.888 (depth 0.388) has NO catalogue entry within 0.05 A — absence of a neighbour in our list is not absence in the spectrum,extend the IR line list from a graded source before measuring this region
9246.5571,FIT-PINNED: fitted sigma 0.0079 A sits on the instrumental floor 0.0079 A. No observed fea,UNKNOWN,,,
9258.2671,FIT-PINNED: fitted sigma 0.0079 A sits on the instrumental floor 0.0079 A. No observed fea,UNKNOWN,,,
9259.0054,FIT-PINNED: fitted sigma 0.0079 A sits on the instrumental floor 0.0079 A. No observed fea,UNKNOWN,,,
9604.3247,FIT-PINNED: fitted sigma 0.0082 A sits on the instrumental floor 0.0082 A. No observed fea,UNKNOWN,,,
9624.9624,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.490 A from the catalogued p,ATOMIC-DATA,a real solar line missing from our list dominates the window,the dominant feature at 9624.473 (depth 0.869) has NO catalogue entry within 0.05 A — absence of a neighbour in our list is not absence in the spectrum,extend the IR line list from a graded source before measuring this region
9625.6509,FEATURE-VERIFICATION: GF-GHOST: observed depth 0.535 vs predicted 0.109 (x4.9) at the corr,ATOMIC-DATA,"log gf too weak, or an uncatalogued blend adds depth at this position","0.587 observed vs 0.109 predicted — the line is present and correctly placed, so this is not a positional error. Deeper than predicted has TWO explanations and this test does not separate them; a synthesis fit would","re-adjudicate log gf against NIST; if it holds, look for an uncatalogued blend by fitting the profile"
9626.4962,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.179 A from the catalogued p,ATOMIC-DATA,a real solar line missing from our list dominates the window,the dominant feature at 9626.317 (depth 0.999) has NO catalogue entry within 0.05 A — absence of a neighbour in our list is not absence in the spectrum,extend the IR line list from a graded source before measuring this region
9626.8234,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.506 A from the catalogued p,ATOMIC-DATA,a real solar line missing from our list dominates the window,the dominant feature at 9626.317 (depth 0.999) has NO catalogue entry within 0.05 A — absence of a neighbour in our list is not absence in the spectrum,extend the IR line list from a graded source before measuring this region
9634.1831,FIT-PINNED: fitted sigma 0.0082 A sits on the instrumental floor 0.0082 A. No observed fea,UNKNOWN,,,
9639.3284,FEATURE-VERIFICATION: GF-GHOST-ABSENT: no absorption at the catalogued position (depth 0.0,ATOMIC-DATA,wavelength error in our line list,"a feature of depth 0.100 (predicted 0.119) sits at 9639.922, +0.594 A away — the line is REAL, our position is wrong",re-source this line's wavelength from a graded reference (NIST)
9653.1147,FIT-PINNED: fitted sigma 0.0082 A sits on the instrumental floor 0.0082 A. No observed fea,UNKNOWN,,,
9657.2326,REW -4.556 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditio,METHOD,EW->abundance inversion runs on the flat part of the curve of growth,REW above -4.9; the line itself is real and well measured,"measure by synthesis, which uses the profile shape rather than inverting EW"
9659.0754,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.589 A from the catalogued p,ATOMIC-DATA,a real solar line missing from our list dominates the window,the dominant feature at 9659.664 (depth 0.630) has NO catalogue entry within 0.05 A — absence of a neighbour in our list is not absence in the spectrum,extend the IR line list from a graded source before measuring this region
9699.7719,FIT-PINNED: fitted sigma 0.0082 A sits on the instrumental floor 0.0082 A. No observed fea,UNKNOWN,,,
9723.132,FIT-PINNED: fitted sigma 0.0083 A sits on the instrumental floor 0.0083 A. No observed fea,UNKNOWN,,,
9738.5725,REW -4.683 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditio,METHOD,EW->abundance inversion runs on the flat part of the curve of growth,REW above -4.9; the line itself is real and well measured,"measure by synthesis, which uses the profile shape rather than inverting EW"
9738.8998,FIT-PINNED: fitted sigma 0.0083 A sits on the instrumental floor 0.0083 A. No observed fea,UNKNOWN,,,
9747.3175,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.461 A from the catalogued p,ATOMIC-DATA,a real solar line missing from our list dominates the window,the dominant feature at 9747.779 (depth 0.155) has NO catalogue entry within 0.05 A — absence of a neighbour in our list is not absence in the spectrum,extend the IR line list from a graded source before measuring this region
9753.0906,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.596 A from the catalogued p,ATOMIC-DATA,a real solar line missing from our list dominates the window,the dominant feature at 9753.686 (depth 0.558) has NO catalogue entry within 0.05 A — absence of a neighbour in our list is not absence in the spectrum,extend the IR line list from a graded source before measuring this region
9763.3796,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.594 A from the catalogued p,ATOMIC-DATA,a real solar line missing from our list dominates the window,the dominant feature at 9762.786 (depth 0.907) has NO catalogue entry within 0.05 A — absence of a neighbour in our list is not absence in the spectrum,extend the IR line list from a graded source before measuring this region
