element,ion,wavelength_air_A,instrument,instrument_provenance,ew_mA,ew_err_mA,profile_type,chi2,blend_flag,notes
V,I,3924.35203,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),47.09,17.47,gaussian,0.0802,False,
Zr,I,4028.95,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),12.51,16.65,gaussian,0.1357,False,
Mn,I,4036.22158,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),14.28,19.97,gaussian,0.0738,False,
Cr,I,4041.79714,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),186.02,101.62,gaussian,0.0637,False,
Fe,I,4065.38062,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),73.59,23.3,gaussian,0.1255,False,
Fe,I,4078.81673,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),14.85,17.52,gaussian,0.1469,False,
Ca,I,4089.3182,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),50.63,20.66,gaussian,0.0545,False,
Fe,I,4108.90658,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),62.01,19.64,gaussian,0.0573,False,
Fe,I,4113.09625,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),287.79,162.58,gaussian,0.0592,False,
Fe,I,4232.72605,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),54.12,27.12,gaussian,0.1011,False,
Cr,I,4293.5427,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),15.74,32.56,gaussian,0.1413,False,
Y,I,4348.78596,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),37.02,20.65,gaussian,0.0576,False,
Fe,I,4348.93654,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),37.44,20.43,gaussian,0.0577,False,
Cr,I,4394.17595,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),260.8,154.22,gaussian,0.056,False,
Cr,I,4425.12708,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),254.09,24.69,voigt,0.0299,False,
Fe,I,4438.62815,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),146.62,37.36,voigt,0.0241,False,
Fe,I,4445.47061,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),39.13,21.62,gaussian,0.0696,False,
Si,I,4448.79175,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),65.86,58.68,gaussian,0.0588,False,
Ti,I,4449.1425,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),109.02,24.31,voigt,0.0479,False,
