element,ion,wave_A,teff_K,logg,feh,delta_nlte
Al,1,6696.023,5772,4.44,0.0,-0.0275
Al,1,6698.673,5772,4.44,0.0,-0.0171
Al,1,6696.023,5100,4.44,0.0,-0.0394
Al,1,6698.673,5100,4.44,0.0,-0.0264
Al,1,6696.023,6200,4.44,0.0,-0.0096
Al,1,6698.673,6200,4.44,0.0,-0.0061
Al,1,6696.023,5772,4.0,0.0,-0.0361
Al,1,6698.673,5772,4.0,0.0,-0.0255
Al,1,6696.023,5772,4.7,0.0,-0.023
Al,1,6698.673,5772,4.7,0.0,-0.0173
Al,1,6696.023,5772,4.44,-0.3,-0.0275
Al,1,6698.673,5772,4.44,-0.3,-0.0171
Al,1,6696.023,5772,4.44,0.3,-0.0275
Al,1,6698.673,5772,4.44,0.3,-0.0171
Al,1,6696.023,5100,4.5,0.4,-0.0378
Al,1,6698.673,5100,4.5,0.4,-0.0254
Al,1,6696.023,6000,4.3,-0.2,-0.0221
Al,1,6698.673,6000,4.3,-0.2,-0.0157
Al,1,6696.023,5100,4.44,0.4,-0.0394
Al,1,6698.673,5100,4.44,0.4,-0.0264
Al,1,6696.023,5772,4.44,0.4,-0.0275
Al,1,6698.673,5772,4.44,0.4,-0.0171
