element,wave_A,teff_K,logg,feh,delta_nlte
Ca,4578.56,5000,3.5,-0.5,0.024
Ca,5867.57,5000,3.5,-0.5,0.015
Ca,6122.22,5000,3.5,-0.5,-0.004
Ca,6166.44,5000,3.5,-0.5,0.0
Ca,6399.753,5000,3.5,-0.5,
Ca,6424.585,5000,3.5,-0.5,0.07
Ca,6439.084,5000,3.5,-0.5,-0.131
Ca,6449.82,5000,3.5,-0.5,0.006
Ca,6745.23,5000,3.5,-0.5,
Ca,4578.56,5000,3.5,0.0,0.026
Ca,5867.57,5000,3.5,0.0,-0.003
Ca,6122.22,5000,3.5,0.0,0.023
Ca,6166.44,5000,3.5,0.0,0.0
Ca,6399.753,5000,3.5,0.0,
Ca,6424.585,5000,3.5,0.0,0.054
Ca,6439.084,5000,3.5,0.0,-0.06
Ca,6449.82,5000,3.5,0.0,0.009
Ca,6745.23,5000,3.5,0.0,0.019
Ca,4578.56,5000,3.5,0.3,0.024
Ca,5867.57,5000,3.5,0.3,-0.006
Ca,6122.22,5000,3.5,0.3,0.025
Ca,6166.44,5000,3.5,0.3,0.0
Ca,6399.753,5000,3.5,0.3,0.039
Ca,6424.585,5000,3.5,0.3,0.043
Ca,6439.084,5000,3.5,0.3,-0.031
Ca,6449.82,5000,3.5,0.3,0.01
Ca,6745.23,5000,3.5,0.3,0.016
Ca,4578.56,5000,4.0,-0.5,0.003
Ca,5867.57,5000,4.0,-0.5,0.004
Ca,6122.22,5000,4.0,-0.5,-0.004
Ca,6166.44,5000,4.0,-0.5,0.0
Ca,6399.753,5000,4.0,-0.5,
Ca,6424.585,5000,4.0,-0.5,0.048
Ca,6439.084,5000,4.0,-0.5,-0.091
Ca,6449.82,5000,4.0,-0.5,0.004
Ca,6745.23,5000,4.0,-0.5,
Ca,4578.56,5000,4.0,0.0,0.013
Ca,5867.57,5000,4.0,0.0,-0.007
Ca,6122.22,5000,4.0,0.0,0.016
Ca,6166.44,5000,4.0,0.0,0.0
Ca,6399.753,5000,4.0,0.0,
Ca,6424.585,5000,4.0,0.0,0.038
Ca,6439.084,5000,4.0,0.0,-0.04
Ca,6449.82,5000,4.0,0.0,0.005
Ca,6745.23,5000,4.0,0.0,0.013
Ca,4578.56,5000,4.0,0.3,0.014
Ca,5867.57,5000,4.0,0.3,-0.007
Ca,6122.22,5000,4.0,0.3,0.018
Ca,6166.44,5000,4.0,0.3,0.0
Ca,6399.753,5000,4.0,0.3,0.029
Ca,6424.585,5000,4.0,0.3,0.03
Ca,6439.084,5000,4.0,0.3,-0.022
Ca,6449.82,5000,4.0,0.3,0.006
Ca,6745.23,5000,4.0,0.3,0.011
Ca,4578.56,5000,4.4,-0.5,-0.007
Ca,5867.57,5000,4.4,-0.5,-0.006
Ca,6122.22,5000,4.4,-0.5,-0.009
Ca,6166.44,5000,4.4,-0.5,0.0
Ca,6399.753,5000,4.4,-0.5,
Ca,6424.585,5000,4.4,-0.5,0.032
Ca,6439.084,5000,4.4,-0.5,-0.069
Ca,6449.82,5000,4.4,-0.5,0.002
Ca,6745.23,5000,4.4,-0.5,
Ca,4578.56,5000,4.4,0.0,0.005
Ca,5867.57,5000,4.4,0.0,-0.011
Ca,6122.22,5000,4.4,0.0,0.008
Ca,6166.44,5000,4.4,0.0,0.0
Ca,6399.753,5000,4.4,0.0,
Ca,6424.585,5000,4.4,0.0,0.026
Ca,6439.084,5000,4.4,0.0,-0.032
Ca,6449.82,5000,4.4,0.0,0.003
Ca,6745.23,5000,4.4,0.0,0.009
Ca,4578.56,5000,4.4,0.3,0.009
Ca,5867.57,5000,4.4,0.3,-0.009
Ca,6122.22,5000,4.4,0.3,0.011
Ca,6166.44,5000,4.4,0.3,0.0
Ca,6399.753,5000,4.4,0.3,0.022
Ca,6424.585,5000,4.4,0.3,0.021
Ca,6439.084,5000,4.4,0.3,-0.017
Ca,6449.82,5000,4.4,0.3,0.003
Ca,6745.23,5000,4.4,0.3,0.008
Ca,4578.56,5000,4.5,-0.5,-0.008
Ca,5867.57,5000,4.5,-0.5,-0.007
Ca,6122.22,5000,4.5,-0.5,-0.01
Ca,6166.44,5000,4.5,-0.5,0.0
Ca,6399.753,5000,4.5,-0.5,
Ca,6424.585,5000,4.5,-0.5,0.029
Ca,6439.084,5000,4.5,-0.5,-0.065
Ca,6449.82,5000,4.5,-0.5,0.002
Ca,6745.23,5000,4.5,-0.5,
Ca,4578.56,5000,4.5,0.0,0.004
Ca,5867.57,5000,4.5,0.0,-0.011
Ca,6122.22,5000,4.5,0.0,0.006
Ca,6166.44,5000,4.5,0.0,0.0
Ca,6399.753,5000,4.5,0.0,
Ca,6424.585,5000,4.5,0.0,0.024
Ca,6439.084,5000,4.5,0.0,-0.03
Ca,6449.82,5000,4.5,0.0,0.003
Ca,6745.23,5000,4.5,0.0,0.008
Ca,4578.56,5000,4.5,0.3,0.007
Ca,5867.57,5000,4.5,0.3,-0.009
Ca,6122.22,5000,4.5,0.3,0.009
Ca,6166.44,5000,4.5,0.3,0.0
Ca,6399.753,5000,4.5,0.3,0.02
Ca,6424.585,5000,4.5,0.3,0.019
Ca,6439.084,5000,4.5,0.3,-0.017
Ca,6449.82,5000,4.5,0.3,0.003
Ca,6745.23,5000,4.5,0.3,0.007
Ca,4578.56,5500,3.5,-0.5,0.07
Ca,5867.57,5500,3.5,-0.5,0.046
Ca,6122.22,5500,3.5,-0.5,-0.062
Ca,6166.44,5500,3.5,-0.5,0.0
Ca,6399.753,5500,3.5,-0.5,
Ca,6424.585,5500,3.5,-0.5,
Ca,6439.084,5500,3.5,-0.5,-0.245
Ca,6449.82,5500,3.5,-0.5,0.007
Ca,6745.23,5500,3.5,-0.5,
Ca,4578.56,5500,3.5,0.0,0.044
Ca,5867.57,5500,3.5,0.0,0.033
Ca,6122.22,5500,3.5,0.0,-0.015
Ca,6166.44,5500,3.5,0.0,0.0
Ca,6399.753,5500,3.5,0.0,
Ca,6424.585,5500,3.5,0.0,0.081
Ca,6439.084,5500,3.5,0.0,-0.149
Ca,6449.82,5500,3.5,0.0,0.013
Ca,6745.23,5500,3.5,0.0,0.03
Ca,4578.56,5500,3.5,0.3,0.034
Ca,5867.57,5500,3.5,0.3,0.021
Ca,6122.22,5500,3.5,0.3,0.001
Ca,6166.44,5500,3.5,0.3,0.0
Ca,6399.753,5500,3.5,0.3,0.061
Ca,6424.585,5500,3.5,0.3,0.066
Ca,6439.084,5500,3.5,0.3,-0.1
