element,wave_A,teff_K,logg,feh,delta_nlte
Cr,4041.79,5000,3.5,-0.5,0.024
Cr,4293.545,5000,3.5,-0.5,0.106
Cr,4425.13,5000,3.5,-0.5,0.105
Cr,4473.78,5000,3.5,-0.5,0.089
Cr,4575.12,5000,3.5,-0.5,0.137
Cr,4617.378,5000,3.5,-0.5,0.069
Cr,4700.611,5000,3.5,-0.5,0.102
Cr,4745.31,5000,3.5,-0.5,0.119
Cr,4777.57,5000,3.5,-0.5,0.086
Cr,4964.93,5000,3.5,-0.5,0.108
Cr,4992.592,5000,3.5,-0.5,
Cr,5055.598,5000,3.5,-0.5,0.101
Cr,5214.13,5000,3.5,-0.5,0.117
Cr,5215.29,5000,3.5,-0.5,0.116
Cr,5220.91,5000,3.5,-0.5,0.118
Cr,5223.879,5000,3.5,-0.5,0.093
Cr,5238.97,5000,3.5,-0.5,0.086
Cr,5241.46,5000,3.5,-0.5,0.116
Cr,5243.4,5000,3.5,-0.5,0.097
Cr,5255.117,5000,3.5,-0.5,0.107
Cr,4041.79,5000,3.5,0.0,0.023
Cr,4293.545,5000,3.5,0.0,0.066
Cr,4425.13,5000,3.5,0.0,0.062
Cr,4473.78,5000,3.5,0.0,0.034
Cr,4575.12,5000,3.5,0.0,0.082
Cr,4617.378,5000,3.5,0.0,0.044
Cr,4700.611,5000,3.5,0.0,0.052
Cr,4745.31,5000,3.5,0.0,0.067
Cr,4777.57,5000,3.5,0.0,0.05
Cr,4964.93,5000,3.5,0.0,0.079
Cr,4992.592,5000,3.5,0.0,0.08
Cr,5055.598,5000,3.5,0.0,0.071
Cr,5214.13,5000,3.5,0.0,0.055
Cr,5215.29,5000,3.5,0.0,0.062
Cr,5220.91,5000,3.5,0.0,0.064
Cr,5223.879,5000,3.5,0.0,0.061
Cr,5238.97,5000,3.5,0.0,0.037
Cr,5241.46,5000,3.5,0.0,0.075
Cr,5243.4,5000,3.5,0.0,0.062
Cr,5255.117,5000,3.5,0.0,0.07
Cr,4041.79,5000,3.5,0.3,0.019
Cr,4293.545,5000,3.5,0.3,0.047
Cr,4425.13,5000,3.5,0.3,0.043
Cr,4473.78,5000,3.5,0.3,0.014
Cr,4575.12,5000,3.5,0.3,0.059
Cr,4617.378,5000,3.5,0.3,0.032
Cr,4700.611,5000,3.5,0.3,0.035
Cr,4745.31,5000,3.5,0.3,0.047
Cr,4777.57,5000,3.5,0.3,0.034
