element,ion,wave_A,teff_K,logg,feh,delta_nlte
Fe,I,3791.73,5000,4.0,-0.2,0.004
Fe,I,3811.8,5000,4.0,-0.2,0.003
Fe,I,3830.85,5000,4.0,-0.2,0.005
Fe,I,3843.72,5000,4.0,-0.2,0.003
Fe,I,3873.76,5000,4.0,-0.2,0.003
Fe,I,3876.67,5000,4.0,-0.2,0.002
Fe,I,3885.93,5000,4.0,-0.2,0.003
Fe,I,3892.9,5000,4.0,-0.2,0.004
Fe,I,3893.39,5000,4.0,-0.2,0.003
Fe,I,3900.52,5000,4.0,-0.2,0.003
Fe,I,3791.73,5000,4.0,0.0,0.003
Fe,I,3811.8,5000,4.0,0.0,0.003
Fe,I,3830.85,5000,4.0,0.0,0.004
Fe,I,3843.72,5000,4.0,0.0,0.003
Fe,I,3873.76,5000,4.0,0.0,0.002
Fe,I,3876.67,5000,4.0,0.0,0.002
Fe,I,3885.93,5000,4.0,0.0,0.002
Fe,I,3892.9,5000,4.0,0.0,0.003
Fe,I,3893.39,5000,4.0,0.0,0.002
Fe,I,3900.52,5000,4.0,0.0,0.003
Fe,I,3791.73,5000,4.0,0.2,0.002
Fe,I,3811.8,5000,4.0,0.2,0.002
Fe,I,3830.85,5000,4.0,0.2,0.003
Fe,I,3843.72,5000,4.0,0.2,0.002
Fe,I,3873.76,5000,4.0,0.2,0.002
Fe,I,3876.67,5000,4.0,0.2,0.001
Fe,I,3885.93,5000,4.0,0.2,0.002
Fe,I,3892.9,5000,4.0,0.2,0.002
Fe,I,3893.39,5000,4.0,0.2,0.001
Fe,I,3900.52,5000,4.0,0.2,0.002
Fe,I,3791.73,5000,4.0,0.35,0.001
Fe,I,3811.8,5000,4.0,0.35,0.001
Fe,I,3830.85,5000,4.0,0.35,0.002
Fe,I,3843.72,5000,4.0,0.35,0.002
Fe,I,3873.76,5000,4.0,0.35,0.002
Fe,I,3876.67,5000,4.0,0.35,0.001
Fe,I,3885.93,5000,4.0,0.35,0.002
Fe,I,3892.9,5000,4.0,0.35,0.001
Fe,I,3893.39,5000,4.0,0.35,0.001
Fe,I,3900.52,5000,4.0,0.35,0.002
Fe,I,3791.73,5000,4.3,-0.2,0.002
Fe,I,3811.8,5000,4.3,-0.2,0.002
Fe,I,3830.85,5000,4.3,-0.2,0.003
Fe,I,3843.72,5000,4.3,-0.2,0.002
Fe,I,3873.76,5000,4.3,-0.2,0.002
Fe,I,3876.67,5000,4.3,-0.2,0.001
Fe,I,3885.93,5000,4.3,-0.2,0.002
Fe,I,3892.9,5000,4.3,-0.2,0.002
Fe,I,3893.39,5000,4.3,-0.2,0.002
Fe,I,3900.52,5000,4.3,-0.2,0.002
Fe,I,3791.73,5000,4.3,0.0,0.001
Fe,I,3811.8,5000,4.3,0.0,0.001
Fe,I,3830.85,5000,4.3,0.0,0.002
Fe,I,3843.72,5000,4.3,0.0,0.001
Fe,I,3873.76,5000,4.3,0.0,0.001
Fe,I,3876.67,5000,4.3,0.0,0.001
Fe,I,3885.93,5000,4.3,0.0,0.001
Fe,I,3892.9,5000,4.3,0.0,0.002
Fe,I,3893.39,5000,4.3,0.0,0.001
Fe,I,3900.52,5000,4.3,0.0,0.002
Fe,I,3791.73,5000,4.3,0.2,0.001
Fe,I,3811.8,5000,4.3,0.2,0.001
Fe,I,3830.85,5000,4.3,0.2,0.001
Fe,I,3843.72,5000,4.3,0.2,0.001
Fe,I,3873.76,5000,4.3,0.2,0.001
Fe,I,3876.67,5000,4.3,0.2,0.001
Fe,I,3885.93,5000,4.3,0.2,0.001
Fe,I,3892.9,5000,4.3,0.2,0.001
Fe,I,3893.39,5000,4.3,0.2,0.001
Fe,I,3900.52,5000,4.3,0.2,0.002
Fe,I,3791.73,5000,4.3,0.35,0.001
Fe,I,3811.8,5000,4.3,0.35,0.001
Fe,I,3830.85,5000,4.3,0.35,0.001
Fe,I,3843.72,5000,4.3,0.35,0.001
Fe,I,3873.76,5000,4.3,0.35,0.001
Fe,I,3876.67,5000,4.3,0.35,0.001
Fe,I,3885.93,5000,4.3,0.35,0.001
Fe,I,3892.9,5000,4.3,0.35,0.001
Fe,I,3893.39,5000,4.3,0.35,0.001
Fe,I,3900.52,5000,4.3,0.35,0.001
Fe,I,3791.73,5000,4.5,-0.2,0.002
Fe,I,3811.8,5000,4.5,-0.2,0.002
Fe,I,3830.85,5000,4.5,-0.2,0.002
Fe,I,3843.72,5000,4.5,-0.2,0.001
Fe,I,3873.76,5000,4.5,-0.2,0.001
Fe,I,3876.67,5000,4.5,-0.2,0.001
Fe,I,3885.93,5000,4.5,-0.2,0.001
Fe,I,3892.9,5000,4.5,-0.2,0.001
Fe,I,3893.39,5000,4.5,-0.2,0.001
Fe,I,3900.52,5000,4.5,-0.2,0.001
Fe,I,3791.73,5000,4.5,0.0,0.001
Fe,I,3811.8,5000,4.5,0.0,0.001
Fe,I,3830.85,5000,4.5,0.0,0.002
Fe,I,3843.72,5000,4.5,0.0,0.001
Fe,I,3873.76,5000,4.5,0.0,0.001
Fe,I,3876.67,5000,4.5,0.0,0.001
Fe,I,3885.93,5000,4.5,0.0,0.001
Fe,I,3892.9,5000,4.5,0.0,0.001
Fe,I,3893.39,5000,4.5,0.0,0.001
Fe,I,3900.52,5000,4.5,0.0,0.001
Fe,I,3791.73,5000,4.5,0.2,0.001
Fe,I,3811.8,5000,4.5,0.2,0.001
Fe,I,3830.85,5000,4.5,0.2,0.001
Fe,I,3843.72,5000,4.5,0.2,0.001
Fe,I,3873.76,5000,4.5,0.2,0.0
Fe,I,3876.67,5000,4.5,0.2,0.001
Fe,I,3885.93,5000,4.5,0.2,0.001
Fe,I,3892.9,5000,4.5,0.2,0.001
Fe,I,3893.39,5000,4.5,0.2,0.001
Fe,I,3900.52,5000,4.5,0.2,0.001
Fe,I,3791.73,5000,4.5,0.35,0.0
Fe,I,3811.8,5000,4.5,0.35,0.0
Fe,I,3830.85,5000,4.5,0.35,0.001
Fe,I,3843.72,5000,4.5,0.35,0.001
Fe,I,3873.76,5000,4.5,0.35,0.001
Fe,I,3876.67,5000,4.5,0.35,0.0
Fe,I,3885.93,5000,4.5,0.35,0.001
Fe,I,3892.9,5000,4.5,0.35,0.0
Fe,I,3893.39,5000,4.5,0.35,0.0
Fe,I,3900.52,5000,4.5,0.35,0.001
Fe,I,3791.73,5000,4.6,-0.2,0.001
Fe,I,3811.8,5000,4.6,-0.2,0.001
Fe,I,3830.85,5000,4.6,-0.2,0.002
Fe,I,3843.72,5000,4.6,-0.2,0.001
Fe,I,3873.76,5000,4.6,-0.2,0.001
Fe,I,3876.67,5000,4.6,-0.2,0.001
Fe,I,3885.93,5000,4.6,-0.2,0.001
Fe,I,3892.9,5000,4.6,-0.2,0.001
