element,ion,wave_A,teff_K,logg,feh,delta_nlte
K,1,7664.899,5772,4.44,0.0,-0.2711
K,1,7698.964,5772,4.44,0.0,-0.3121
K,1,7664.899,5100,4.44,0.0,-0.1417
K,1,7698.964,5100,4.44,0.0,-0.1683
K,1,7664.899,6200,4.44,0.0,-0.3701
K,1,7698.964,6200,4.44,0.0,-0.4
K,1,7664.899,5772,4.0,0.0,-0.3569
K,1,7698.964,5772,4.0,0.0,-0.4
K,1,7664.899,5772,4.7,0.0,-0.2315
K,1,7698.964,5772,4.7,0.0,-0.2633
K,1,7664.899,5772,4.44,-0.3,-0.2711
K,1,7698.964,5772,4.44,-0.3,-0.3121
K,1,7664.899,5772,4.44,0.4,-0.2711
K,1,7698.964,5772,4.44,0.4,-0.3121
K,1,7664.899,5100,4.5,0.4,-0.1367
K,1,7698.964,5100,4.5,0.4,-0.1614
K,1,7664.899,6000,4.3,-0.2,-0.3535
K,1,7698.964,6000,4.3,-0.2,-0.4
