element,wave_A,teff_K,logg,feh,delta_nlte
Mn,4998.126,5000,3.5,-0.5,0.171
Mn,6304.906,5000,3.5,-0.5,0.146
Mn,6306.342,5000,3.5,-0.5,0.145
Mn,6867.11,5000,3.5,-0.5,
Mn,4998.126,5000,3.5,0.0,0.102
Mn,6304.906,5000,3.5,0.0,0.097
Mn,6306.342,5000,3.5,0.0,0.095
Mn,6867.11,5000,3.5,0.0,0.059
Mn,4998.126,5000,3.5,0.3,0.076
Mn,6304.906,5000,3.5,0.3,0.077
Mn,6306.342,5000,3.5,0.3,0.075
Mn,6867.11,5000,3.5,0.3,0.05
Mn,4998.126,5000,4.0,-0.5,0.156
Mn,6304.906,5000,4.0,-0.5,0.141
Mn,6306.342,5000,4.0,-0.5,0.141
Mn,6867.11,5000,4.0,-0.5,
Mn,4998.126,5000,4.0,0.0,0.088
Mn,6304.906,5000,4.0,0.0,0.087
Mn,6306.342,5000,4.0,0.0,0.086
Mn,6867.11,5000,4.0,0.0,0.062
Mn,4998.126,5000,4.0,0.3,0.062
Mn,6304.906,5000,4.0,0.3,0.063
Mn,6306.342,5000,4.0,0.3,0.062
Mn,6867.11,5000,4.0,0.3,0.046
Mn,4998.126,5000,4.4,-0.5,0.131
Mn,6304.906,5000,4.4,-0.5,0.126
Mn,6306.342,5000,4.4,-0.5,0.125
Mn,6867.11,5000,4.4,-0.5,
Mn,4998.126,5000,4.4,0.0,0.07
Mn,6304.906,5000,4.4,0.0,0.073
Mn,6306.342,5000,4.4,0.0,0.072
Mn,6867.11,5000,4.4,0.0,0.054
Mn,4998.126,5000,4.4,0.3,0.047
Mn,6304.906,5000,4.4,0.3,0.05
Mn,6306.342,5000,4.4,0.3,0.049
Mn,6867.11,5000,4.4,0.3,0.038
Mn,4998.126,5000,4.5,-0.5,0.124
Mn,6304.906,5000,4.5,-0.5,0.12
Mn,6306.342,5000,4.5,-0.5,0.12
Mn,6867.11,5000,4.5,-0.5,
Mn,4998.126,5000,4.5,0.0,0.066
Mn,6304.906,5000,4.5,0.0,0.069
Mn,6306.342,5000,4.5,0.0,0.068
Mn,6867.11,5000,4.5,0.0,0.052
Mn,4998.126,5000,4.5,0.3,0.044
Mn,6304.906,5000,4.5,0.3,0.047
Mn,6306.342,5000,4.5,0.3,0.046
Mn,6867.11,5000,4.5,0.3,0.036
Mn,4998.126,5500,3.5,-0.5,0.198
Mn,6304.906,5500,3.5,-0.5,0.187
Mn,6306.342,5500,3.5,-0.5,
Mn,6867.11,5500,3.5,-0.5,
