element,ion,wave_A,teff_K,logg,feh,delta_nlte
N,1,7468.31,5772,4.44,0.0,-0.0115
N,1,8216.34,5772,4.44,0.0,-0.0145
N,1,8683.4,5772,4.44,0.0,-0.0154
N,1,8216.34,5100,4.44,0.0,-0.0058
N,1,8683.4,5100,4.44,0.0,-0.0061
N,1,7468.31,6200,4.44,0.0,-0.0188
N,1,8216.34,6200,4.44,0.0,-0.0249
N,1,8683.4,6200,4.44,0.0,-0.0255
N,1,7468.31,5772,4.0,0.0,-0.0161
N,1,8216.34,5772,4.0,0.0,-0.025
N,1,8683.4,5772,4.0,0.0,-0.0259
N,1,7468.31,5772,4.7,0.0,-0.0087
N,1,8216.34,5772,4.7,0.0,-0.011
N,1,8683.4,5772,4.7,0.0,-0.0118
N,1,7468.31,5772,4.44,-0.3,-0.0115
N,1,8216.34,5772,4.44,-0.3,-0.0145
N,1,8683.4,5772,4.44,-0.3,-0.0154
N,1,8216.34,5172,4.43,0.31,-0.0065
N,1,8683.4,5172,4.43,0.31,-0.0069
N,1,8683.4,5100,4.5,0.5,-0.0058
N,1,7468.31,6000,4.3,-0.2,-0.0179
N,1,8216.34,6000,4.3,-0.2,-0.0232
N,1,8683.4,6000,4.3,-0.2,-0.0255
N,1,7468.31,5772,4.44,0.6,-0.0115
N,1,8216.34,5772,4.44,0.6,-0.0145
N,1,8683.4,5772,4.44,0.6,-0.0154
N,1,7468.31,5400,4.5,0.5,-0.0061
N,1,8216.34,5400,4.5,0.5,-0.0087
N,1,8683.4,5400,4.5,0.5,-0.0095
