element,ion,wave_A,teff_K,logg,feh,delta_nlte
S,1,6748.68,5772,4.44,0.0,-0.0143
S,1,6757.15,5772,4.44,0.0,-0.0171
S,1,6748.68,5100,4.44,0.0,-0.0064
S,1,6757.15,5100,4.44,0.0,-0.0073
S,1,6748.68,6200,4.44,0.0,-0.023
S,1,6757.15,6200,4.44,0.0,-0.0287
S,1,6748.68,5772,4.0,0.0,-0.0229
S,1,6757.15,5772,4.0,0.0,-0.0297
S,1,6748.68,5772,4.7,0.0,-0.0106
S,1,6757.15,5772,4.7,0.0,-0.0123
S,1,6748.68,5772,4.44,-0.3,-0.0143
S,1,6757.15,5772,4.44,-0.3,-0.0171
S,1,6748.68,5772,4.44,0.4,-0.0143
S,1,6757.15,5772,4.44,0.4,-0.0171
S,1,6748.68,5100,4.5,0.4,-0.0059
S,1,6757.15,5100,4.5,0.4,-0.0066
S,1,6748.68,6000,4.3,-0.2,-0.0212
S,1,6757.15,6000,4.3,-0.2,-0.0269
S,1,6748.68,5100,4.44,0.4,-0.0064
S,1,6757.15,5100,4.44,0.4,-0.0073
