element,wave_A,teff_K,logg,feh,delta_nlte
Si,5622.23,5000,3.5,-0.5,-0.012
Si,5701.14,5000,3.5,-0.5,-0.007
Si,5708.44,5000,3.5,-0.5,-0.014
Si,5772.15,5000,3.5,-0.5,-0.005
Si,5780.45,5000,3.5,-0.5,-0.006
Si,6067.62,5000,3.5,-0.5,-0.002
Si,6253.6,5000,3.5,-0.5,-0.0
Si,5622.23,5000,3.5,0.0,-0.017
Si,5701.14,5000,3.5,0.0,-0.008
Si,5708.44,5000,3.5,0.0,-0.019
Si,5772.15,5000,3.5,0.0,-0.007
Si,5780.45,5000,3.5,0.0,-0.006
Si,6067.62,5000,3.5,0.0,-0.001
Si,6253.6,5000,3.5,0.0,-0.0
Si,5622.23,5000,3.5,0.3,-0.018
Si,5701.14,5000,3.5,0.3,-0.009
Si,5708.44,5000,3.5,0.3,-0.02
Si,5772.15,5000,3.5,0.3,-0.008
Si,5780.45,5000,3.5,0.3,-0.006
Si,6067.62,5000,3.5,0.3,-0.001
Si,6253.6,5000,3.5,0.3,-0.0
Si,5622.23,5000,4.0,-0.5,-0.006
Si,5701.14,5000,4.0,-0.5,-0.004
Si,5708.44,5000,4.0,-0.5,-0.006
Si,5772.15,5000,4.0,-0.5,-0.002
Si,5780.45,5000,4.0,-0.5,-0.003
Si,6067.62,5000,4.0,-0.5,-0.001
Si,6253.6,5000,4.0,-0.5,-0.0
Si,5622.23,5000,4.0,0.0,-0.008
Si,5701.14,5000,4.0,0.0,-0.004
Si,5708.44,5000,4.0,0.0,-0.009
Si,5772.15,5000,4.0,0.0,-0.003
Si,5780.45,5000,4.0,0.0,-0.003
Si,6067.62,5000,4.0,0.0,-0.001
Si,6253.6,5000,4.0,0.0,-0.0
Si,5622.23,5000,4.0,0.3,-0.009
Si,5701.14,5000,4.0,0.3,-0.004
Si,5708.44,5000,4.0,0.3,-0.01
Si,5772.15,5000,4.0,0.3,-0.004
Si,5780.45,5000,4.0,0.3,-0.003
Si,6067.62,5000,4.0,0.3,-0.0
Si,6253.6,5000,4.0,0.3,-0.0
Si,5622.23,5000,4.4,-0.5,-0.003
