element,ion,wave_A,teff_K,logg,feh,delta_nlte
Sr,II,4077.709,5000,3.5,-3.0,-0.027
Sr,II,4077.709,5000,4.0,-3.0,-0.02
Sr,II,4077.709,5500,3.5,-3.0,-0.06
Sr,II,4077.709,5500,4.0,-3.0,-0.041
Sr,II,4077.709,5500,4.4,-3.0,-0.021
Sr,II,4077.709,5500,4.5,-3.0,-0.016
Sr,II,4077.709,5750,3.5,-3.0,-0.055
Sr,II,4077.709,5750,4.0,-3.0,-0.035
Sr,II,4077.709,5750,4.4,-3.0,-0.014
Sr,II,4077.709,5750,4.5,-3.0,-0.008
Sr,II,4077.709,5772,3.5,-3.0,-0.054
Sr,II,4077.709,5772,4.0,-3.0,-0.033
Sr,II,4077.709,5772,4.4,-3.0,-0.012
Sr,II,4077.709,5772,4.5,-3.0,-0.007
Sr,II,4077.709,6000,3.5,-3.0,-0.038
Sr,II,4077.709,6000,4.0,-3.0,-0.019
Sr,II,4077.709,6000,4.4,-3.0,0.0
Sr,II,4077.709,6000,4.5,-3.0,0.005
Sr,II,4077.709,5000,3.5,-2.0,-0.005
Sr,II,4077.709,5000,4.0,-2.0,-0.006
Sr,II,4077.709,5000,4.4,-2.0,-0.006
Sr,II,4077.709,5000,4.5,-2.0,-0.006
Sr,II,4077.709,5500,3.5,-2.0,-0.017
Sr,II,4077.709,5500,4.0,-2.0,-0.017
Sr,II,4077.709,5500,4.4,-2.0,-0.016
Sr,II,4077.709,5500,4.5,-2.0,-0.015
Sr,II,4077.709,5750,3.5,-2.0,-0.026
Sr,II,4077.709,5750,4.0,-2.0,-0.027
Sr,II,4077.709,5750,4.4,-2.0,-0.025
Sr,II,4077.709,5750,4.5,-2.0,-0.024
Sr,II,4077.709,5772,3.5,-2.0,-0.027
Sr,II,4077.709,5772,4.0,-2.0,-0.028
Sr,II,4077.709,5772,4.4,-2.0,-0.026
Sr,II,4077.709,5772,4.5,-2.0,-0.025
Sr,II,4077.709,6000,3.5,-2.0,-0.038
Sr,II,4077.709,6000,4.0,-2.0,-0.042
Sr,II,4077.709,6000,4.4,-2.0,-0.039
Sr,II,4077.709,6000,4.5,-2.0,-0.037
Sr,II,4077.709,5000,3.5,-1.0,-0.003
Sr,II,4077.709,5000,4.0,-1.0,-0.004
Sr,II,4077.709,5000,4.4,-1.0,-0.004
Sr,II,4077.709,5000,4.5,-1.0,-0.004
Sr,II,4077.709,5500,3.5,-1.0,-0.006
