element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason,ep_eV,ew_inversion,sigma_A,frac_rise_weaker,edge_distance_dex,red_chi2,nlte_delta_dex,nlte_source,observed_conditioning,continuum_level,continuum_method,continuum_ref,profile_sigma_A,profile_sigma_floor_A,profile_gamma_A,observed_depth,implied_width_A,source_file,source_sha256,literature_1d_lte_intensity,geometry_comparison,disposition
N,I,7442.298,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",8.488,,1D-LTE,True,,10.33,False,0.2917121054838694,0.013474140899534,3.661944496674874,43.866,0.0,"none — LTE, no departure applied",native,,,,,,,,,data/output/rya1220/prior_products/NI_6910_9199_iag_fts_solar_atlas_solar_iag_SYNTH_SET-AGSS21_1D-LTE_lines.csv,a9bf0ca79b195c53d0cb0f44c9893dbf59583f19d52e504462c1680782a4a34c,7.806,flux versus disk-center intensity; NOT matched,diagnostic_only_pending_reproduction_and_full_budget
N,I,8216.336,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.998,,1D-LTE,True,,10.336,False,0.3637543808842531,0.0110753743449268,3.172344906109416,56.459,0.0,"none — LTE, no departure applied",native,,,,,,,,,data/output/rya1220/prior_products/NI_6910_9199_iag_fts_solar_atlas_solar_iag_SYNTH_SET-AGSS21_1D-LTE_lines.csv,a9bf0ca79b195c53d0cb0f44c9893dbf59583f19d52e504462c1680782a4a34c,7.806,flux versus disk-center intensity; NOT matched,diagnostic_only_pending_reproduction_and_full_budget
N,I,8629.235,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",8.489,,1D-LTE,True,,10.69,False,0.3223589025457023,0.0187072599275882,3.662912849487887,51.493,0.0,"none — LTE, no departure applied",native,,,,,,,,,data/output/rya1220/prior_products/NI_6910_9199_iag_fts_solar_atlas_solar_iag_SYNTH_SET-AGSS21_1D-LTE_lines.csv,a9bf0ca79b195c53d0cb0f44c9893dbf59583f19d52e504462c1680782a4a34c,7.812,flux versus disk-center intensity; NOT matched,diagnostic_only_pending_reproduction_and_full_budget
N,I,8683.403,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",8.213,,1D-LTE,True,,10.33,False,0.3057091355018618,0.0225905451000334,3.387353818490591,52.583,0.0,"none — LTE, no departure applied",native,,,,,,,,,data/output/rya1220/prior_products/NI_6910_9199_iag_fts_solar_atlas_solar_iag_SYNTH_SET-AGSS21_1D-LTE_lines.csv,a9bf0ca79b195c53d0cb0f44c9893dbf59583f19d52e504462c1680782a4a34c,7.805,flux versus disk-center intensity; NOT matched,diagnostic_only_pending_reproduction_and_full_budget
N,I,7442.298,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",,,ENGINE-A,False,"ENGINE-A-NOT-SERVED: the registered source returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",10.33,True,,,,43.866,,registered per-line delta_nlte (NOT SERVED),,,,,,,,,,data/output/rya1220/prior_products/NI_6910_9199_iag_fts_solar_atlas_solar_iag_SYNTH_SET-AGSS21_ENGINE-A_lines.csv,b6941fa34c4bc2a788106092ed1438ead18d229233e26832845d786f3563c692,7.806,flux versus disk-center intensity; NOT matched,diagnostic_only_pending_reproduction_and_full_budget
N,I,8216.336,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",7.983452272727272,,ENGINE-A,True,,10.336,True,,,,56.459,-0.0145477272727272,"N_Amarsi2020_PySME.csv (Amarsi et al. 2020 (A&A 642, A62) N I departure grid via PySME (Zenodo 3982506); N I red triplet 7468/8216/8683 high-excitation atomic; RYA-369 strategy / RYA-526 PySME-derived deltas (solar reproduces the RYA-369 load-test)); PER-LINE additive correction",,,,,,,,,,data/output/rya1220/prior_products/NI_6910_9199_iag_fts_solar_atlas_solar_iag_SYNTH_SET-AGSS21_ENGINE-A_lines.csv,b6941fa34c4bc2a788106092ed1438ead18d229233e26832845d786f3563c692,7.806,flux versus disk-center intensity; NOT matched,diagnostic_only_pending_reproduction_and_full_budget
N,I,8629.235,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",,,ENGINE-A,False,"ENGINE-A-NOT-SERVED: the registered source returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",10.69,True,,,,51.493,,registered per-line delta_nlte (NOT SERVED),,,,,,,,,,data/output/rya1220/prior_products/NI_6910_9199_iag_fts_solar_atlas_solar_iag_SYNTH_SET-AGSS21_ENGINE-A_lines.csv,b6941fa34c4bc2a788106092ed1438ead18d229233e26832845d786f3563c692,7.812,flux versus disk-center intensity; NOT matched,diagnostic_only_pending_reproduction_and_full_budget
N,I,8683.403,iag_fts_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_iag · iag_telfree_solaratlas.fits",8.197552272727272,,ENGINE-A,True,,10.33,True,,,,52.583,-0.0154477272727272,"N_Amarsi2020_PySME.csv (Amarsi et al. 2020 (A&A 642, A62) N I departure grid via PySME (Zenodo 3982506); N I red triplet 7468/8216/8683 high-excitation atomic; RYA-369 strategy / RYA-526 PySME-derived deltas (solar reproduces the RYA-369 load-test)); PER-LINE additive correction",,,,,,,,,,data/output/rya1220/prior_products/NI_6910_9199_iag_fts_solar_atlas_solar_iag_SYNTH_SET-AGSS21_ENGINE-A_lines.csv,b6941fa34c4bc2a788106092ed1438ead18d229233e26832845d786f3563c692,7.805,flux versus disk-center intensity; NOT matched,diagnostic_only_pending_reproduction_and_full_budget
N,I,7442.298,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",8.356,,1D-LTE,True,,10.33,False,0.3938623036387311,0.0088724741536836,3.5303417664697845,40.968,0.0,"none — LTE, no departure applied",native,,,,,,,,,data/output/rya1220/prior_products/NI_6910_9199_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_SET-AGSS21_1D-LTE_lines.csv,eb44fed7c57e736ed44d84a19582dbae42d3b68699856cc029d4f2b32ea3a862,7.806,flux versus disk-center intensity; NOT matched,diagnostic_only_pending_reproduction_and_full_budget
N,I,8216.336,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",8.177,,1D-LTE,True,,10.336,False,0.3107074762794879,0.0207707662882672,3.351472382180563,54.972,0.0,"none — LTE, no departure applied",native,,,,,,,,,data/output/rya1220/prior_products/NI_6910_9199_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_SET-AGSS21_1D-LTE_lines.csv,eb44fed7c57e736ed44d84a19582dbae42d3b68699856cc029d4f2b32ea3a862,7.806,flux versus disk-center intensity; NOT matched,diagnostic_only_pending_reproduction_and_full_budget
