wavelength_air_A,model_flux
8.210335999999999331e+03,1.000000000000000036e-10
8.210337999999999738e+03,9.974568815166270364e-01
8.210339999999998327e+03,9.974333880187349344e-01
8.210341999999998734e+03,9.974047797172329588e-01
8.210343999999997322e+03,9.973712778044561134e-01
8.210345999999997730e+03,9.973339667166546407e-01
8.210347999999996318e+03,9.972946717761369539e-01
8.210349999999996726e+03,9.972554533326870585e-01
8.210351999999995314e+03,9.972180348359860336e-01
8.210353999999995722e+03,9.971835317173558533e-01
8.210355999999994310e+03,9.971525255093434126e-01
8.210357999999994718e+03,9.971252733023949766e-01
8.210359999999993306e+03,9.971018756318534848e-01
8.210361999999993714e+03,9.970823612674776237e-01
8.210363999999992302e+03,9.970667217992356113e-01
8.210365999999992709e+03,9.970549174037572904e-01
8.210367999999991298e+03,9.970468824275792175e-01
8.210369999999991705e+03,9.970425269602959384e-01
8.210371999999990294e+03,9.970417385841994218e-01
8.210373999999990701e+03,9.970443840987026629e-01
8.210375999999989290e+03,9.970503112516527766e-01
8.210377999999989697e+03,9.970593505814390189e-01
8.210379999999988286e+03,9.970713174178491567e-01
8.210381999999988693e+03,9.970860140008975803e-01
8.210383999999987282e+03,9.971032316312157251e-01
8.210385999999987689e+03,9.971227528193419287e-01
8.210387999999986278e+03,9.971443534486886806e-01
8.210389999999986685e+03,9.971678050317086539e-01
8.210391999999985273e+03,9.971928770697137123e-01
8.210393999999985681e+03,9.972193394553179324e-01
8.210395999999984269e+03,9.972469647539295989e-01
8.210397999999984677e+03,9.972755302328787375e-01
8.210399999999983265e+03,9.973048195859230969e-01
8.210401999999983673e+03,9.973346243905796271e-01
8.210403999999982261e+03,9.973647453564445930e-01
8.210405999999982669e+03,9.973949933993934147e-01
8.210407999999981257e+03,9.974251905618036762e-01
8.210409999999981665e+03,9.974551707840096926e-01
8.210411999999980253e+03,9.974847805340850693e-01
8.210413999999980661e+03,9.975138792741572447e-01
8.210415999999979249e+03,9.975423397331960595e-01
8.210417999999979656e+03,9.975700479532021436e-01
8.210419999999978245e+03,9.975969031121356689e-01
8.210421999999978652e+03,9.976228171632079977e-01
8.210423999999977241e+03,9.976477143419514304e-01
8.210425999999977648e+03,9.976715305792276389e-01
8.210427999999976237e+03,9.976942128322372483e-01
8.210429999999976644e+03,9.977157183457185941e-01
8.210431999999975233e+03,9.977360138730558825e-01
8.210433999999975640e+03,9.977550749066507185e-01
8.210435999999974229e+03,9.977728849546411150e-01
8.210437999999974636e+03,9.977894348459259710e-01
8.210439999999973224e+03,9.978047220055834554e-01
8.210441999999973632e+03,9.978187496418023938e-01
8.210443999999972220e+03,9.978315258593605241e-01
8.210445999999972628e+03,9.978430627609696790e-01
8.210447999999971216e+03,9.978533756198643134e-01
8.210449999999971624e+03,9.978624821575131643e-01
8.210451999999970212e+03,9.978704019221045218e-01
8.210453999999970620e+03,9.978771557352391630e-01
8.210455999999969208e+03,9.978827651896898798e-01
8.210457999999969616e+03,9.978872522131525535e-01
8.210459999999968204e+03,9.978906387298749348e-01
8.210461999999968612e+03,9.978929464387001902e-01
8.210463999999967200e+03,9.978941966605402447e-01
8.210465999999967607e+03,9.978944101832800673e-01
8.210467999999966196e+03,9.978936070447177453e-01
8.210469999999966603e+03,9.978918062841831693e-01
