wavelength_air_A,flux
8.623231076099180427e+03,9.883254170417785645e-01
8.623242698123389346e+03,9.891459345817565918e-01
8.623253593799534428e+03,9.897290468215942383e-01
8.623264489503213554e+03,9.904050230979919434e-01
8.623276111617487913e+03,9.911169409751892090e-01
8.623287007378070484e+03,9.919098615646362305e-01
8.623298629553042701e+03,9.923494458198547363e-01
8.623309525370530537e+03,9.924669861793518066e-01
8.623321147606196973e+03,9.930810332298278809e-01
8.623332043480590073e+03,9.934473037719726562e-01
8.623342939382515397e+03,9.933996796607971191e-01
8.623354561708252731e+03,9.937466979026794434e-01
8.623365457667085138e+03,9.940077662467956543e-01
8.623377080053522150e+03,9.941365718841552734e-01
8.623387976069254364e+03,9.939929246902465820e-01
8.623399598516391052e+03,9.936040043830871582e-01
8.623410494589033988e+03,9.935352206230163574e-01
8.623421390689210966e+03,9.937289953231811523e-01
8.623433013226418552e+03,9.937806129455566406e-01
8.623443909383502614e+03,9.935972094535827637e-01
8.623455531981408058e+03,9.937196969985961914e-01
8.623466428195399203e+03,9.936614036560058594e-01
8.623478050854007961e+03,9.938190579414367676e-01
8.623488947124906190e+03,9.940271973609924316e-01
8.623499843423342099e+03,9.936532974243164062e-01
8.623511466172021755e+03,9.941014051437377930e-01
8.623522362527364749e+03,9.946811795234680176e-01
8.623533985336749538e+03,9.942371845245361328e-01
8.623544881748999615e+03,9.935610294342041016e-01
8.623556504619084080e+03,9.935879707336425781e-01
8.623567401088244878e+03,9.937403798103332520e-01
8.623578297584941538e+03,9.931119084358215332e-01
8.623589920545104178e+03,9.920628070831298828e-01
8.623600817098711559e+03,9.907679557800292969e-01
8.623612440119575695e+03,9.898324012756347656e-01
8.623623336730091978e+03,9.890411496162414551e-01
8.623634959811663066e+03,9.874041676521301270e-01
8.623645856479090071e+03,9.850002527236938477e-01
8.623656753174056576e+03,9.825131297111511230e-01
8.623668376345704019e+03,9.801787734031677246e-01
8.623679273097577607e+03,9.770592451095581055e-01
8.623690896329933821e+03,9.735881090164184570e-01
8.623701793138719950e+03,9.707156419754028320e-01
8.623713416431781297e+03,9.685984253883361816e-01
8.623724313297479966e+03,9.671822786331176758e-01
8.623735210190718135e+03,9.660438299179077148e-01
