wavelength_air_A,model_flux
8.677399999999999636e+03,1.000000000000000036e-10
8.677402000000000044e+03,9.980425890629183172e-01
8.677403999999998632e+03,9.980272321656706858e-01
8.677405999999999040e+03,9.980088153012606211e-01
8.677407999999997628e+03,9.979874945151754329e-01
8.677409999999998035e+03,9.979639167517699860e-01
8.677411999999996624e+03,9.979391782305329084e-01
8.677413999999997031e+03,9.979145731449513557e-01
8.677415999999995620e+03,9.978912641757108348e-01
8.677417999999996027e+03,9.978700750267214259e-01
8.677419999999994616e+03,9.978514797951574256e-01
8.677421999999995023e+03,9.978357081059134881e-01
8.677423999999993612e+03,9.978228564994670036e-01
8.677425999999994019e+03,9.978129576868142170e-01
8.677427999999992608e+03,9.978060113941233933e-01
8.677429999999993015e+03,9.978019962625290784e-01
8.677431999999991604e+03,9.978008720390567632e-01
8.677433999999992011e+03,9.978025819021586473e-01
8.677435999999990599e+03,9.978070534346853426e-01
8.677437999999991007e+03,9.978141996323212082e-01
8.677439999999989595e+03,9.978239198980365376e-01
8.677441999999990003e+03,9.978361010168977918e-01
8.677443999999988591e+03,9.978506182007231828e-01
8.677445999999988999e+03,9.978673363623696835e-01
8.677447999999987587e+03,9.978861116825882283e-01
8.677449999999987995e+03,9.979067933300622695e-01
8.677451999999986583e+03,9.979292250999732827e-01
8.677453999999986991e+03,9.979532468748752994e-01
8.677455999999985579e+03,9.979786959917680278e-01
8.677457999999985987e+03,9.980054086175119687e-01
8.677459999999984575e+03,9.980332211502628281e-01
8.677461999999984982e+03,9.980619715953568116e-01
8.677463999999983571e+03,9.980915008659504428e-01
8.677465999999983978e+03,9.981216539755608519e-01
8.677467999999982567e+03,9.981522810891665376e-01
8.677469999999982974e+03,9.981832384267989022e-01
8.677471999999981563e+03,9.982143890476922188e-01
8.677473999999981970e+03,9.982456035421690688e-01
8.677475999999980559e+03,9.982767606286190309e-01
8.677477999999980966e+03,9.983077476230541869e-01
8.677479999999979555e+03,9.983384607662599830e-01
8.677481999999979962e+03,9.983688054288692992e-01
8.677483999999978550e+03,9.983986962197043402e-01
8.677485999999978958e+03,9.984280569951584638e-01
8.677487999999977546e+03,9.984568207426361974e-01
8.677489999999977954e+03,9.984849293372745072e-01
8.677491999999976542e+03,9.985123332207276325e-01
8.677493999999976950e+03,9.985389910582219697e-01
8.677495999999975538e+03,9.985648693800533993e-01
8.677497999999975946e+03,9.985899421665399567e-01
8.677499999999974534e+03,9.986141903474751169e-01
8.677501999999974942e+03,9.986376012291282578e-01
8.677503999999973530e+03,9.986601678851162456e-01
8.677505999999973938e+03,9.986818885517340094e-01
8.677507999999972526e+03,9.987027660696438103e-01
8.677509999999972933e+03,9.987228073985665588e-01
8.677511999999971522e+03,9.987420231728995068e-01
8.677513999999971929e+03,9.987604272210469647e-01
8.677515999999970518e+03,9.987780360114293376e-01
8.677517999999970925e+03,9.987948680752988251e-01
8.677519999999969514e+03,9.988109434965612987e-01
8.677521999999969921e+03,9.988262835073643542e-01
8.677523999999968510e+03,9.988409101596636974e-01
8.677525999999968917e+03,9.988548460302085763e-01
8.677527999999967506e+03,9.988681139327451053e-01
8.677529999999967913e+03,9.988807366295268109e-01
8.677531999999966501e+03,9.988927365533322167e-01
8.677533999999966909e+03,9.989041355719018300e-01
8.677535999999965497e+03,9.989149548288259739e-01
8.677537999999965905e+03,9.989252146506211183e-01
8.677539999999964493e+03,9.989349344682928455e-01
8.677541999999964901e+03,9.989441327168162577e-01
8.677543999999963489e+03,9.989528267203795497e-01
8.677545999999963897e+03,9.989610325995177398e-01
8.677547999999962485e+03,9.989687652231904469e-01
8.677549999999962893e+03,9.989760382055158372e-01
8.677551999999961481e+03,9.989828639375326613e-01
8.677553999999961889e+03,9.989892536300103432e-01
8.677555999999960477e+03,9.989952173360735488e-01
8.677557999999960884e+03,9.990007639423491570e-01
8.677559999999959473e+03,9.990059011502021580e-01
8.677561999999959880e+03,9.990106354831235214e-01
8.677563999999958469e+03,9.990149723284932337e-01
8.677565999999958876e+03,9.990189159893400062e-01
8.677567999999957465e+03,9.990224697215613903e-01
8.677569999999957872e+03,9.990256357472149240e-01
