wavelength_air_A,model_flux
8.210335999999999331e+03,1.000000000000000036e-10
8.210337999999999738e+03,9.973941768895668858e-01
8.210339999999998327e+03,9.973733202602652614e-01
8.210341999999998734e+03,9.973494190702222317e-01
8.210343999999997322e+03,9.973225115799364549e-01
8.210345999999997730e+03,9.972929137377934961e-01
8.210347999999996318e+03,9.972612618128553486e-01
8.210349999999996726e+03,9.972284836043857625e-01
8.210351999999995314e+03,9.971956868003879482e-01
8.210353999999995722e+03,9.971639941721739397e-01
8.210355999999994310e+03,9.971343862658171853e-01
8.210357999999994718e+03,9.971076063251992361e-01
8.210359999999993306e+03,9.970841439583729704e-01
8.210361999999993714e+03,9.970642754033420818e-01
8.210363999999992302e+03,9.970481241779020065e-01
8.210365999999992709e+03,9.970357151943924912e-01
8.210367999999991298e+03,9.970270119781980966e-01
8.210369999999991705e+03,9.970219382094913652e-01
8.210371999999990294e+03,9.970203885139029554e-01
8.210373999999990701e+03,9.970222357156267590e-01
8.210375999999989290e+03,9.970273319384507227e-01
8.210377999999989697e+03,9.970355121923928365e-01
8.210379999999988286e+03,9.970465963328559722e-01
8.210381999999988693e+03,9.970603911000874842e-01
8.210383999999987282e+03,9.970766922230982487e-01
8.210385999999987689e+03,9.970952865794855402e-01
8.210387999999986278e+03,9.971159543954239979e-01
8.210389999999986685e+03,9.971384714667518301e-01
8.210391999999985273e+03,9.971626113714756601e-01
8.210393999999985681e+03,9.971881476286226231e-01
8.210395999999984269e+03,9.972148557585759354e-01
8.210397999999984677e+03,9.972425151919263042e-01
8.210399999999983265e+03,9.972709110005083533e-01
8.210401999999983673e+03,9.972998354246609409e-01
8.210403999999982261e+03,9.973290892043432665e-01
8.210405999999982669e+03,9.973584827139424513e-01
8.210407999999981257e+03,9.973878369180937398e-01
8.210409999999981665e+03,9.974169841494142652e-01
8.210411999999980253e+03,9.974457687137278095e-01
8.210413999999980661e+03,9.974740473169212418e-01
8.210415999999979249e+03,9.975016893107632177e-01
8.210417999999979656e+03,9.975285767581620888e-01
8.210419999999978245e+03,9.975546043229771564e-01
8.210421999999978652e+03,9.975796790025044380e-01
8.210423999999977241e+03,9.976037197199706386e-01
8.210425999999977648e+03,9.976266568068545837e-01
8.210427999999976237e+03,9.976484313962967754e-01
8.210429999999976644e+03,9.976689947570988037e-01
8.210431999999975233e+03,9.976883075854645622e-01
8.210433999999975640e+03,9.977063392737453018e-01
8.210435999999974229e+03,9.977230671611104773e-01
8.210437999999974636e+03,9.977384757701066587e-01
8.210439999999973224e+03,9.977525560258485582e-01
8.210441999999973632e+03,9.977653044607827093e-01
8.210443999999972220e+03,9.977767224127800372e-01
8.210445999999972628e+03,9.977868152336212271e-01
8.210447999999971216e+03,9.977955915275820153e-01
8.210449999999971624e+03,9.978030624395795023e-01
8.210451999999970212e+03,9.978092410064985929e-01
8.210453999999970620e+03,9.978141415800526604e-01
8.210455999999969208e+03,9.978177793247355876e-01
8.210457999999969616e+03,9.978201697894547584e-01
8.210459999999968204e+03,9.978213285488243267e-01
8.210461999999968612e+03,9.978212709019733673e-01
8.210463999999967200e+03,9.978200116162438960e-01
8.210465999999967607e+03,9.978175646996317871e-01
8.210467999999966196e+03,9.978139431948189753e-01
8.210469999999966603e+03,9.978091589918047788e-01
8.210471999999965192e+03,9.978032226670928706e-01
8.210473999999965599e+03,9.977961433554679571e-01
8.210475999999964188e+03,9.977879286624889987e-01
8.210477999999964595e+03,9.977785846177387175e-01
8.210479999999963184e+03,9.977681156686062369e-01
8.210481999999963591e+03,9.977565247111611635e-01
8.210483999999962180e+03,9.977438131530584897e-01
8.210485999999962587e+03,9.977299810019892856e-01
8.210487999999961175e+03,9.977150269654335712e-01
8.210489999999961583e+03,9.976989485480906028e-01
8.210491999999960171e+03,9.976817421307387912e-01
8.210493999999960579e+03,9.976634030254937224e-01
8.210495999999959167e+03,9.976439255078073387e-01
8.210497999999959575e+03,9.976233028370661282e-01
8.210499999999958163e+03,9.976015272755054397e-01
8.210501999999958571e+03,9.975785901160411084e-01
8.210503999999957159e+03,9.975544817222568028e-01
8.210505999999957567e+03,9.975291915822300792e-01
8.210507999999956155e+03,9.975027083765044544e-01
8.210509999999956563e+03,9.974750200569144631e-01
8.210511999999955151e+03,9.974461139327649439e-01
8.210513999999955558e+03,9.974159767518866460e-01
8.210515999999954147e+03,9.973845947662912659e-01
8.210517999999954554e+03,9.973519537698727344e-01
8.210519999999953143e+03,9.973180391076188478e-01
8.210521999999953550e+03,9.972828356609064748e-01
8.210523999999952139e+03,9.972463278237528872e-01
8.210525999999952546e+03,9.972084994824156334e-01
8.210527999999951135e+03,9.971693340104565983e-01
8.210529999999951542e+03,9.971288142848340197e-01
8.210531999999950131e+03,9.970869227254763878e-01
8.210533999999950538e+03,9.970436413596602820e-01
8.210535999999949127e+03,9.969989519059818672e-01
8.210537999999949534e+03,9.969528358726073014e-01
8.210539999999948122e+03,9.969052746547338861e-01
8.210541999999948530e+03,9.968562496207012957e-01
8.210543999999947118e+03,9.968057421753293568e-01
8.210545999999947526e+03,9.967537338028147342e-01
8.210547999999946114e+03,9.967002060960893361e-01
8.210549999999946522e+03,9.966451407889908021e-01
8.210551999999945110e+03,9.965885198038744175e-01
8.210553999999945518e+03,9.965303253263548822e-01
8.210555999999944106e+03,9.964705399124961227e-01
8.210557999999944514e+03,9.964091466296999267e-01
8.210559999999943102e+03,9.963461292304623962e-01
8.210561999999943509e+03,9.962814723495370117e-01
8.210563999999942098e+03,9.962151617141431492e-01
8.210565999999942505e+03,9.961471843482880839e-01
8.210567999999941094e+03,9.960775287592975591e-01
8.210569999999941501e+03,9.960061850971012598e-01
8.210571999999940090e+03,9.959331452921375005e-01
8.210573999999940497e+03,9.958584031815558291e-01
8.210575999999939086e+03,9.957819546412859379e-01
8.210577999999939493e+03,9.957037977350752245e-01
8.210579999999938082e+03,9.956239328905058805e-01
8.210581999999938489e+03,9.955423631040466459e-01
8.210583999999937078e+03,9.954590941741687793e-01
8.210585999999937485e+03,9.953741349566291863e-01
8.210587999999936073e+03,9.952874976288413889e-01
8.210589999999936481e+03,9.951991979475001138e-01
8.210591999999935069e+03,9.951092554801711509e-01
8.210593999999935477e+03,9.950176938001583649e-01
8.210595999999934065e+03,9.949245406409761294e-01
8.210597999999934473e+03,9.948298280214104006e-01
8.210599999999933061e+03,9.947335923535699509e-01
8.210601999999933469e+03,9.946358745512913213e-01
8.210603999999932057e+03,9.945367201449625272e-01
8.210605999999932465e+03,9.944361794086633566e-01
8.210607999999931053e+03,9.943343074942688764e-01
8.210609999999931460e+03,9.942311645691959132e-01
8.210611999999930049e+03,9.941268159463350074e-01
8.210613999999930456e+03,9.940213321960583714e-01
8.210615999999929045e+03,9.939147892256314787e-01
8.210617999999929452e+03,9.938072683163918786e-01
8.210619999999928041e+03,9.936988561152239052e-01
8.210621999999928448e+03,9.935896445851370995e-01
8.210623999999927037e+03,9.934797309287651812e-01
8.210625999999927444e+03,9.933692174952820642e-01
8.210627999999926033e+03,9.932582116830883656e-01
8.210629999999926440e+03,9.931468258348905565e-01
8.210631999999925029e+03,9.930351771243325354e-01
8.210633999999925436e+03,9.929233874187345377e-01
8.210635999999924024e+03,9.928115831139852077e-01
8.210637999999924432e+03,9.926998949294164598e-01
8.210639999999923020e+03,9.925884576678914994e-01
8.210641999999923428e+03,9.924774099418475215e-01
8.210643999999922016e+03,9.923668938779508508e-01
8.210645999999922424e+03,9.922570548079829855e-01
8.210647999999921012e+03,9.921480409537918321e-01
8.210649999999921420e+03,9.920400031102536431e-01
8.210651999999920008e+03,9.919330943225941333e-01
8.210653999999920416e+03,9.918274695567257382e-01
8.210655999999919004e+03,9.917232853483933797e-01
8.210657999999919411e+03,9.916206994256390184e-01
8.210659999999918000e+03,9.915198702854041146e-01
8.210661999999918407e+03,9.914209567264953282e-01
8.210663999999916996e+03,9.913241173362689063e-01
8.210665999999917403e+03,9.912295099594815584e-01
8.210667999999915992e+03,9.911372911722957646e-01
8.210669999999916399e+03,9.910476157954214438e-01
8.210671999999914988e+03,9.909606364579629512e-01
8.210673999999915395e+03,9.908765032111224169e-01
8.210675999999913984e+03,9.907953631728951827e-01
8.210677999999914391e+03,9.907173601790172368e-01
8.210679999999912980e+03,9.906426344204376511e-01
8.210681999999913387e+03,9.905713220471464853e-01
8.210683999999911975e+03,9.905035547329487100e-01
8.210685999999912383e+03,9.904394591903444844e-01
8.210687999999910971e+03,9.903791566515837141e-01
8.210689999999911379e+03,9.903227623316306349e-01
8.210691999999909967e+03,9.902703849205848341e-01
8.210693999999910375e+03,9.902221261415969922e-01
8.210695999999908963e+03,9.901780804111216527e-01
8.210697999999909371e+03,9.901383346014400733e-01
8.210699999999907959e+03,9.901029678875927775e-01
8.210701999999908367e+03,9.900720516369297952e-01
8.210703999999906955e+03,9.900456493043476858e-01
8.210705999999907363e+03,9.900238163021363169e-01
8.210707999999905951e+03,9.900065998279082846e-01
8.210709999999906358e+03,9.899940386482810606e-01
8.210711999999904947e+03,9.899861628423084481e-01
8.210713999999905354e+03,9.899829935332129516e-01
8.210715999999903943e+03,9.899845426410368576e-01
8.210717999999904350e+03,9.899908127091325838e-01
8.210719999999902939e+03,9.900017968375554034e-01
8.210721999999903346e+03,9.900174787447201252e-01
8.210723999999901935e+03,9.900378329359916796e-01
8.210725999999902342e+03,9.900628249461328467e-01
8.210727999999900931e+03,9.900924116023357424e-01
8.210729999999901338e+03,9.901265412751806272e-01
8.210731999999899926e+03,9.901651540886570180e-01
8.210733999999900334e+03,9.902081820856750705e-01
8.210735999999898922e+03,9.902555493513259810e-01
8.210737999999899330e+03,9.903071721107901126e-01
8.210739999999897918e+03,9.903629588323465960e-01
8.210741999999898326e+03,9.904228103721028909e-01
8.210743999999896914e+03,9.904866202012833076e-01
8.210745999999897322e+03,9.905542747337078291e-01
8.210747999999895910e+03,9.906256537534036122e-01
8.210749999999896318e+03,9.907006309059060989e-01
8.210751999999894906e+03,9.907790742177370324e-01
8.210753999999895314e+03,9.908608465968915535e-01
8.210755999999893902e+03,9.909458062991606253e-01
8.210757999999894309e+03,9.910338073444565632e-01
8.210759999999892898e+03,9.911246998949214682e-01
8.210761999999893305e+03,9.912183306003300443e-01
8.210763999999891894e+03,9.913145429316146950e-01
8.210765999999892301e+03,9.914131775211663111e-01
8.210767999999890890e+03,9.915140725340350070e-01
8.210769999999891297e+03,9.916170640871515563e-01
8.210771999999889886e+03,9.917219867170183889e-01
8.210773999999890293e+03,9.918286738841214367e-01
8.210775999999888882e+03,9.919369584812439689e-01
8.210777999999889289e+03,9.920466733239052814e-01
8.210779999999887877e+03,9.921576515958149267e-01
8.210781999999888285e+03,9.922697272533700374e-01
8.210783999999886873e+03,9.923827353878464930e-01
8.210785999999887281e+03,9.924965125662220666e-01
8.210787999999885869e+03,9.926108971563428751e-01
8.210789999999886277e+03,9.927257296512778106e-01
8.210791999999884865e+03,9.928408529917277514e-01
8.210793999999885273e+03,9.929561128881243537e-01
8.210795999999883861e+03,9.930713581349176478e-01
8.210797999999884269e+03,9.931864409082609146e-01
8.210799999999882857e+03,9.933012170395846274e-01
8.210801999999883265e+03,9.934155462549106863e-01
8.210803999999881853e+03,9.935292923819319943e-01
8.210805999999882260e+03,9.936423235221188976e-01
8.210807999999880849e+03,9.937545122021960164e-01
8.210809999999881256e+03,9.938657355097877399e-01
8.210811999999879845e+03,9.939758752304219680e-01
8.210813999999880252e+03,9.940848179856642819e-01
8.210815999999878841e+03,9.941924553751657623e-01
8.210817999999879248e+03,9.942986841052736668e-01
8.210819999999877837e+03,9.944034060898460092e-01
8.210821999999878244e+03,9.945065285042903325e-01
8.210823999999876833e+03,9.946079637870819390e-01
8.210825999999877240e+03,9.947076295931499557e-01
8.210827999999875829e+03,9.948054487130243428e-01
8.210829999999876236e+03,9.949013489766264096e-01
8.210831999999874824e+03,9.949952631555478710e-01
8.210833999999875232e+03,9.950871288779649104e-01
8.210835999999873820e+03,9.951768885601591785e-01
8.210837999999874228e+03,9.952644893608695309e-01
8.210839999999872816e+03,9.953498831493585719e-01
8.210841999999873224e+03,9.954330264779710502e-01
8.210843999999871812e+03,9.955138805340690844e-01
8.210845999999872220e+03,9.955924110536057414e-01
8.210847999999870808e+03,9.956685881800874105e-01
8.210849999999871216e+03,9.957423862734254838e-01
8.210851999999869804e+03,9.958137836823911515e-01
8.210853999999870211e+03,9.958827625065580502e-01
8.210855999999868800e+03,9.959493083689247017e-01
8.210857999999869207e+03,9.960134102169491133e-01
8.210859999999867796e+03,9.960750601603637344e-01
8.210861999999868203e+03,9.961342533469410565e-01
8.210863999999866792e+03,9.961909878733850032e-01
8.210865999999867199e+03,9.962452647159143471e-01
8.210867999999865788e+03,9.962970876636200179e-01
8.210869999999866195e+03,9.963464632278244970e-01
8.210871999999864784e+03,9.963934005126034998e-01
8.210873999999865191e+03,9.964379110376038184e-01
8.210875999999863780e+03,9.964800085266717344e-01
8.210877999999864187e+03,9.965197086797709103e-01
8.210879999999862775e+03,9.965570289553682404e-01
8.210881999999863183e+03,9.965919883786473754e-01
8.210883999999861771e+03,9.966246073891635859e-01
8.210885999999862179e+03,9.966549077298798576e-01
8.210887999999860767e+03,9.966829123756832942e-01
8.210889999999861175e+03,9.967086454935945028e-01
8.210891999999859763e+03,9.967321324163780361e-01
8.210893999999860171e+03,9.967533996097817095e-01
8.210895999999858759e+03,9.967724746084438703e-01
8.210897999999859167e+03,9.967893859103243992e-01
8.210899999999857755e+03,9.968041628274695309e-01
8.210901999999858162e+03,9.968168353116128033e-01
8.210903999999856751e+03,9.968274337718797673e-01
8.210905999999857158e+03,9.968359889077548219e-01
8.210907999999855747e+03,9.968425315654825258e-01
8.210909999999856154e+03,9.968470926256254305e-01
8.210911999999854743e+03,9.968497029196659032e-01
8.210913999999855150e+03,9.968503931720871236e-01
8.210915999999853739e+03,9.968491939592615259e-01
8.210917999999854146e+03,9.968461356672821960e-01
8.210919999999852735e+03,9.968412484302147103e-01
8.210921999999853142e+03,9.968345620277161423e-01
8.210923999999851731e+03,9.968261057368396072e-01
8.210925999999852138e+03,9.968159081410901123e-01
8.210927999999850726e+03,9.968039969174690151e-01
8.210929999999851134e+03,9.967903986180007836e-01
8.210931999999849722e+03,9.967751384646088564e-01
8.210933999999850130e+03,9.967582401616245091e-01
8.210935999999848718e+03,9.967397257294785540e-01
8.210937999999849126e+03,9.967196153571811212e-01
8.210939999999847714e+03,9.966979272696296910e-01
8.210941999999848122e+03,9.966746776039339117e-01
8.210943999999846710e+03,9.966498802798545720e-01
8.210945999999847118e+03,9.966235468514658136e-01
8.210947999999845706e+03,9.965956863245692965e-01
8.210949999999846113e+03,9.965663049400619311e-01
8.210951999999844702e+03,9.965354059292902411e-01
8.210953999999845109e+03,9.965029892619801100e-01
8.210955999999843698e+03,9.964690514024677759e-01
8.210957999999844105e+03,9.964335850907276582e-01
8.210959999999842694e+03,9.963965791544145967e-01
8.210961999999843101e+03,9.963580183555864611e-01
8.210963999999841690e+03,9.963178832746120150e-01
8.210965999999842097e+03,9.962761502271606506e-01
8.210967999999840686e+03,9.962327912118844608e-01
8.210969999999841093e+03,9.961877738732874965e-01
8.210971999999839682e+03,9.961410614703077870e-01
8.210973999999840089e+03,9.960926128368543520e-01
8.210975999999838677e+03,9.960423823375222918e-01
8.210977999999839085e+03,9.959903198257655799e-01
8.210979999999837673e+03,9.959363706246575632e-01
8.210981999999838081e+03,9.958804755470866965e-01
8.210983999999836669e+03,9.958225709718546703e-01
8.210985999999837077e+03,9.957625889875326708e-01
8.210987999999835665e+03,9.957004576091041947e-01
8.210989999999836073e+03,9.956361010742613704e-01
8.210991999999834661e+03,9.955694402091287420e-01
8.210993999999835069e+03,9.955003928551231507e-01
8.210995999999833657e+03,9.954288743285898411e-01
8.210997999999834065e+03,9.953547978956304165e-01
8.210999999999832653e+03,9.952780752424370547e-01
8.211001999999833060e+03,9.951986169447653019e-01
8.211003999999831649e+03,9.951163329468128982e-01
8.211005999999832056e+03,9.950311330729734172e-01
8.211007999999830645e+03,9.949429275922898608e-01
8.211009999999831052e+03,9.948516278523578116e-01
8.211011999999829641e+03,9.947571469946812073e-01
8.211013999999830048e+03,9.946594007515440206e-01
8.211015999999828637e+03,9.945583083220982390e-01
8.211017999999829044e+03,9.944537933001845742e-01
8.211019999999827633e+03,9.943457846239646125e-01
8.211021999999828040e+03,9.942342174995144610e-01
8.211023999999826628e+03,9.941190342684055326e-01
8.211025999999827036e+03,9.940001851991410176e-01
8.211027999999825624e+03,9.938776292137652124e-01
8.211029999999826032e+03,9.937513345689015232e-01
8.211031999999824620e+03,9.936212795214711679e-01
8.211033999999825028e+03,9.934874529960238121e-01
8.211035999999823616e+03,9.933498552662703984e-01
8.211037999999824024e+03,9.932084986492177858e-01
8.211039999999822612e+03,9.930634082029407006e-01
8.211041999999823020e+03,9.929146224059554049e-01
8.211043999999821608e+03,9.927621937801934804e-01
8.211045999999822016e+03,9.926061894115592033e-01
8.211047999999820604e+03,9.924466913219370801e-01
8.211049999999821011e+03,9.922837966693459633e-01
8.211051999999819600e+03,9.921176177757965453e-01
8.211053999999820007e+03,9.919482820137117685e-01
8.211055999999818596e+03,9.917759315812094689e-01
8.211057999999819003e+03,9.916007232013769324e-01
8.211059999999817592e+03,9.914228277495971131e-01
8.211061999999817999e+03,9.912424298127039402e-01
8.211063999999816588e+03,9.910597271576341294e-01
8.211065999999816995e+03,9.908749300989548869e-01
