wavelength_air_A,flux
8.670018481532100850e+03,9.638999999999999790e-01
8.670028478827649451e+03,9.634000000000000341e-01
8.670038476123198052e+03,9.627999999999999892e-01
8.670048473418746653e+03,9.620999999999999552e-01
8.670058470714295254e+03,9.610999999999999543e-01
8.670068468009843855e+03,9.598999999999999755e-01
8.670078465305390637e+03,9.583000000000000407e-01
8.670088462600939238e+03,9.566999999999999948e-01
8.670098459896489658e+03,9.547999999999999821e-01
8.670108457192038259e+03,9.525000000000000133e-01
8.670118454487586860e+03,9.500999999999999446e-01
8.670128451783135461e+03,9.475999999999999979e-01
8.670138449078682243e+03,9.452000000000000401e-01
8.670148446374230844e+03,9.431000000000000494e-01
8.670158443669779444e+03,9.413000000000000256e-01
8.670168440965326226e+03,9.397999999999999687e-01
8.670178438260873008e+03,9.385999999999999899e-01
8.670188435556423428e+03,9.378999999999999559e-01
8.670198432851970210e+03,9.377999999999999670e-01
8.670208430147518811e+03,9.382000000000000339e-01
8.670218427443065593e+03,9.392000000000000348e-01
8.670228424738614194e+03,9.405999999999999917e-01
8.670238422034159157e+03,9.424000000000000155e-01
8.670248419329709577e+03,9.444000000000000172e-01
8.670258416625256359e+03,9.465000000000000080e-01
8.670268413920803141e+03,9.486999999999999877e-01
8.670278411216351742e+03,9.507999999999999785e-01
8.670288408511898524e+03,9.527999999999999803e-01
8.670298405807447125e+03,9.546000000000000041e-01
8.670308403102993907e+03,9.562000000000000499e-01
8.670318400398542508e+03,9.576999999999999957e-01
8.670328397694087471e+03,9.592000000000000526e-01
8.670338394989636072e+03,9.603000000000000425e-01
8.670348392285182854e+03,9.610999999999999543e-01
8.670358389580729636e+03,9.616000000000000103e-01
8.670368386876276418e+03,9.618999999999999773e-01
8.670378384171823200e+03,9.620999999999999552e-01
8.670388381467369982e+03,9.623000000000000442e-01
8.670398378762918583e+03,9.623000000000000442e-01
8.670408376058465365e+03,9.622000000000000552e-01
8.670418373354010328e+03,9.619999999999999662e-01
8.670428370649557110e+03,9.616999999999999993e-01
8.670438367945105711e+03,9.612000000000000544e-01
8.670448365240650674e+03,9.604000000000000314e-01
8.670458362536195636e+03,9.590999999999999526e-01
8.670468359831744237e+03,9.575000000000000178e-01
8.670478357127289200e+03,9.557999999999999829e-01
8.670488354422837801e+03,9.538999999999999702e-01
8.670498351718386402e+03,9.518999999999999684e-01
8.670508349013929546e+03,9.494000000000000217e-01
8.670518346309474509e+03,9.465999999999999970e-01
8.670528343605021291e+03,9.436999999999999833e-01
8.670538340900569892e+03,9.405999999999999917e-01
8.670548338196114855e+03,9.375000000000000000e-01
8.670558335491661637e+03,9.343000000000000194e-01
8.670568332787206600e+03,9.313000000000000167e-01
8.670578330082751563e+03,9.285999999999999810e-01
8.670588327378300164e+03,9.264000000000000012e-01
8.670598324673843308e+03,9.246999999999999664e-01
8.670608321969390090e+03,9.236999999999999655e-01
8.670618319264935053e+03,9.231000000000000316e-01
8.670628316560480016e+03,9.230000000000000426e-01
8.670638313856026798e+03,9.234999999999999876e-01
8.670648311151575399e+03,9.244999999999999885e-01
8.670658308447118543e+03,9.257999999999999563e-01
8.670668305742663506e+03,9.274000000000000021e-01
8.670678303038210288e+03,9.292000000000000259e-01
8.670688300333753432e+03,9.311000000000000387e-01
8.670698297629298395e+03,9.328999999999999515e-01
8.670708294924845177e+03,9.348999999999999533e-01
8.670718292220388321e+03,9.370000000000000551e-01
8.670728289515936922e+03,9.393000000000000238e-01
8.670738286811480066e+03,9.416999999999999815e-01
8.670748284107025029e+03,9.438999999999999613e-01
8.670758281402569992e+03,9.459999999999999520e-01
8.670768278698116774e+03,9.477999999999999758e-01
8.670778275993661737e+03,9.495000000000000107e-01
8.670788273289206700e+03,9.512000000000000455e-01
8.670798270584749844e+03,9.527999999999999803e-01
8.670808267880294807e+03,9.544000000000000261e-01
8.670818265175841589e+03,9.558999999999999719e-01
8.670828262471386552e+03,9.572000000000000508e-01
8.670838259766927877e+03,9.582000000000000517e-01
8.670848257062474659e+03,9.589999999999999636e-01
8.670858254358017803e+03,9.596999999999999975e-01
8.670868251653562766e+03,9.605000000000000204e-01
8.670878248949109548e+03,9.610999999999999543e-01
8.670888246244652692e+03,9.614000000000000323e-01
8.670898243540194017e+03,9.616000000000000103e-01
8.670908240835740799e+03,9.616999999999999993e-01
8.670918238131285761e+03,9.617999999999999883e-01
8.670928235426828905e+03,9.616999999999999993e-01
8.670938232722372049e+03,9.614000000000000323e-01
8.670948230017917012e+03,9.609999999999999654e-01
8.670958227313460156e+03,9.606000000000000094e-01
8.670968224609006938e+03,9.600999999999999535e-01
8.670978221904551901e+03,9.596999999999999975e-01
8.670988219200091407e+03,9.594000000000000306e-01
8.670998216495636370e+03,9.590999999999999526e-01
8.671008213791183152e+03,9.589999999999999636e-01
8.671018211086724477e+03,9.588999999999999746e-01
8.671028208382267621e+03,9.586999999999999966e-01
8.671038205677812584e+03,9.585000000000000187e-01
8.671048202973353909e+03,9.584000000000000297e-01
8.671058200268900691e+03,9.583000000000000407e-01
8.671068197564445654e+03,9.584000000000000297e-01
8.671078194859985160e+03,9.586000000000000076e-01
8.671088192155530123e+03,9.586999999999999966e-01
8.671098189451073267e+03,9.587999999999999856e-01
8.671108186746618230e+03,9.587999999999999856e-01
8.671118184042159555e+03,9.586999999999999966e-01
8.671128181337704518e+03,9.586000000000000076e-01
8.671138178633247662e+03,9.584000000000000297e-01
8.671148175928788987e+03,9.582000000000000517e-01
8.671158173224333950e+03,9.577999999999999847e-01
8.671168170519873456e+03,9.574000000000000288e-01
8.671178167815418419e+03,9.566999999999999948e-01
8.671188165110959744e+03,9.556999999999999940e-01
8.671198162406502888e+03,9.543000000000000371e-01
8.671208159702046032e+03,9.526999999999999913e-01
8.671218156997590995e+03,9.508999999999999675e-01
8.671228154293134139e+03,9.488999999999999657e-01
8.671238151588675464e+03,9.468999999999999639e-01
8.671248148884216789e+03,9.448999999999999622e-01
8.671258146179758114e+03,9.428999999999999604e-01
8.671268143475303077e+03,9.407999999999999696e-01
8.671278140770844402e+03,9.389999999999999458e-01
8.671288138066387546e+03,9.374000000000000110e-01
8.671298135361930690e+03,9.362000000000000322e-01
8.671308132657472015e+03,9.354999999999999982e-01
8.671318129953015159e+03,9.354999999999999982e-01
8.671328127248554665e+03,9.358999999999999542e-01
8.671338124544095990e+03,9.368999999999999551e-01
8.671348121839639134e+03,9.383000000000000229e-01
8.671358119135182278e+03,9.398999999999999577e-01
8.671368116430725422e+03,9.417999999999999705e-01
8.671378113726268566e+03,9.436999999999999833e-01
8.671388111021808072e+03,9.456999999999999851e-01
8.671398108317351216e+03,9.476999999999999869e-01
8.671408105612892541e+03,9.495999999999999996e-01
8.671418102908433866e+03,9.515000000000000124e-01
8.671428100203975191e+03,9.534000000000000252e-01
8.671438097499516516e+03,9.549999999999999600e-01
8.671448094795057841e+03,9.566999999999999948e-01
8.671458092090599166e+03,9.582000000000000517e-01
8.671468089386142310e+03,9.595000000000000195e-01
8.671478086681683635e+03,9.606999999999999984e-01
8.671488083977223141e+03,9.616000000000000103e-01
8.671498081272768104e+03,9.625000000000000222e-01
8.671508078568307610e+03,9.633000000000000451e-01
8.671518075863848935e+03,9.639999999999999680e-01
8.671528073159388441e+03,9.647000000000000020e-01
8.671538070454931585e+03,9.653000000000000469e-01
8.671548067750471091e+03,9.656000000000000139e-01
8.671558065046012416e+03,9.657999999999999918e-01
8.671568062341553741e+03,9.657000000000000028e-01
8.671578059637093247e+03,9.657000000000000028e-01
8.671588056932638210e+03,9.657000000000000028e-01
8.671598054228175897e+03,9.658999999999999808e-01
8.671608051523717222e+03,9.661999999999999478e-01
8.671618048819258547e+03,9.664000000000000368e-01
8.671628046114799872e+03,9.664000000000000368e-01
8.671638043410339378e+03,9.664000000000000368e-01
8.671648040705878884e+03,9.663000000000000478e-01
8.671658038001420209e+03,9.660999999999999588e-01
8.671668035296959715e+03,9.657999999999999918e-01
8.671678032592501040e+03,9.656000000000000139e-01
8.671688029888042365e+03,9.650999999999999579e-01
8.671698027183581871e+03,9.641999999999999460e-01
8.671708024479121377e+03,9.628999999999999782e-01
8.671718021774662702e+03,9.614000000000000323e-01
8.671728019070200389e+03,9.595000000000000195e-01
8.671738016365745352e+03,9.569999999999999618e-01
8.671748013661284858e+03,9.537999999999999812e-01
8.671758010956824364e+03,9.497999999999999776e-01
8.671768008252363870e+03,9.447999999999999732e-01
8.671778005547903376e+03,9.391000000000000458e-01
8.671788002843442882e+03,9.324999999999999956e-01
8.671798000138982388e+03,9.253000000000000114e-01
8.671807997434521894e+03,9.176999999999999602e-01
8.671817994730061400e+03,9.099000000000000421e-01
8.671827992025604544e+03,9.024999999999999689e-01
8.671837989321142231e+03,8.959000000000000297e-01
8.671847986616681737e+03,8.905999999999999472e-01
8.671857983912221243e+03,8.867000000000000437e-01
8.671867981207758930e+03,8.847000000000000419e-01
8.671877978503300255e+03,8.847000000000000419e-01
8.671887975798839761e+03,8.864999999999999547e-01
8.671897973094377448e+03,8.901000000000000023e-01
8.671907970389916954e+03,8.950000000000000178e-01
8.671917967685456460e+03,9.006999999999999451e-01
8.671927964980997785e+03,9.069000000000000394e-01
8.671937962276533653e+03,9.131000000000000227e-01
8.671947959572073160e+03,9.189000000000000501e-01
8.671957956867612666e+03,9.243000000000000105e-01
8.671967954163150353e+03,9.293000000000000149e-01
8.671977951458689859e+03,9.338999999999999524e-01
8.671987948754229365e+03,9.378999999999999559e-01
8.671997946049767052e+03,9.415000000000000036e-01
8.672007943345306558e+03,9.445000000000000062e-01
8.672017940640847883e+03,9.471000000000000529e-01
8.672027937936383751e+03,9.493000000000000327e-01
8.672037935231921438e+03,9.510999999999999455e-01
8.672047932527462763e+03,9.526000000000000023e-01
8.672057929822998631e+03,9.539999999999999591e-01
8.672067927118539956e+03,9.552000000000000490e-01
8.672077924414077643e+03,9.562000000000000499e-01
8.672087921709615330e+03,9.568999999999999728e-01
8.672097919005153017e+03,9.575000000000000178e-01
8.672107916300692523e+03,9.580999999999999517e-01
8.672117913596232029e+03,9.587999999999999856e-01
8.672127910891769716e+03,9.595000000000000195e-01
8.672137908187307403e+03,9.600999999999999535e-01
8.672147905482843271e+03,9.605000000000000204e-01
8.672157902778380958e+03,9.607999999999999874e-01
8.672167900073920464e+03,9.610999999999999543e-01
8.672177897369458151e+03,9.615000000000000213e-01
8.672187894664995838e+03,9.618999999999999773e-01
8.672197891960533525e+03,9.626000000000000112e-01
8.672207889256071212e+03,9.634000000000000341e-01
8.672217886551610718e+03,9.643000000000000460e-01
8.672227883847148405e+03,9.651999999999999469e-01
8.672237881142682454e+03,9.661999999999999478e-01
8.672247878438220141e+03,9.673000000000000487e-01
8.672257875733761466e+03,9.683000000000000496e-01
8.672267873029297334e+03,9.691999999999999504e-01
8.672277870324835021e+03,9.700999999999999623e-01
8.672287867620372708e+03,9.709999999999999742e-01
8.672297864915908576e+03,9.717999999999999972e-01
8.672307862211448082e+03,9.725000000000000311e-01
8.672317859506983950e+03,9.729999999999999760e-01
8.672327856802519818e+03,9.735000000000000320e-01
8.672337854098059324e+03,9.738999999999999879e-01
8.672347851393597011e+03,9.743000000000000549e-01
8.672357848689131060e+03,9.745000000000000329e-01
8.672367845984668747e+03,9.746000000000000218e-01
8.672377843280206434e+03,9.747000000000000108e-01
8.672387840575744121e+03,9.747999999999999998e-01
8.672397837871278170e+03,9.749999999999999778e-01
8.672407835166817677e+03,9.752999999999999448e-01
8.672417832462353545e+03,9.755000000000000338e-01
8.672427829757891232e+03,9.755000000000000338e-01
8.672437827053425281e+03,9.752999999999999448e-01
8.672447824348964787e+03,9.751999999999999558e-01
8.672457821644500655e+03,9.750999999999999668e-01
8.672467818940036523e+03,9.749999999999999778e-01
8.672477816235572391e+03,9.747999999999999998e-01
8.672487813531108259e+03,9.745000000000000329e-01
8.672497810826647765e+03,9.739999999999999769e-01
8.672507808122181814e+03,9.734000000000000430e-01
8.672517805417717682e+03,9.727000000000000091e-01
8.672527802713255369e+03,9.717999999999999972e-01
8.672537800008789418e+03,9.707999999999999963e-01
8.672547797304325286e+03,9.699999999999999734e-01
8.672557794599862973e+03,9.691999999999999504e-01
8.672567791895398841e+03,9.685000000000000275e-01
8.672577789190932890e+03,9.680999999999999606e-01
8.672587786486468758e+03,9.678999999999999826e-01
8.672597783782006445e+03,9.677999999999999936e-01
8.672607781077540494e+03,9.680999999999999606e-01
8.672617778373076362e+03,9.687000000000000055e-01
8.672627775668614049e+03,9.695000000000000284e-01
8.672637772964149917e+03,9.704000000000000403e-01
8.672647770259685785e+03,9.715000000000000302e-01
8.672657767555219834e+03,9.726000000000000201e-01
8.672667764850755702e+03,9.735000000000000320e-01
8.672677762146289751e+03,9.743000000000000549e-01
8.672687759441823800e+03,9.749999999999999778e-01
8.672697756737361487e+03,9.757000000000000117e-01
8.672707754032895537e+03,9.762999999999999456e-01
8.672717751328431405e+03,9.767000000000000126e-01
8.672727748623969092e+03,9.768999999999999906e-01
8.672737745919499503e+03,9.768999999999999906e-01
8.672747743215037190e+03,9.768999999999999906e-01
8.672757740510571239e+03,9.768999999999999906e-01
8.672767737806107107e+03,9.767000000000000126e-01
8.672777735101641156e+03,9.764000000000000457e-01
8.672787732397177024e+03,9.758000000000000007e-01
8.672797729692712892e+03,9.752999999999999448e-01
8.672807726988246941e+03,9.747000000000000108e-01
8.672817724283782809e+03,9.740999999999999659e-01
8.672827721579315039e+03,9.730999999999999650e-01
8.672837718874850907e+03,9.719999999999999751e-01
8.672847716170383137e+03,9.710999999999999632e-01
8.672857713465919005e+03,9.706000000000000183e-01
8.672867710761453054e+03,9.704000000000000403e-01
8.672877708056987103e+03,9.705000000000000293e-01
8.672887705352522971e+03,9.707000000000000073e-01
8.672897702648057020e+03,9.708999999999999853e-01
8.672907699943591069e+03,9.710999999999999632e-01
8.672917697239125118e+03,9.713000000000000522e-01
8.672927694534657348e+03,9.715000000000000302e-01
8.672937691830193216e+03,9.717000000000000082e-01
8.672947689125727265e+03,9.717999999999999972e-01
8.672957686421259496e+03,9.717999999999999972e-01
8.672967683716795364e+03,9.717999999999999972e-01
8.672977681012327594e+03,9.715000000000000302e-01
8.672987678307863462e+03,9.710999999999999632e-01
8.672997675603397511e+03,9.707000000000000073e-01
8.673007672898931560e+03,9.705000000000000293e-01
8.673017670194463790e+03,9.705000000000000293e-01
8.673027667489996020e+03,9.707000000000000073e-01
8.673037664785531888e+03,9.709999999999999742e-01
