wavelength_air_A,flux
8207.073659377076,0.9759
8207.083656675166,0.978
8207.093653973256,0.98
8207.103651271349,0.9819
8207.11364856944,0.9836
8207.12364586753,0.9849
8207.133643165622,0.986
8207.143640463715,0.9869
8207.153637761805,0.9876
8207.163635059896,0.988
8207.173632357986,0.9883
8207.183629656076,0.9885
8207.19362695417,0.9885
8207.20362425226,0.9885
8207.213621550349,0.9885
8207.22361884844,0.9885
8207.23361614653,0.9886
8207.243613444622,0.9887
8207.253610742713,0.9889
8207.263608040803,0.9891
8207.273605338893,0.9892
8207.283602636984,0.9892
8207.293599935076,0.9893
8207.303597233164,0.9895
8207.313594531255,0.9896
8207.323591829345,0.9897
8207.333589127435,0.9897
8207.343586425524,0.9897
8207.353583723616,0.9898
8207.363581021704,0.9898
8207.373578319794,0.9896
8207.383575617885,0.9892
8207.393572915973,0.9889
8207.403570214063,0.9887
8207.413567512152,0.9885
8207.423564810242,0.9883
8207.433562108332,0.9878
8207.443559406423,0.9872
8207.45355670451,0.9866
8207.4635540026,0.9859
8207.473551300689,0.9851
8207.483548598779,0.9842
8207.493545896867,0.983
8207.503543194956,0.9816
8207.513540493046,0.9798
8207.523537791134,0.9778
8207.533535089224,0.9756
8207.543532387312,0.9731
8207.553529685401,0.9698
8207.56352698349,0.9655
8207.573524281577,0.96
8207.583521579667,0.9539
8207.593518877755,0.9467
8207.603516175843,0.9379
8207.61351347393,0.927
8207.62351077202,0.9135
8207.633508070106,0.8968
8207.643505368196,0.8771
8207.653502666284,0.8544
8207.663499964374,0.829
8207.673497262462,0.8012
8207.68349456055,0.7716
8207.693491858638,0.7413
8207.703489156722,0.7115
8207.713486454812,0.6836
8207.7234837529,0.6592
8207.733481050987,0.6398
8207.743478349073,0.6273
8207.753475647161,0.6226
8207.763472945251,0.6262
8207.773470243339,0.638
8207.783467541425,0.6575
8207.793464839513,0.6825
8207.8034621376,0.7114
8207.813459435687,0.7422
8207.823456733773,0.7732
8207.833454031861,0.803
8207.843451329949,0.8307
8207.853448628033,0.8554
8207.86344592612,0.8772
8207.873443224209,0.8959
8207.883440522295,0.9119
8207.893437820381,0.9253
8207.90343511847,0.9366
8207.913432416555,0.9461
8207.923429714641,0.9538
8207.93342701273,0.9602
8207.943424310815,0.9652
8207.953421608901,0.9694
8207.96341890699,0.9728
8207.973416205074,0.9756
8207.983413503158,0.978
8207.993410801246,0.9796
