wavelength_air_A,flux
8214.3384,0.97627
8214.3481,0.972795
8214.3573,0.966626
8214.3671,0.960762
8214.3768,0.955612
8214.3866,0.95428
8214.3958,0.961994
8214.4055,0.981406
8214.4153,1.004425
8214.4244,1.024329
8214.4342,1.036932
8214.444,1.041348
8214.4537,1.039803
8214.4629,1.035718
8214.4727,1.02901
8214.4824,1.022787
8214.4922,1.016984
8214.5013,1.011773
8214.5111,1.007199
8214.5209,1.004492
8214.53,1.00277
8214.5398,1.00119
8214.5496,1.000217
8214.5593,0.999064
8214.5685,0.997638
8214.5782,0.996433
8214.588,0.995746
8214.5972,0.994867
8214.6069,0.993499
8214.6167,0.992249
8214.6265,0.990762
8214.6356,0.989064
8214.6454,0.98773
8214.6552,0.986461
8214.6643,0.985686
8214.6741,0.9854
8214.6838,0.983894
8214.6936,0.981732
8214.7028,0.980144
8214.7125,0.977413
8214.7223,0.973822
8214.7321,0.971062
8214.7412,0.968334
8214.751,0.965705
8214.7607,0.96465
8214.7699,0.964741
8214.7797,0.965246
8214.7894,0.965912
8214.7992,0.966913
8214.8083,0.968988
8214.8181,0.970929
8214.8279,0.972303
8214.837,0.974741
8214.8468,0.977134
8214.8566,0.978149
8214.8663,0.979526
8214.8755,0.981002
8214.8853,0.981332
8214.895,0.981544
8214.9048,0.98171
8214.9139,0.981191
8214.9237,0.980417
8214.9335,0.979116
8214.9426,0.977419
8214.9524,0.975766
8214.9622,0.973382
8214.9719,0.970155
8214.9811,0.966457
8214.9908,0.962158
8215.0006,0.957116
8215.0098,0.950547
8215.0195,0.942767
8215.0293,0.935221
8215.0391,0.926771
8215.0482,0.915947
8215.058,0.904908
8215.0677,0.89412
8215.0775,0.883067
8215.0867,0.873569
8215.0964,0.866789
8215.1062,0.86141
8215.1154,0.857422
8215.1251,0.854385
8215.1349,0.851512
8215.1447,0.85019
8215.1538,0.850768
8215.1636,0.851599
8215.1733,0.853892
8215.1825,0.858523
8215.1923,0.863602
8215.202,0.869323
8215.2118,0.876705
8215.2209,0.884158
8215.2307,0.891203
8215.2405,0.898918
8215.2502,0.906136
8215.2594,0.912565
8215.2692,0.91988
8215.2789,0.927951
8215.2881,0.935332
8215.2979,0.942103
8215.3076,0.948743
8215.3174,0.954932
8215.3265,0.960632
8215.3363,0.965734
8215.3461,0.970179
8215.3558,0.97388
8215.365,0.976564
8215.3748,0.978822
8215.3845,0.981677
8215.3937,0.984134
8215.4034,0.985219
8215.4132,0.986241
8215.423,0.98754
8215.4321,0.988406
8215.4419,0.989326
8215.4517,0.989875
8215.4608,0.989743
8215.4706,0.990335
8215.4803,0.991085
8215.4901,0.990806
8215.4993,0.990624
8215.509,0.990725
8215.5188,0.990829
8215.5286,0.991559
8215.5377,0.991771
8215.5475,0.990941
8215.5573,0.990775
8215.5664,0.991276
8215.5762,0.991556
8215.5859,0.991888
