# air_wavelength_A  corrected_residual_flux  transmission
# RYA-940 telluric-corrected 1984 Kitt Peak atlas. NaN = quarantined (transmission < T_min=0.0873), never divided.
  6245.00430       0.998787   0.992995
  6245.01160       0.999542   0.992995
  6245.01890       0.999774   0.992994
  6245.02560       1.000097   0.992994
  6245.03300       1.000571   0.992993
  6245.03970       1.000713   0.992992
  6245.04700       1.000633   0.992992
  6245.05430       1.000714   0.992991
  6245.06100       1.000956   0.992990
  6245.06840       1.001058   0.992990
  6245.07510       1.000917   0.992989
  6245.08240       1.000827   0.992989
  6245.08970       1.000848   0.992988
  6245.09640       1.000698   0.992987
  6245.10380       1.000618   0.992987
  6245.11050       1.000880   0.992986
  6245.11780       1.000871   0.992985
  6245.12510       1.000267   0.992985
  6245.13180       0.999865   0.992984
  6245.13920       1.000017   0.992984
  6245.14590       1.000148   0.992983
  6245.15320       0.999927   0.992982
  6245.16050       0.999404   0.992982
  6245.16720       0.998780   0.992981
  6245.17460       0.998549   0.992981
  6245.18130       0.998540   0.992980
  6245.18860       0.998037   0.992979
  6245.19590       0.997343   0.992979
  6245.20260       0.997212   0.992978
  6245.21000       0.997213   0.992978
  6245.21670       0.997022   0.992977
  6245.22400       0.997264   0.992976
  6245.23130       0.997779   0.992976
  6245.23800       0.997830   0.992975
  6245.24540       0.997800   0.992975
  6245.25210       0.998153   0.992974
  6245.25940       0.998335   0.992973
  6245.26670       0.998416   0.992973
  6245.27340       0.998991   0.992972
  6245.28080       0.999586   0.992972
  6245.28810       0.999647   0.992971
  6245.29480       0.999667   0.992970
  6245.30210       0.999809   0.992970
  6245.30880       0.999588   0.992969
  6245.31620       0.999347   0.992968
  6245.32350       0.999569   0.992968
  6245.33020       0.999670   0.992967
  6245.33750       0.999319   0.992967
  6245.34420       0.999198   0.992966
  6245.35160       0.999390   0.992965
  6245.35890       0.999230   0.992965
  6245.36560       0.998797   0.992964
  6245.37290       0.998687   0.992964
  6245.37960       0.998859   0.992963
  6245.38700       0.998870   0.992962
  6245.39430       0.998699   0.992962
  6245.40100       0.998669   0.992961
  6245.40830       0.998902   0.992961
  6245.41500       0.999265   0.992960
  6245.42240       0.999517   0.992959
  6245.42970       0.999457   0.992959
  6245.43640       0.999126   0.992958
  6245.44370       0.998884   0.992958
  6245.45040       0.998835   0.992957
  6245.45780       0.998543   0.992957
  6245.46510       0.997527   0.992956
  6245.47180       0.995997   0.992955
  6245.47910       0.994315   0.992955
  6245.48580       0.992231   0.992954
  6245.49320       0.989200   0.992953
  6245.50050       0.985102   0.992953
  6245.50720       0.979957   0.992952
  6245.51450       0.973139   0.992952
  6245.52120       0.963834   0.992951
  6245.52860       0.952193   0.992950
  6245.53590       0.938829   0.992950
  6245.54260       0.923391   0.992949
  6245.54990       0.905042   0.992949
  6245.55660       0.883964   0.992948
  6245.56400       0.861012   0.992948
  6245.57130       0.836802   0.992947
  6245.57800       0.812280   0.992946
  6245.58530       0.788764   0.992946
  6245.59200       0.767253   0.992945
  6245.59940       0.748572   0.992945
  6245.60670       0.734080   0.992944
  6245.61340       0.725016   0.992943
  6245.62070       0.721895   0.992943
  6245.62740       0.724816   0.992942
  6245.63480       0.733628   0.992942
  6245.64210       0.747658   0.992941
  6245.64880       0.765867   0.992940
  6245.65610       0.787077   0.992940
  6245.66350       0.810110   0.992939
  6245.67020       0.833687   0.992939
  6245.67750       0.856408   0.992938
  6245.68420       0.877487   0.992937
  6245.69150       0.897066   0.992937
  6245.69890       0.915074   0.992936
  6245.70560       0.930624   0.992936
  6245.71290       0.943456   0.992935
  6245.71960       0.954202   0.992934
  6245.72690       0.963166   0.992934
  6245.73430       0.970468   0.992933
  6245.74100       0.976562   0.992933
  6245.74830       0.981457   0.992932
  6245.75500       0.984932   0.992931
  6245.76230       0.987642   0.992931
  6245.76970       0.990140   0.992930
  6245.77640       0.991943   0.992930
