element,ion,wavelength_air_A,ew_mA,ew_err_mA,profile_type,chi2,blend_flag,notes
Fe,I,4800.649,72.5,1.6,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,4896.439,39.5,1.6,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,4910.017,89.7,1.4,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,4918.012,58.2,1.3,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,4918.994,229.9,2.2,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,4924.301,27.2,2.2,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,4938.814,130.7,1.5,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,4945.636,54.5,1.6,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,4957.596,393.0,3.6,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,4962.572,55.8,1.4,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,4966.088,128.3,1.8,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,4967.897,83.0,1.5,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,4969.917,78.9,1.6,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,4970.496,104.7,3.0,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,4977.648,35.8,2.0,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,4982.499,128.4,2.3,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,4984.605,21.3,1.9,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,4984.629,23.4,2.1,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,4985.983,26.5,2.0,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,4991.268,107.1,1.9,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5002.792,86.4,1.5,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5004.044,53.5,1.5,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5023.186,39.0,1.3,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5029.618,53.8,1.3,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5030.778,27.9,1.5,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5031.914,32.7,1.5,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5036.922,26.4,1.2,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5044.211,76.3,1.1,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5054.642,42.3,1.2,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5076.264,84.4,1.6,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5079.74,108.0,1.7,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5083.338,111.5,1.5,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5090.773,94.8,1.8,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5099.077,75.4,2.4,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5104.03,47.6,2.1,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5124.619,28.1,1.8,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5127.359,99.8,1.2,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5222.395,25.5,1.7,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5225.526,74.7,1.2,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5230.691,11.1,1.6,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5242.491,88.3,1.1,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5243.776,63.7,1.2,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5253.021,19.7,1.1,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5253.462,79.5,1.1,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5257.655,24.1,1.2,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5267.269,33.6,1.3,gaussian,,False,GES pre-stored solar EW — RYA-196
