source_record_id,wavelength_vac_A,Aul_s,branching_fraction,lifetime_ns,lifetime_unc_ns,lifetime_source,lifetime_kind,source_table,component_note
burheim2023_t1_01,6697.864,1300000.0,0.358,275,8,Buurman1986,experimental,Burheim2023 Table 1; loggf crosscheck Table 3,fine-structure transition total
burheim2023_t1_02,6700.522,1280000.0,0.352,275,8,Buurman1986,experimental,Burheim2023 Table 1; loggf crosscheck Table 3,fine-structure transition total
burheim2023_t1_03,11256.27,12900000.0,0.778,60.4,1.2,Papoulia2019,theoretical,Burheim2023 Table 1; loggf crosscheck Table 3,fine-structure transition total
burheim2023_t1_04,11258.008,14000000.0,0.843,60.4,1.2,Papoulia2019,theoretical,Burheim2023 Table 1; loggf crosscheck Table 3,fine-structure transition total
burheim2023_t1_05,12753.397,53100.0,0.015,275,8,Buurman1986,experimental,Burheim2023 Table 1; loggf crosscheck Table 3,fine-structure transition total
burheim2023_t1_06,12760.765,48800.0,0.013,275,8,Buurman1986,experimental,Burheim2023 Table 1; loggf crosscheck Table 3,fine-structure transition total
burheim2023_t1_07,13127.005,16500000.0,0.9998,60.5,0.9,BuurmanDonszelmann1990,experimental,Burheim2023 Table 1; loggf crosscheck Table 3,fine-structure transition total
burheim2023_t1_08,13154.35,15400000.0,0.9998,65,2,BuurmanDonszelmann1990,experimental,Burheim2023 Table 1; loggf crosscheck Table 3,fine-structure transition total
burheim2023_t1_09,38632.83,2030000.0,0.557,275,8,Buurman1986,experimental,Burheim2023 Table 1; loggf crosscheck Table 3,fine-structure transition total
burheim2023_t1_10,38721.19,2030000.0,0.558,275,8,Buurman1986,experimental,Burheim2023 Table 1; loggf crosscheck Table 3,fine-structure transition total
burheim2023_t1_11,41841.42,2570000.0,0.155,60.4,1.2,Papoulia2019,theoretical,Burheim2023 Table 1; loggf crosscheck Table 3,fine-structure transition total
burheim2023_t1_12,41920.7,2590000.0,0.157,60.4,1.2,Papoulia2019,theoretical,Burheim2023 Table 1; loggf crosscheck Table 3,omitted weak fine-structure blend included in published uncertainty
