species,ion,network,wavelength_air_A,elo_eV,eup_eV,delta_E_eV,loggf
Fe1,I,gt02,4787.830000,2.998000,5.586846,2.588846,-2.563000
Fe1,I,gt02,4788.760000,3.237000,5.825343,2.588343,-1.763000
Fe1,I,gt02,4802.880000,3.642000,6.222734,2.580734,-1.514000
Fe1,I,gt02,4808.150000,3.251000,5.828905,2.577905,-2.690000
Fe1,I,gt02,4869.460000,3.546000,6.091448,2.545448,-2.420000
Fe1,I,gt02,4875.880000,3.332000,5.874097,2.542097,-1.920000
Fe1,I,gt02,4877.600000,2.998000,5.539200,2.541200,-3.050000
Fe1,I,gt02,4907.730000,3.430000,5.955599,2.525599,-1.840000
Fe1,I,gt02,4924.770000,2.279000,4.795861,2.516861,-2.178000
Fe1,I,gt02,4946.390000,3.368000,5.873860,2.505860,-1.170000
Fe1,I,gt02,4950.110000,3.417000,5.920977,2.503977,-1.670000
Fe1,I,gt02,4962.570000,4.178000,6.675690,2.497690,-1.182000
Fe1,I,gt02,4969.920000,4.217000,6.710996,2.493996,-0.710000
Fe1,I,gt02,4985.550000,2.865000,5.351177,2.486177,-1.340000
Fe1,I,lt02,4994.130000,0.915000,3.396906,2.481906,-3.002000
Fe1,I,gt02,5001.860000,3.881000,6.359071,2.478071,-0.010000
Fe1,I,gt02,5012.690000,4.283000,6.755717,2.472717,-1.690000
Fe1,I,gt02,5044.210000,2.851000,5.308266,2.457266,-2.038000
Fe1,I,gt02,5049.820000,2.279000,4.733536,2.454536,-1.349000
Fe1,I,gt02,5058.500000,3.642000,6.092324,2.450324,-2.830000
Fe1,I,lt02,5060.080000,0.000000,2.449559,2.449559,-5.431000
Fe1,I,gt02,5088.150000,4.154000,6.590046,2.436046,-1.680000
Fe1,I,lt02,5107.450000,0.990000,3.416840,2.426840,-3.091000
Fe1,I,lt02,5107.640000,1.557000,3.983750,2.426750,-2.358000
Fe1,I,gt02,5109.650000,4.301000,6.726795,2.425795,-0.980000
Fe1,I,lt02,5127.360000,0.915000,3.332417,2.417417,-3.278000
Fe1,I,gt02,5131.470000,2.223000,4.638481,2.415481,-2.515000
Fe1,I,gt02,5141.740000,2.424000,4.834656,2.410656,-2.101000
Fe1,I,lt02,5194.940000,1.557000,3.942969,2.385969,-2.021000
Fe1,I,gt02,5197.940000,4.301000,6.685592,2.384592,-1.540000
Fe1,I,gt02,5198.710000,2.223000,4.607239,2.384239,-2.113000
Fe1,I,gt02,5215.180000,3.266000,5.642710,2.376710,-0.871000
Fe1,I,gt02,5217.390000,3.211000,5.586703,2.375703,-1.116000
Fe1,I,gt02,5223.180000,3.635000,6.008069,2.373069,-1.783000
Fe1,I,lt02,5225.530000,0.110000,2.482002,2.372002,-4.755000
Fe1,I,gt02,5228.380000,4.220000,6.590709,2.370709,-1.190000
Fe1,I,gt02,5232.940000,2.940000,5.308643,2.368643,-0.076000
Fe1,I,gt02,5242.490000,3.634000,5.998329,2.364329,-0.967000
Fe1,I,gt02,5243.780000,4.256000,6.619747,2.363747,-1.050000
Fe1,I,lt02,5247.050000,0.087000,2.449274,2.362274,-4.975000
Fe1,I,lt02,5250.210000,0.121000,2.481852,2.360852,-4.918000
Fe1,I,gt02,5250.650000,2.198000,4.558654,2.360654,-2.180000
Fe1,I,gt02,5253.020000,2.279000,4.638589,2.359589,-3.840000
Fe1,I,gt02,5253.460000,3.283000,5.642392,2.359392,-1.573000
Fe1,I,gt02,5285.130000,4.434000,6.779254,2.345254,-1.540000
Fe1,I,gt02,5288.520000,3.694000,6.037750,2.343750,-1.508000
Fe1,I,gt02,5293.960000,4.143000,6.484342,2.341342,-1.770000
Fe1,I,gt02,5294.550000,3.640000,5.981081,2.341081,-2.760000
Fe1,I,gt02,5295.310000,4.415000,6.755745,2.340745,-1.590000
Fe1,I,gt02,5302.300000,3.283000,5.620659,2.337659,-0.720000
Fe1,I,gt02,5321.110000,4.434000,6.763396,2.329396,-1.089000
Fe1,I,gt02,5322.040000,2.279000,4.607989,2.328989,-2.802000
Fe1,I,gt02,5339.930000,3.266000,5.587186,2.321186,-0.684000
Fe1,I,gt02,5365.400000,3.573000,5.883168,2.310168,-1.020000
Fe1,I,gt02,5367.470000,4.415000,6.724277,2.309277,0.444000
Fe1,I,gt02,5373.710000,4.473000,6.779595,2.306595,-0.760000
Fe1,I,gt02,5379.570000,3.694000,5.998083,2.304083,-1.514000
Fe1,I,gt02,5386.330000,4.154000,6.455191,2.301191,-1.670000
Fe1,I,gt02,5389.480000,4.415000,6.714846,2.299846,-0.410000
Fe1,I,gt02,5395.220000,4.445000,6.742399,2.297399,-2.070000
Fe1,I,lt02,5397.130000,0.915000,3.211586,2.296586,-1.988000
Fe1,I,gt02,5398.280000,4.445000,6.741097,2.296097,-0.630000
Fe1,I,gt02,5412.780000,4.434000,6.723946,2.289946,-1.716000
Fe1,I,gt02,5415.200000,4.386000,6.674923,2.288923,0.643000
Fe1,I,gt02,5417.030000,4.415000,6.703149,2.288149,-1.580000
Fe1,I,gt02,5424.070000,4.320000,6.605180,2.285180,0.520000
Fe1,I,lt02,5434.520000,1.011000,3.291786,2.280786,-2.119000
Fe1,I,gt02,5441.340000,4.312000,6.589927,2.277927,-1.630000
Fe1,I,gt02,5445.040000,4.386000,6.662379,2.276379,-0.020000
Fe1,I,gt02,5464.280000,4.143000,6.411364,2.268364,-1.402000
Fe1,I,gt02,5466.400000,4.371000,6.638484,2.267484,-0.630000
Fe1,I,gt02,5470.090000,4.446000,6.711955,2.265955,-1.710000
Fe1,I,gt02,5473.900000,4.154000,6.418377,2.264377,-0.790000
Fe1,I,gt02,5483.100000,4.154000,6.414578,2.260578,-1.406000
Fe1,I,gt02,5487.150000,4.415000,6.673910,2.258910,-1.430000
Fe1,I,gt02,5494.460000,4.076000,6.331904,2.255904,-1.990000
Fe1,I,gt02,5522.450000,4.209000,6.453471,2.244471,-1.450000
Fe1,I,gt02,5539.280000,3.642000,5.879651,2.237651,-2.560000
Fe1,I,gt02,5543.940000,4.217000,6.452770,2.235770,-1.040000
Fe1,I,gt02,5546.510000,4.371000,6.605735,2.234735,-1.210000
Fe1,I,gt02,5560.210000,4.434000,6.663228,2.229228,-1.090000
Fe1,I,gt02,5569.620000,3.417000,5.642462,2.225462,-0.486000
Fe1,I,gt02,5576.090000,3.430000,5.652880,2.222880,-0.900000
Fe1,I,gt02,5586.760000,3.368000,5.586634,2.218634,-0.120000
Fe1,I,gt02,5618.630000,4.209000,6.415050,2.206050,-1.275000
Fe1,I,gt02,5619.600000,4.386000,6.591669,2.205669,-1.600000
Fe1,I,gt02,5633.950000,4.991000,7.191051,2.200051,-0.230000
Fe1,I,gt02,5636.700000,3.640000,5.838978,2.198978,-2.510000
Fe1,I,gt02,5638.260000,4.220000,6.418370,2.198370,-0.770000
Fe1,I,gt02,5641.430000,4.256000,6.453134,2.197134,-1.080000
Fe1,I,gt02,5649.990000,5.099000,7.292806,2.193806,-0.820000
Fe1,I,gt02,5651.470000,4.473000,6.666231,2.193231,-1.900000
Fe1,I,gt02,5652.320000,4.260000,6.452901,2.192901,-1.850000
Fe1,I,gt02,5653.870000,4.386000,6.578300,2.192300,-1.540000
Fe1,I,gt02,5655.180000,5.064000,7.255792,2.191792,-0.600000
Fe1,I,gt02,5661.350000,4.284000,6.473404,2.189404,-1.756000
Fe1,I,gt02,5662.520000,4.178000,6.366951,2.188951,-0.573000
Fe1,I,gt02,5679.020000,4.652000,6.834591,2.182591,-0.820000
Fe1,I,gt02,5691.500000,4.301000,6.478806,2.177806,-1.420000
Fe1,I,gt02,5696.090000,4.548000,6.724051,2.176051,-1.720000
Fe1,I,gt02,5698.020000,3.640000,5.815314,2.175314,-2.580000
Fe1,I,gt02,5701.540000,2.559000,4.732971,2.173971,-2.160000
Fe1,I,gt02,5705.460000,4.301000,6.473477,2.172477,-1.355000
Fe1,I,gt02,5731.760000,4.256000,6.418509,2.162509,-1.200000
Fe1,I,gt02,5732.300000,4.991000,7.153305,2.162305,-1.460000
Fe1,I,gt02,5741.850000,4.256000,6.414709,2.158709,-1.672000
Fe1,I,gt02,5760.340000,3.642000,5.793780,2.151780,-2.390000
Fe1,I,gt02,5775.080000,4.220000,6.366288,2.146288,-1.297000
Fe1,I,gt02,5778.450000,2.588000,4.733036,2.145036,-3.430000
Fe1,I,gt02,5784.660000,3.396000,5.538733,2.142733,-2.532000
Fe1,I,gt02,5849.680000,3.694000,5.812917,2.118917,-2.890000
Fe1,I,lt02,5853.150000,1.485000,3.602660,2.117660,-5.180000
Fe1,I,gt02,5855.080000,4.608000,6.724962,2.116962,-1.478000
Fe1,I,gt02,5858.780000,4.220000,6.335625,2.115625,-2.160000
Fe1,I,gt02,5883.820000,3.960000,6.066622,2.106622,-1.260000
Fe1,I,gt02,5902.470000,4.593000,6.692966,2.099966,-1.710000
Fe1,I,gt02,5905.670000,4.652000,6.750828,2.098828,-0.690000
Fe1,I,gt02,5927.790000,4.652000,6.742996,2.090996,-0.990000
Fe1,I,gt02,5929.680000,4.548000,6.638330,2.090330,-1.310000
Fe1,I,gt02,5930.180000,4.652000,6.742153,2.090153,-0.230000
Fe1,I,gt02,5934.650000,3.928000,6.016579,2.088579,-1.070000
Fe1,I,lt02,5956.690000,0.859000,2.939851,2.080851,-4.553000
Fe1,I,gt02,6003.010000,3.881000,5.945795,2.064795,-1.120000
Fe1,I,gt02,6012.210000,2.223000,4.284636,2.061636,-4.038000
Fe1,I,gt02,6027.050000,4.076000,6.132560,2.056560,-1.089000
Fe1,I,gt02,6065.480000,2.608000,4.651530,2.043530,-1.470000
Fe1,I,gt02,6079.010000,4.652000,6.690981,2.038981,-1.020000
Fe1,I,gt02,6093.640000,4.607000,6.641086,2.034086,-1.400000
Fe1,I,gt02,6094.370000,4.652000,6.685842,2.033842,-1.840000
Fe1,I,gt02,6096.660000,3.984000,6.017079,2.033079,-1.830000
Fe1,I,gt02,6127.910000,4.143000,6.165711,2.022711,-1.399000
Fe1,I,gt02,6136.990000,2.198000,4.217718,2.019718,-2.941000
Fe1,I,gt02,6151.620000,2.176000,4.190915,2.014915,-3.312000
Fe1,I,gt02,6165.360000,4.143000,6.153424,2.010424,-1.473000
Fe1,I,gt02,6173.330000,2.223000,4.230829,2.007829,-2.880000
Fe1,I,gt02,6187.990000,3.943000,5.946072,2.003072,-1.620000
Fe1,I,gt02,6200.310000,2.608000,4.607092,1.999092,-2.405000
Fe1,I,gt02,6219.280000,2.198000,4.190994,1.992994,-2.434000
Fe1,I,gt02,6226.730000,3.883000,5.873610,1.990610,-2.120000
Fe1,I,gt02,6240.650000,2.223000,4.209170,1.986170,-3.203000
Fe1,I,gt02,6246.320000,3.602000,5.586367,1.984367,-0.805000
Fe1,I,gt02,6252.560000,2.404000,4.386387,1.982387,-1.727000
Fe1,I,gt02,6265.130000,2.176000,4.154409,1.978409,-2.545000
Fe1,I,gt02,6270.220000,2.858000,4.834803,1.976803,-2.536000
Fe1,I,gt02,6271.280000,3.332000,5.308469,1.976469,-2.703000
Fe1,I,gt02,6297.790000,2.223000,4.191149,1.968149,-2.702000
Fe1,I,gt02,6301.500000,3.654000,5.620991,1.966991,-0.718000
Fe1,I,gt02,6315.810000,4.076000,6.038534,1.962534,-1.610000
Fe1,I,gt02,6322.690000,2.588000,4.548399,1.960399,-2.448000
Fe1,I,gt02,6335.330000,2.198000,4.154487,1.956487,-2.177000
Fe1,I,gt02,6336.820000,3.686000,5.642027,1.956027,-0.856000
Fe1,I,gt02,6393.600000,2.433000,4.371656,1.938656,-1.504000
Fe1,I,gt02,6411.650000,3.654000,5.587199,1.933199,-0.656000
Fe1,I,gt02,6430.850000,2.176000,4.103427,1.927427,-1.976000
Fe1,I,gt02,6481.870000,2.279000,4.191256,1.912256,-2.985000
Fe1,I,gt02,6494.980000,2.404000,4.312396,1.908396,-1.256000
Fe1,I,gt02,6496.470000,4.795000,6.702958,1.907958,-0.530000
