line_set,species,wavelength_air_A,lower_level,upper_level,elo_eV,loggf,loggf_sigma_dex,gf_source_per_line,gamma6_sigma_au,gamma6_alpha,eup_eV,source_band,role,role_basis,source,source_key
nordlander_lind2017_analysis_lines,Al I,2103.017,3p 2Po J=3/2,14d 2D J=5/2,0.014,-1.619,,"Wiese, Smith & Miles 1969, NSRDS-NBS 22 (Sodium through Calcium)",,,5.907669,NUV,ANALYSIS_LINE_ROLE_NOT_STATED_PER_LINE,"Table A.1's note says only that the table lists 'lines used in the spectrum analyses'. The paper states no role for THIS row, and RYA-946 forbids inferring one from the wavelength. NOT part of the solar abundance set.","Nordlander & Lind 2017, A&A 607, A75, Table A.1",nordlander_lind2017
nordlander_lind2017_analysis_lines,Al I,2103.024,3p 2Po J=3/2,14d 2D J=3/2,0.014,-2.566,,"Wiese, Smith & Miles 1969, NSRDS-NBS 22 (Sodium through Calcium)",,,5.90765,NUV,ANALYSIS_LINE_ROLE_NOT_STATED_PER_LINE,"Table A.1's note says only that the table lists 'lines used in the spectrum analyses'. The paper states no role for THIS row, and RYA-946 forbids inferring one from the wavelength. NOT part of the solar abundance set.","Nordlander & Lind 2017, A&A 607, A75, Table A.1",nordlander_lind2017
nordlander_lind2017_analysis_lines,Al I,2118.312,3p 2Po J=1/2,11d 2D J=3/2,0.0,-1.557,0.1,"TOPbase: Mendoza et al. 1995, and C. Mendoza, W. Eissner, M. Le Dourneuf & C. J. Zeippen (unpublished) -- Opacity Project, THEORY",,,5.85112,NUV,ANALYSIS_LINE_ROLE_NOT_STATED_PER_LINE,"Table A.1's note says only that the table lists 'lines used in the spectrum analyses'. The paper states no role for THIS row, and RYA-946 forbids inferring one from the wavelength. NOT part of the solar abundance set.","Nordlander & Lind 2017, A&A 607, A75, Table A.1",nordlander_lind2017
nordlander_lind2017_analysis_lines,Al I,2134.732,3p 2Po J=3/2,10d 2D J=5/2,0.014,-1.129,0.1,"TOPbase: Mendoza et al. 1995, and C. Mendoza, W. Eissner, M. Le Dourneuf & C. J. Zeippen (unpublished) -- Opacity Project, THEORY",,,5.820119,NUV,ANALYSIS_LINE_ROLE_NOT_STATED_PER_LINE,"Table A.1's note says only that the table lists 'lines used in the spectrum analyses'. The paper states no role for THIS row, and RYA-946 forbids inferring one from the wavelength. NOT part of the solar abundance set.","Nordlander & Lind 2017, A&A 607, A75, Table A.1",nordlander_lind2017
nordlander_lind2017_analysis_lines,Al I,2134.76,3p 2Po J=3/2,10d 2D J=3/2,0.014,-2.09,0.18,"TOPbase: Mendoza et al. 1995, and C. Mendoza, W. Eissner, M. Le Dourneuf & C. J. Zeippen (unpublished) -- Opacity Project, THEORY",,,5.820043,NUV,ANALYSIS_LINE_ROLE_NOT_STATED_PER_LINE,"Table A.1's note says only that the table lists 'lines used in the spectrum analyses'. The paper states no role for THIS row, and RYA-946 forbids inferring one from the wavelength. NOT part of the solar abundance set.","Nordlander & Lind 2017, A&A 607, A75, Table A.1",nordlander_lind2017
nordlander_lind2017_analysis_lines,Al I,2145.555,3p 2Po J=1/2,9d 2D J=3/2,0.0,-1.244,0.1,"TOPbase: Mendoza et al. 1995, and C. Mendoza, W. Eissner, M. Le Dourneuf & C. J. Zeippen (unpublished) -- Opacity Project, THEORY",,,5.776834,NUV,ANALYSIS_LINE_ROLE_NOT_STATED_PER_LINE,"Table A.1's note says only that the table lists 'lines used in the spectrum analyses'. The paper states no role for THIS row, and RYA-946 forbids inferring one from the wavelength. NOT part of the solar abundance set.","Nordlander & Lind 2017, A&A 607, A75, Table A.1",nordlander_lind2017
nordlander_lind2017_analysis_lines,Al I,2174.027,3p 2Po J=3/2,8d 2D J=5/2,0.014,-0.824,0.1,"TOPbase: Mendoza et al. 1995, and C. Mendoza, W. Eissner, M. Le Dourneuf & C. J. Zeippen (unpublished) -- Opacity Project, THEORY",,,5.715187,NUV,ANALYSIS_LINE_ROLE_NOT_STATED_PER_LINE,"Table A.1's note says only that the table lists 'lines used in the spectrum analyses'. The paper states no role for THIS row, and RYA-946 forbids inferring one from the wavelength. NOT part of the solar abundance set.","Nordlander & Lind 2017, A&A 607, A75, Table A.1",nordlander_lind2017
nordlander_lind2017_analysis_lines,Al I,2174.113,3p 2Po J=3/2,8d 2D J=3/2,0.014,-1.778,0.3,"TOPbase: Mendoza et al. 1995, and C. Mendoza, W. Eissner, M. Le Dourneuf & C. J. Zeippen (unpublished) -- Opacity Project, THEORY",,,5.714961,NUV,ANALYSIS_LINE_ROLE_NOT_STATED_PER_LINE,"Table A.1's note says only that the table lists 'lines used in the spectrum analyses'. The paper states no role for THIS row, and RYA-946 forbids inferring one from the wavelength. NOT part of the solar abundance set.","Nordlander & Lind 2017, A&A 607, A75, Table A.1",nordlander_lind2017
nordlander_lind2017_analysis_lines,Al I,2204.59,3p 2Po J=3/2,8s 2S J=1/2,0.014,-2.293,0.1,"TOPbase: Mendoza et al. 1995, and C. Mendoza, W. Eissner, M. Le Dourneuf & C. J. Zeippen (unpublished) -- Opacity Project, THEORY",,,5.636157,NUV,ANALYSIS_LINE_ROLE_NOT_STATED_PER_LINE,"Table A.1's note says only that the table lists 'lines used in the spectrum analyses'. The paper states no role for THIS row, and RYA-946 forbids inferring one from the wavelength. NOT part of the solar abundance set.","Nordlander & Lind 2017, A&A 607, A75, Table A.1",nordlander_lind2017
nordlander_lind2017_analysis_lines,Al I,2204.66,3p 2Po J=1/2,7d 2D J=3/2,0.0,-0.895,0.06,"TOPbase: Mendoza et al. 1995, and C. Mendoza, W. Eissner, M. Le Dourneuf & C. J. Zeippen (unpublished) -- Opacity Project, THEORY",2340.0,1.07,5.621979,NUV,ANALYSIS_LINE_ROLE_NOT_STATED_PER_LINE,"Table A.1's note says only that the table lists 'lines used in the spectrum analyses'. The paper states no role for THIS row, and RYA-946 forbids inferring one from the wavelength. NOT part of the solar abundance set.","Nordlander & Lind 2017, A&A 607, A75, Table A.1",nordlander_lind2017
