Table 3 
Chemical Abundances and Corresponding Errors of the Observed Metal-poor Stars in Liller 1


ID	[Fe/H]	[C/H]	[N/H]	[O/H]	[Na/H]	[Mg/H]	[Al/H]	[Si/H]	[S/H]	[Ca/H]	[Sc/H]	[Ti/H]	[V/H]	[Cr/H]	[Co/H]	[Ni/H]	[Cu/H]	[Zn/H]	[Y/H]	[Nd/H]	^12C/^13C	
100157	-0.44	-0.68	+0.22	+0.01	-0.11	+0.00	+0.01	-0.17	+0.01	-0.12	+0.02	-0.07	-0.44	cdots	cdots	cdots	cdots	cdots	cdots	cdots	7.9	
	0.05(8)	0.08(3)	0.06(16)	0.10(1)	0.10(2)	0.10(1)	0.10(1)	0.07(2)	0.01(2)	0.10(2)	0.10(2)	0.02(2)	0.10(1)									
																						
100571	-0.49	-0.6	+0.10	-0.16	+0.00	-0.15	-0.18	-0.14	-0.05	-0.04	-0.12	-0.08	-0.36	cdots	cdots	cdots	cdots	cdots	-0.59	cdots	15.5	
	0.04(6)	0.02(4)	0.02(9)	0.08(4)	0.10(1)	0.10(1)	0.10(1)	0.10(1)	0.10(1)	0.06(2)	0.06(2)	0.06(2)	0.10(1)						0.10(1)			
																						
100658	-0.44	-0.63	+0.18	-0.04	+0.06	-0.12	-0.15	-0.10	+0.05	-0.04	-0.16	+0.00	-0.37	cdots	cdots	cdots	cdots	cdots	-0.38	cdots	17.4	
	0.04(11)	0.02(5)	0.02(19)	0.04(5)	0.10(1)	0.10(1)	0.10(1)	0.01(2)	0.05(2)	0.10(1)	0.02(2)	0.02(3)	0.10(1)						0.10(1)			
																						
100689	-0.36	-0.68	+0.22	+0.02	+0.06	-0.04	+0.07	-0.12	+0.02	-0.07	-0.15	+0.04	-0.36	cdots	cdots	cdots	cdots	cdots	-0.34	cdots	18.4	
	0.03(10)	0.01(3)	0.03(12)	0.05(4)	0.10(1)	0.10(1)	0.10(1)	0.05(2)	0.08(2)	0.10(1)	0.04(2)	0.02(3)	0.10(1)						0.10(1)			
																						
100756	-0.34	-0.60	+0.26	+0.06	-0.02	+0.00	+0.10	+0.01	+0.07	-0.09	-0.20	-0.06	-0.45	cdots	cdots	cdots	cdots	cdots	-0.20	cdots	16.8	
	0.04(9)	0.02(4)	0.04(8)	0.10(2)	0.06(2)	0.10(1)	0.10(1)	0.01(2)	0.10(1)	0.10(1)	0.04(2)	0.02(3)	0.10(1)						0.10(1)			
																						
100760	-0.41	-0.66	+0.34	-0.12	-0.07	-0.04	-0.08	-0.09	+0.04	-0.16	-0.31	-0.17	-0.34	-0.40	-0.36	-0.42	-0.29	cdots	-0.39	-0.40	22.1	
	0.01(17)	0.03(10)	0.01(28)	0.06(3)	0.01(3)	0.02(2)	0.01(2)	0.01(3)	0.09(4)	0.05(3)	0.01(2)	0.04(5)	0.03(2)	0.03(2)	0.10(2)	0.10(2)	0.10(2)		0.10(1)	0.10(1)		
																						
100987	-0.41	-0.52	+0.16	-0.09	-0.05	-0.14	-0.18	-0.03	+0.05	-0.15	-0.24	-0.12	-0.30	cdots	cdots	cdots	cdots	cdots	-0.32	cdots	18.3	
	0.02(6)	0.03(6)	0.04(9)	0.03(2)	0.10(1)	0.10(1)	0.10(1)	0.03(3)	0.09(3)	0.01(2)	0.02(2)	0.04(3)	0.10(1)						0.10(1)			
																						
200119	-0.45	-0.95	+0.35	-0.19	+0.08	-0.13	-0.12	-0.17	-0.05	-0.14	-0.07	-0.07	-0.39	cdots	cdots	cdots	cdots	cdots	-0.49	cdots	10.7	
	0.02(6)	0.04(4)	0.03(12)	0.05(4)	0.10(1)	0.10(1)	0.10(1)	0.09(4)	0.10(1)	0.10(1)	0.01(2)	0.10(1)	0.10(1)						0.10(1)			
																						
300094	-0.44	-0.58	+0.21	+0.01	-0.12	+0.01	-0.15	-0.15	-0.03	-0.06	cdots	-0.10	-0.51	-0.32	-0.19	-0.33	-0.26	-0.03	cdots	-0.46	11.6	
