Molecule,Upper Manifold,J',Sym',#',Lower Manifold,"J""","Sym""","#""",Position(angair),Position(cm-1),f-value(4sig),f-value,Eupper,Elower,A,Branch,Label,v',J',N',Fnp,Label,"v""","J""","N""",Fnp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,1,e,1,X,0,e,1,3357.5522,29775.0460,0.006236,0.006235568,29806.60883,31.56285972,1229141.538,qR23(0),A,v=0,1,1,F2e,X,v=0,0,1,F3e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,1,e,2,X,0,e,1,3349.3395,29848.0534,0.002369,0.002369026,29879.61624,31.56285972,469269.9928,rR3(0),A,v=0,1,2,F3e,X,v=0,0,1,F3e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,0,f,1,X,1,f,1,3355.1679,29796.2041,0.001435,0.001434735,29829.55188,33.34782985,2548924.688,qP32(1),A,v=0,0,1,F3f,X,v=0,1,1,F2f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,1,e,1,X,1,f,1,3357.7535,29773.2610,0.0005908,0.000590775,29806.60883,33.34782985,349314.852,qQ2(1),A,v=0,1,1,F2e,X,v=0,1,1,F2f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,1,e,2,X,1,f,1,3349.5398,29846.2684,0.001563,0.001562628,29879.61624,33.34782985,928491.1856,rQ32(1),A,v=0,1,2,F3e,X,v=0,1,1,F2f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,2,f,1,X,1,f,1,3361.8194,29737.2537,0.003022,0.003021565,29770.60149,33.34782985,1069367.992,qR12(1),A,v=0,2,1,F1f,X,v=0,1,1,F2f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,2,f,2,X,1,f,1,3350.9397,29833.8001,0.00189,0.001889508,29867.14794,33.34782985,673068.5911,rR2(1),A,v=0,2,2,F2f,X,v=0,1,1,F2f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,2,f,3,X,1,f,1,3339.0927,29939.6456,0.0001048,0.000104753,29972.99346,33.34782985,37579.75839,sR32(1),A,v=0,2,3,F3f,X,v=0,1,1,F2f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,0,e,1,X,1,e,1,3351.7099,29826.9444,0.0009454,0.000945407,29826.93665,-0.007710236,1683060.055,rP31(1),A,v=0,0,1,F3e,X,v=0,1,0,F1e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,0,e,1,X,1,e,2,3362.7098,29729.3795,0.0004892,0.00048921,29826.93665,97.55711273,865227.739,pP3(1),A,v=0,0,1,F3e,X,v=0,1,2,F3e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,1,f,1,X,1,e,1,3353.9207,29807.2843,0.002723,0.002723189,29807.27659,-0.007710236,1613856.071,rQ21(1),A,v=0,1,1,F2f,X,v=0,1,0,F1e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,1,f,2,X,1,e,1,3345.5895,29881.5079,0.0001641,0.00016415,29881.50018,-0.007710236,97766.0097,sQ31(1),A,v=0,1,2,F3f,X,v=0,1,0,F1e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,1,f,1,X,1,e,2,3364.9351,29709.7195,0.001016,0.001015812,29807.27659,97.55711273,598070.7401,pQ23(1),A,v=0,1,1,F2f,X,v=0,1,2,F3e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,1,f,2,X,1,e,2,3356.5492,29783.9431,0.002546,0.002546452,29881.50018,97.55711273,1506753.337,qQ3(1),A,v=0,1,2,F3f,X,v=0,1,2,F3e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,2,e,1,X,1,e,1,3358.0513,29770.6211,0.004467,0.004467371,29770.61339,-0.007710236,1584606.022,rR1(1),A,v=0,2,1,F1e,X,v=0,1,0,F1e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,2,e,2,X,1,e,1,3347.3152,29866.1036,0.000301,0.000300987,29866.09587,-0.007710236,107447.8424,sR21(1),A,v=0,2,2,F2e,X,v=0,1,0,F1e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,2,e,3,X,1,e,1,3335.5308,29971.6164,0.000000856,8.56E-07,29971.60868,-0.007710236,307.7544889,tR31(1),A,v=0,2,3,F3e,X,v=0,1,0,F1e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,2,e,1,X,1,e,2,3369.0929,29673.0563,0.0002226,0.000222642,29770.61339,97.55711273,78455.7818,pR13(1),A,v=0,2,1,F1e,X,v=0,1,2,F3e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,2,e,2,X,1,e,2,3358.2862,29768.5388,0.001654,0.001654494,29866.09587,97.55711273,586777.9678,qR23(1),A,v=0,2,2,F2e,X,v=0,1,2,F3e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,2,e,3,X,1,e,2,3346.4246,29874.0516,0.002671,0.00267131,29971.60868,97.55711273,954126.812,rR3(1),A,v=0,2,3,F3e,X,v=0,1,2,F3e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,1,e,1,X,2,e,1,3357.6576,29774.1116,0.0009244,0.000924355,29806.60883,32.49728177,910976.5224,qP21(2),A,v=0,1,1,F2e,X,v=0,2,1,F1e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,1,e,2,X,2,e,1,3349.4443,29847.1190,0.0001907,0.000190651,29879.61624,32.49728177,188814.2105,rP31(2),A,v=0,1,2,F3e,X,v=0,2,1,F1e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,1,e,1,X,2,e,2,3376.1536,29611.0015,0.00005243,5.24E-05,29806.60883,195.6073674,51103.42486,oP23(2),A,v=0,1,1,F2e,X,v=0,2,3,F3e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,1,e,2,X,2,e,2,3367.8497,29684.0089,0.0009775,0.000977531,29879.61624,195.6073674,957561.3316,pP3(2),A,v=0,1,2,F3e,X,v=0,2,3,F3e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,2,f,1,X,2,e,1,3361.7232,29738.1042,0.002368,0.002368272,29770.60149,32.49728177,1397012.918,qQ1(2),A,v=0,2,1,F1f,X,v=0,2,1,F1e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,2,f,2,X,2,e,1,3350.8441,29834.6507,0.001462,0.001462124,29867.14794,32.49728177,868097.3409,rQ21(2),A,v=0,2,2,F2f,X,v=0,2,1,F1e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,2,f,3,X,2,e,1,3338.9979,29940.4962,0.00003723,3.72E-05,29972.99346,32.49728177,22261.77026,sQ31(2),A,v=0,2,3,F3f,X,v=0,2,1,F1e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,2,f,1,X,2,e,2,3380.2642,29574.9941,0.00002772,2.77E-05,29770.60149,195.6073674,16174.30841,oQ13(2),A,v=0,2,1,F1f,X,v=0,2,3,F3e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,2,f,2,X,2,e,2,3369.2650,29671.5406,0.0006281,0.00062815,29867.14794,195.6073674,368880.5272,pQ23(2),A,v=0,2,2,F2f,X,v=0,2,3,F3e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,2,f,3,X,2,e,2,3357.2883,29777.3861,0.003344,0.003344275,29972.99346,195.6073674,1977959.194,qQ3(2),A,v=0,2,3,F3f,X,v=0,2,3,F3e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,3,e,1,X,2,e,1,3353.6357,29809.8176,0.003443,0.003442809,29842.31486,32.49728177,1457624.939,rR1(2),A,v=0,3,2,F1e,X,v=0,2,1,F1e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,A,3,e,2,X,2,e,1,3340.3696,29928.2018,0.0001626,0.000162576,29960.69906,32.49728177,69379.4052,sR21(2),A,v=0,3,3,F2e,X,v=0,2,1,F1e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
