Bond Length,TDMF(au)
0.7,-0.34874664
0.72,-0.3423181
0.74,-0.33579821
0.76,-0.3291928
0.78,-0.32251469
0.8,-0.31576659
0.82,-0.30895483
0.84,-0.30206056
0.86,-0.29512709
0.88,-0.28812713
0.9,-0.28106951
0.92,-0.2739507
0.94,-0.266783
0.96,-0.2595643
0.98,-0.25229592
1,-0.24498205
1.02,-0.23761909
1.04,-0.23021981
1.06,-0.22278342
1.08,-0.21531562
1.1,-0.20781586
1.12,-0.20029099
1.14,-0.19274544
1.16,-0.18518435
1.18,-0.17761314
1.2,-0.17002487
1.22,-0.16244962
1.24,-0.15488277
1.26,-0.14732291
1.28,-0.13979099
1.3,-0.13229758
1.32,-0.12482983
1.34,-0.11740625
1.36,-0.11003418
1.38,-0.10272307
1.4,-0.09548749
1.42,-0.08833068
1.44,-0.08126849
1.46,-0.07433901
1.48,-0.06750542
1.5,-0.06074981
1.52,-0.05416236
1.54,-0.04778013
1.56,-0.04155876
1.58,-0.03553574
1.6,-0.02971966
1.62,-0.02412032
1.64,-0.01875574
1.66,-0.01364823
1.68,-0.00878287
1.7,-0.00418375
1.72,0.00013837
1.74,0.00415602
1.76,0.00790281
1.78,0.01137537
1.8,0.01453517
1.82,0.0173873
1.84,0.01999791
1.86,0.02229801
1.88,0.0243526
1.9,0.02611725
1.92,0.02762279
1.94,0.02889956
1.96,0.02994499
1.98,0.0307892
2,0.03146669
