source,wavelength_air_A,elo_eV,loggf,e_loggf_dex
DenHartog2019,3002.644,1.6953,-0.87,0.04
DenHartog2019,3170.337,1.6953,-2.38,0.07
DenHartog2019,3183.114,1.6953,-2.01,0.04
DenHartog2019,3186.737,1.6953,-1.64,0.03
DenHartog2019,3192.909,1.6706,-1.9,0.04
DenHartog2019,3193.799,1.724,-1.65,0.04
DenHartog2019,3196.07,1.6706,-1.74,0.03
DenHartog2019,3210.444,1.724,-1.62,0.03
DenHartog2019,3213.309,1.6953,-1.24,0.03
DenHartog2019,3227.742,1.6706,-1.03,0.03
DenHartog2019,3255.887,0.9863,-2.51,0.04
DenHartog2019,3277.348,0.9863,-2.14,0.08
DenHartog2019,4173.4511,2.5827,-2.38,0.05
DenHartog2019,4233.162,2.583,-2.02,0.05
DenHartog2019,4303.17,2.704,-2.52,0.1
DenHartog2019,4351.762,2.704,-1.95,0.07
DenHartog2019,4385.377,2.778,-2.64,0.07
DenHartog2019,4416.819,2.778,-2.57,0.09
DenHartog2019,4508.28,2.856,-2.42,0.06
DenHartog2019,4522.628,2.844,-2.29,0.06
DenHartog2019,4549.466,2.828,-1.92,0.06
DenHartog2019,4583.829,2.807,-1.94,0.05
