source,wavelength_air_A,elo_cm1,eup_cm1,elo_eV,eup_eV,loggf,e_loggf_dex
Ruffoni2013,14679.844,50342.131,57152.331,6.241629,7.085986,-0.22,0.05
Ruffoni2013,14826.412,42815.854,49558.731,5.308489,6.1445,0.24,0.05
Ruffoni2013,15051.749,43163.323,49805.254,5.35157,6.175064,0.25,0.05
Ruffoni2013,15080.225,50522.942,57152.331,6.264046,7.085986,-1.03,0.13
Ruffoni2013,15207.53,43434.626,50008.519,5.385207,6.200266,0.2,0.05
Ruffoni2013,15294.562,42815.853,49352.338,5.308489,6.11891,0.59,0.06
Ruffoni2013,15335.387,43633.532,50152.616,5.409868,6.218132,-0.03,0.05
Ruffoni2013,15591.497,50342.128,56754.128,6.241628,7.036615,0.9,0.05
Ruffoni2013,15604.225,50342.127,56748.897,6.241628,7.035967,0.77,0.06
Ruffoni2013,15631.95,43163.324,49558.731,5.35157,6.1445,0.01,0.05
Ruffoni2013,15648.515,43763.979,50152.616,5.426042,6.218132,-0.61,0.05
Ruffoni2013,15682.021,43633.532,50008.519,5.409868,6.200266,-2.31,0.09
Ruffoni2013,15691.857,50377.906,56748.897,6.246064,7.035967,0.65,0.06
Ruffoni2013,15692.751,43434.626,49805.254,5.385207,6.175064,-0.53,0.05
Ruffoni2013,15835.164,50833.434,57146.768,6.302543,7.085296,0.71,0.06
Ruffoni2013,16009.615,43763.979,50008.519,5.426042,6.200266,-0.48,0.05
Ruffoni2013,16153.249,43163.324,49352.338,5.35157,6.11891,-0.65,0.06
Ruffoni2013,16165.031,50967.828,57152.331,6.319205,7.085986,0.89,0.05
Ruffoni2013,16179.585,50967.828,57146.768,6.319205,7.085296,0.15,0.06
Ruffoni2013,16198.505,43633.531,49805.254,5.409868,6.175064,-0.48,0.05
Ruffoni2013,16324.459,43434.627,49558.731,5.385207,6.1445,-0.59,0.05
Ruffoni2013,16382.256,50651.63,56754.128,6.280002,7.036615,0.35,0.05
Ruffoni2013,16396.311,50651.63,56748.897,6.280002,7.035967,-0.58,0.05
Ruffoni2013,16538.0,50703.868,56748.897,6.286478,7.035967,-0.53,0.08
Ruffoni2013,16541.968,51103.189,57146.768,6.335988,7.085296,-0.33,0.06
Ruffoni2013,16892.375,51228.554,57146.768,6.351531,7.085296,-0.59,0.08
Ruffoni2013,17277.482,50967.828,56754.128,6.319205,7.036615,-0.56,0.09
Ruffoni2013,21386.166,45333.875,50008.519,5.620684,6.200266,-1.84,0.11
