species,wavelength_air_A,excitation_potential_eV,log_gf,loggf_reference,nist_grade,adjudication_status
Fe II,3000.062,3.8143,-1.608,VALD3,,single_source
Fe II,3000.244,9.1257,-1.179,VALD3,,single_source
Fe II,3000.291,7.1388,-2.359,VALD3,,single_source
Fe II,3000.386,8.1845,-1.752,VALD3,,single_source
Fe II,3001.133,8.2297,-1.277,VALD3,,single_source
Fe II,3001.316,8.2589,-1.555,VALD3,,single_source
Fe II,3001.399,8.035,-1.086,VALD3,,single_source
Fe II,3001.596,8.2589,-1.678,VALD3,,single_source
Fe II,3001.971,8.2477,-1.478,VALD3,,single_source
Fe II,3002.319,3.9442,-1.662,VALD3,,single_source
Fe II,3002.642,8.7179,0.0969999999999999,VALD3,,single_source
Fe II,3002.644,1.6953,-0.93,VALD3,,single_source
Fe II,3003.886,8.0384,-0.759,VALD3,,single_source
Fe II,3004.256,3.8143,-2.163,VALD3,,single_source
Fe II,3005.648,7.1388,-2.948,VALD3,,single_source
Fe II,3007.944,5.6152,-3.405,VALD3,,single_source
Fe II,3007.948,8.6301,-1.4,VALD3,,single_source
Fe II,3008.657,7.1181,-2.903,VALD3,,single_source
Fe II,3009.145,5.5688,-2.203,VALD3,,single_source
Fe II,3009.5,8.6301,-1.417,VALD3,,single_source
Fe II,3009.602,7.4726,-2.382,VALD3,,single_source
Fe II,3009.879,7.4726,-2.664,VALD3,,single_source
Fe II,3010.216,5.8232,-1.57,VALD3,,single_source
Fe II,3010.457,5.5706,-3.807,VALD3,,single_source
Fe II,3010.641,4.1493,-4.853,VALD3,,single_source
Fe II,3012.593,3.8143,-4.018,VALD3,,single_source
Fe II,3012.766,7.1181,-1.589,VALD3,,single_source
Fe II,3013.379,4.4791,-5.089,VALD3,,single_source
Fe II,3013.8,4.1536,-3.089,VALD3,,single_source
Fe II,3014.583,6.2169,-3.136,VALD3,,single_source
Fe II,3015.003,5.5892,-3.502,VALD3,,single_source
Fe II,3015.38,9.0577,-1.231,VALD3,,single_source
Fe II,3015.795,9.144,-1.203,VALD3,,single_source
Fe II,3016.123,7.1283,-2.587,VALD3,,single_source
Fe II,3018.116,9.0077,-1.507,VALD3,,single_source
Fe II,3018.212,4.1493,-3.286,VALD3,,single_source
Fe II,3019.298,3.9674,-5.0,VALD3,,single_source
Fe II,3019.554,5.5488,-3.513,VALD3,,single_source
Fe II,3020.004,4.0803,-3.055,VALD3,,single_source
