# Heiter et al. 2021, A&A 645 A106 (2021A&A...645A.106H) — VizieR J/A+A/645/A106, refs.dat. THE DECODER: reference code -> author + bibcode.
# Source: J_A+A_645_A106_refs.dat.fits.gz  md5 a13d2b2da911f2983eb86e7eb2d8e14b
Ref	Aut	BibCode	Com
1955ZPhy..141..122W	Wagner	1955ZPhy..141..122W	
1967ZPhy..200..158F	Fischer et al.	1967ZPhy..200..158F	
1968PhFl...11.1002W	Wolnik et al.	1968PhFl...11.1002W	
1969A&A.....2..274G	Garz and Kock	1969A&A.....2..274G	
1969PhLA...29..486H	Handrich et al.	1969PhLA...29..486H	
1970A&A.....9...37R	Richter et al.	1970A&A.....9...37R	
1970ApJ...162.1037W	Wolnik et al.	1970ApJ...162.1037W	
1971PhRvA...3.1220D	Davis et al.	1971PhRvA...3.1220D	
1971PhRvA...4.1767C	Childs	1971PhRvA...4.1767C	
1972A&A....18..209L	Luc and Gerstenkorn	1972A&A....18..209L	
1976PhLA...55..405Z	Zeiske et al.	1976PhLA...55..405Z	
1976ZPhyA.276....9E	Ertmer and  Hofer	1976ZPhyA.276....9E	
1979PhRvA..19..160C	Childs et al.	1979PhRvA..19..160C	
1979PhRvA..19..168C	Childs et al.	1979PhRvA..19..168C	
1979ZPhyA.291..207D	Dembczynski et al.	1979ZPhyA.291..207D	
1980A&A....84..361B	Biemont and Godefroid	1980A&A....84..361B	
1980ZPhyA.298..249K	Kerkhoff et al.	1980ZPhyA.298..249K	
1981ZPhyA.303....7J	Johann et al.	1981ZPhyA.303....7J	
1982ApJ...260..395C	Cardon et al.	1982ApJ...260..395C	
1982MNRAS.199...21B	Blackwell et al.	1982MNRAS.199...21B	
1982ZPhyA.304..279H	Hohle et al.	1982ZPhyA.304..279H	
1983MNRAS.204..883B	Blackwell et al.	1983MNRAS.204..883B	
1984MNRAS.207..533B	Blackwell et al.	1984MNRAS.207..533B	
1984MNRAS.208..147B	Booth et al.	1984MNRAS.208..147B	
1984PhST....8...84K	Kock et al.	1984PhST....8...84K	
1985A&A...153..109W	Whaling et al.	1985A&A...153..109W	
1985JQSRT..33..307D	Doerr and Kock	1985JQSRT..33..307D	
1986JQSRT..35..281D	Duquette et al.	1986JQSRT..35..281D	
1986PhRvA..33.2117S	Silverans et al.	1986PhRvA..33.2117S	
1987ZPhyD...7..161B	Brodzinski et al.	1987ZPhyD...7..161B	
1989A&A...208..157G	Grevesse et al.	1989A&A...208..157G	
1989PhyS...39..694G	Ginibre	1989PhyS...39..694G	
1989ZPhyD..11..259U	Unkel et al.	1989ZPhyD..11..259U	
1989ZPhyD..11..287C	Carlsson et al.	1989ZPhyD..11..287C	
1989ZPhyD..13..203B	Bergstrom et al.	1989ZPhyD..13..203B	
1990JQSRT..43..207C	Chang and Tang	1990JQSRT..43..207C	
1991JPhB...24.3943H	Hibbert et al.	1991JPhB...24.3943H	
1992A&A...255..457D	Davidson et al.	1992A&A...255..457D	
1992PhLA..162..178V	Villemoes et al.	1992PhLA..162..178V	
1992PhyB..179..103E	El-Kashef and Ludwig	1992PhyB..179..103E	
1992PhyS...46...45V	Villemoes et al.	1992PhyS...46...45V	
1992RMxAA..23...45K	Kurucz	1992RMxAA..23...45K	
1993A&AS...99..179H	Hibbert et al.	1993A&AS...99..179H	
1993AcSpe..48.1259H	Hermann et al.	1993AcSpe..48.1259H	
1993ApOpt..32..981H	Huang et al.	1993ApOpt..32..981H	
1993JPhB...26.4289V	Villemoes et al.	1993JPhB...26.4289V	
1993JPhB...26.4409B	Butler et al.	1993JPhB...26.4409B	
1993PhRvL..70..541M	Moller et al.	1993PhRvL..70..541M	
1993PhyS...48..297N	Nahar	1993PhyS...48..297N	
1995JPhB...28.3485M	Mendoza et al.	1995JPhB...28.3485M	
1995JPhB...28.3741P	Palmeri et al.	1995JPhB...28.3741P	
1996PhRvL..76.2862V	Volz et al.	1996PhRvL..76.2862V	
1997JChPh.10610265T	Tarroni et al.	1997JChPh.10610265T	
1997ZPhyD..42...71N	Nakhate et al.	1997ZPhyD..42...71N	
1998A&A...337..495P	Plez	1998A&A...337..495P	
1998JChPh.109.3824K	Kumar et al.	1998JChPh.109.3824K	
1998JPhB...31.2203C	Cochrane et al.	1998JPhB...31.2203C	
1998PhRvA..57.1652Y	Yan et al.	1998PhRvA..57.1652Y	
1999ApJS..122..557N	Nitz et al.	1999ApJS..122..557N	
2000MNRAS.312..813S	Storey et al.	2000MNRAS.312..813S	
2001JaJAP..40.2508L	Li et al.	2001JaJAP..40.2508L	
2002CaJPh..80..557R	Rivest et al.	2002CaJPh..80..557R	
2003A&A...404.1153L	Lefebvre et al.	2003A&A...404.1153L	
2003ApJ...584L.107J	Johansson et al.	2003ApJ...584L.107J	
2003ApJ...594..651D	Dulick et al.	2003ApJ...594..651D	
