# Jofré et al. 2014, A&A 564 A133 (2014A&A...564A.133J) — Table 4, golden Fe I lines. TRANSCRIBED AS PUBLISHED (RYA-161).
# Source PDF: 1309.1099v2.pdf  md5 ee1a047131ce2c3ebced51881e6a5d88
# loggf_ref_code is the paper's integer gf reference code. The decoder footnote did NOT typeset in this copy — see the module docstring. NOT resolvable to a bibliography key from here.
wavelength_air_A	elow_eV	log_gf	vdw_abo	loggf_ref_code
4787.83	2.9980	-2.563	818.227	102
4788.76	3.2370	-1.763	238.249	102
4802.88	3.6420	-1.514	356.244	102
4808.15	3.2510	-2.690	297.274	156
4869.46	3.5460	-2.420	246.248	156
4875.88	3.3320	-1.920	848.231	156
4877.60	2.9980	-3.050	795.230	156
4907.73	3.4300	-1.840	909.227	129
4924.77	2.2790	-2.178	360.244	102
4946.39	3.3680	-1.170	848.232	187
4950.11	3.4170	-1.670	880.228	129
4962.57	4.1780	-1.182	0.000	102
4969.92	4.2170	-0.710	962.279	129
4985.55	2.8650	-1.340	727.238	190
4994.13	0.9150	-3.002	246.245	102
5001.86	3.8810	-0.010	725.240	114
5012.69	4.2830	-1.690	1020.279	156
5044.21	2.8510	-2.038	713.238	102
5049.82	2.2790	-1.349	353.239	102
5058.50	3.6420	-2.830	353.313	167
5060.08	0.0000	-5.431	0.000	102
5088.15	4.1540	-1.680	810.278	156
5107.45	0.9900	-3.091	248.245	102
5107.64	1.5570	-2.358	289.258	102
5109.65	4.3010	-0.980	980.280	167
5127.36	0.9150	-3.278	243.246	102
5131.47	2.2230	-2.515	356.274	102
5141.74	2.4240	-2.101	367.251	102
5194.94	1.5570	-2.021	286.255	102
5197.94	4.3010	-1.540	925.279	156
5198.71	2.2230	-2.113	351.271	102
5215.18	3.2660	-0.871	849.229	102
5217.39	3.2110	-1.116	815.232	102
5223.18	3.6350	-1.783	390.253	102
5225.53	0.1100	-4.755	207.253	102
5228.38	4.2200	-1.190	809.278	156
5232.94	2.9400	-0.076	713.238	102
5242.49	3.6340	-0.967	361.248	102
5243.78	4.2560	-1.050	842.278	156
5247.05	0.0870	-4.975	206.253	102
5250.21	0.1210	-4.918	207.253	102
5250.65	2.1980	-2.180	344.268	102
5253.02	2.2790	-3.840	368.253	156
5253.46	3.2830	-1.573	849.229	102
5285.13	4.4340	-1.540	1046.282	156
5288.52	3.6940	-1.508	353.297	102
5293.96	4.1430	-1.770	0.000	156
5294.55	3.6400	-2.760	394.237	156
5295.31	4.4150	-1.590	1014.281	156
5302.30	3.2830	-0.720	835.231	102
5321.11	4.4340	-1.089	1024.281	102
5322.04	2.2790	-2.802	341.236	102
5339.93	3.2660	-0.684	815.234	102
5365.40	3.5730	-1.020	283.261	102
5367.47	4.4150	0.444	972.280	102
5373.71	4.4730	-0.760	1044.282	156
5379.57	3.6940	-1.514	363.249	102
5386.33	4.1540	-1.670	930.278	156
5389.48	4.4150	-0.410	959.280	187
5395.22	4.4450	-2.070	995.281	156
5397.13	0.9150	-1.988	238.249	102
5398.28	4.4450	-0.630	993.280	156
5412.78	4.4340	-1.716	971.280	102
5415.20	4.3860	0.643	910.279	102
5417.03	4.4150	-1.580	944.280	156
5424.07	4.3200	0.520	825.278	186
5434.52	1.0110	-2.119	243.247	102
5441.34	4.3120	-1.630	807.278	156
5445.04	4.3860	-0.020	895.279	186
5464.28	4.1430	-1.402	380.250	102
5466.40	4.3710	-0.630	865.278	187
5470.09	4.4460	-1.710	953.280	156
5473.90	4.1540	-0.790	738.241	114
5483.10	4.1540	-1.406	737.241	102
5487.15	4.4150	-1.430	908.279	156
5494.46	4.0760	-1.990	0.000	156
5522.45	4.2090	-1.450	744.215	156
5539.28	3.6420	-2.560	383.260	156
5543.94	4.2170	-1.040	742.238	156
5546.51	4.3710	-1.210	825.278	156
5560.21	4.4340	-1.090	895.278	156
5569.62	3.4170	-0.486	848.233	102
5576.09	3.4300	-0.900	854.232	156
5586.76	3.3680	-0.120	817.238	102
5618.63	4.2090	-1.275	732.214	102
5619.60	4.3860	-1.600	808.277	156
5633.95	4.9910	-0.230	635.270	156
5636.70	3.6400	-2.510	368.310	156
5638.26	4.2200	-0.770	730.235	156
5641.43	4.2560	-1.080	739.234	156
5649.99	5.0990	-0.820	719.265	156
5651.47	4.4730	-1.900	898.278	156
5652.32	4.2600	-1.850	754.210	156
5653.87	4.3860	-1.540	792.277	156
5655.18	5.0640	-0.600	0.000	156
5661.35	4.2840	-1.756	765.209	102
5662.52	4.1780	-0.573	724.235	102
5679.02	4.6520	-0.820	1106.291	156
5691.50	4.3010	-1.420	746.231	156
5696.09	4.5480	-1.720	965.279	102
5698.02	3.6400	-2.580	385.252	156
5701.54	2.5590	-2.160	361.237	102
5705.46	4.3010	-1.355	744.231	102
5731.76	4.2560	-1.200	727.232	156
5732.30	4.9910	-1.460	613.275	156
5741.85	4.2560	-1.672	725.232	102
5760.34	3.6420	-2.390	386.250	156
5775.08	4.2200	-1.297	720.231	102
5778.45	2.5880	-3.430	361.237	102
5784.66	3.3960	-2.532	796.244	102
5849.68	3.6940	-2.890	379.305	156
5853.15	1.4850	-5.180	0.000	156
5855.08	4.6080	-1.478	962.279	102
5858.78	4.2200	-2.160	786.278	156
5883.82	3.9600	-1.260	998.250	156
5902.47	4.5930	-1.710	227.252	156
5905.67	4.6520	-0.690	994.282	156
5927.79	4.6520	-0.990	984.281	156
5929.68	4.5480	-1.310	864.275	156
5930.18	4.6520	-0.230	983.281	187
5934.65	3.9280	-1.070	959.247	156
5956.69	0.8590	-4.553	227.252	102
6003.01	3.8810	-1.120	898.241	187
6012.21	2.2230	-4.038	309.270	102
6027.05	4.0760	-1.089	380.250	102
6065.48	2.6080	-1.470	354.234	102
6079.01	4.6520	-1.020	920.276	156
6093.64	4.6070	-1.400	866.274	156
6094.37	4.6520	-1.840	914.276	156
6096.66	3.9840	-1.830	963.250	156
6127.91	4.1430	-1.399	0.000	102
6136.99	2.1980	-2.941	280.265	102
6151.62	2.1760	-3.312	277.263	102
6165.36	4.1430	-1.473	380.250	102
6173.33	2.2230	-2.880	281.266	102
6187.99	3.9430	-1.620	903.244	156
6200.31	2.6080	-2.405	350.235	102
6219.28	2.1980	-2.434	278.264	102
6226.73	3.8830	-2.120	845.244	156
6240.65	2.2230	-3.203	301.272	102
6246.32	3.6020	-0.805	820.246	102
6252.56	2.4040	-1.727	326.245	102
6265.13	2.1760	-2.545	274.261	102
6270.22	2.8580	-2.536	350.249	102
6271.28	3.3320	-2.703	720.247	102
6297.79	2.2230	-2.702	278.264	102
6301.50	3.6540	-0.718	0.000	102
6315.81	4.0760	-1.610	410.250	156
6322.69	2.5880	-2.448	345.238	102
6335.33	2.1980	-2.177	275.261	102
6336.82	3.6860	-0.856	845.240	102
6393.60	2.4330	-1.504	326.246	102
6411.65	3.6540	-0.656	820.247	102
6430.85	2.1760	-1.976	271.257	102
6481.87	2.2790	-2.985	308.243	102
6494.98	2.4040	-1.256	321.247	102
6496.47	4.7950	-0.530	925.279	156
6498.94	0.9580	-4.688	226.253	102
6533.93	4.5580	-1.360	908.277	156
6574.23	0.9900	-5.013	0.000	102
6593.87	2.4330	-2.394	321.247	102
6597.56	4.7950	-0.970	893.276	156
6609.11	2.5590	-2.676	335.245	102
6627.54	4.5480	-1.580	754.209	156
6648.08	1.0110	-5.918	229.254	102
6699.14	4.5930	-2.101	297.273	102
6703.57	2.7580	-3.060	320.264	156
6713.74	4.7950	-1.500	857.272	156
6739.52	1.5570	-4.794	256.244	102
6750.15	2.4240	-2.604	335.241	102
6810.26	4.6070	-0.986	873.275	102
